#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 4.192795342919e-01, 9.834946059059e+00, 9.917129654824e-04, 1.758164052600e+01, 9.004473000000e-01,           10000000
 4.019511853937e+00, 2.000000000000e+00, 5.000000000000e+00, 8.245473452722e-01, 4.059993527790e-01, 2.014942561908e-04, 1.731774900200e+01, 9.094140000000e-01,           10000000
 4.028529136462e+00, 2.000000000000e+00, 5.000000000000e+00, 8.238647357274e-01, 4.055251253496e-01, 2.013765441529e-04, 1.754127717800e+01, 8.993432000000e-01,           10000000
 4.051885399492e+00, 2.000000000000e+00, 5.000000000000e+00, 8.100349608347e-01, 7.408515270260e-01, 2.721858789552e-04, 1.823956058300e+01, 9.054688000000e-01,           10000000
 4.030864762765e+00, 2.000000000000e+00, 5.000000000000e+00, 8.243777231812e-01, 3.897364678094e-01, 1.974174429501e-04, 1.752318635200e+01, 9.033960000000e-01,           10000000
 5.219001883227e+00, 2.000000000000e+00, 5.000000000000e+00, 7.523749633178e-01, 9.948182536862e-01, 3.154073958686e-04, 1.739378798400e+01, 8.922919000000e-01,           10000000
 5.761956317172e+00, 2.000000000000e+00, 5.000000000000e+00, 7.712518338712e-01, 2.033574614953e-01, 1.426034577054e-04, 1.736073079400e+01, 9.064982000000e-01,           10000000
 5.761956329146e+00, 0.000000000000e+00, 5.000000000000e+00, 1.133291448122e+18, 2.635367131839e+42, 5.133582698115e+17, 1.695178354300e+01, 9.176059000000e-01,           10000000
 5.761956323159e+00, 1.000000000000e+00, 5.000000000000e+00, 4.017697142096e-01, 2.713007192315e+00, 5.208653561445e-04, 1.722583242400e+01, 9.054384000000e-01,           10000000
 6.076024652596e+00, 1.970929551809e+00, 5.000000000000e+00, 7.600429290078e-01, 2.300850733394e-01, 1.516855541373e-04, 1.737046906400e+01, 9.021595000000e-01,           10000000
 5.854673236681e+00, 1.286630592305e+00, 5.000000000000e+00, 4.562047875325e-01, 1.209609844535e-01, 1.099822642309e-04, 1.753185540800e+01, 9.027735000000e-01,           10000000
 4.605239900227e+00, 1.271986660878e+00, 5.000000000000e+00, 3.914759660903e-01, 2.045380137365e-01, 1.430167870344e-04, 1.775386754800e+01, 9.102664000000e-01,           10000000
 4.035635244774e+00, 1.265310633217e+00, 5.000000000000e+00, 3.585727864009e-01, 3.275458359831e-01, 1.809822742655e-04, 1.743909191200e+01, 8.893923000000e-01,           10000000
 4.000000000000e-01, 1.163770704867e+00, 5.000000000000e+00, 2.519392957717e+00, 4.390713345593e+00, 6.626245804068e-04, 1.750818638600e+01, 9.157151000000e-01,           10000000
 1.767857888136e+00, 1.201973710010e+00, 5.000000000000e+00, 2.645783990826e-01, 7.772649031248e-01, 2.787947099794e-04, 1.759989453200e+01, 9.078774000000e-01,           10000000
 3.278296020816e+00, 1.186821268644e+00, 5.000000000000e+00, 2.486495102246e-01, 1.955513718381e-01, 1.398396838662e-04, 1.748482519600e+01, 9.044747000000e-01,           10000000
 2.910091989322e+00, 1.105162987374e+00, 5.000000000000e+00, 1.859388164174e-01, 1.596220619030e-01, 1.263416249314e-04, 1.741656412400e+01, 8.981341000000e-01,           10000000
 2.653912010802e+00, 1.124055986587e+00, 5.000000000000e+00, 1.776513678020e-01, 4.298866395170e-02, 6.556574101747e-05, 1.738328312400e+01, 9.029522000000e-01,           10000000
 1.790281302367e+00, 1.127097744944e+00, 5.000000000000e+00, 1.952605475325e-01, 8.657911775458e-02, 9.304790043552e-05, 1.783055088100e+01, 8.974143000000e-01,           10000000
 2.333659064874e+00, 1.125183936375e+00, 5.000000000000e+00, 1.725670379442e-01, 5.092450643721e-02, 7.136140864446e-05, 1.853527802200e+01, 9.028379000000e-01,           10000000
 2.333101988264e+00, 1.123586161622e+00, 5.000000000000e+00, 1.725664249684e-01, 5.794572493217e-02, 7.612208939077e-05, 1.764898823300e+01, 8.946976000000e-01,           10000000
 2.333641585415e+00, 1.125133802807e+00, 5.000000000000e+00, 1.732683918438e-01, 5.182857136502e-02, 7.199206301046e-05, 1.765258013200e+01, 9.147907000000e-01,           10000000
 2.333658890079e+00, 1.125183435039e+00, 5.000000000000e+00, 1.735149262685e-01, 5.329160376500e-02, 6.664058058283e-05, 2.097181687000e+01, 9.124580833333e-01,           12000000
 2.333659063126e+00, 1.125183931362e+00, 5.000000000000e+00, 1.732790522575e-01, 5.408040856312e-02, 6.713196491682e-05, 2.097468253900e+01, 8.981870000000e-01,           12000000
 2.333659064857e+00, 1.125183936325e+00, 5.000000000000e+00, 1.736109275728e-01, 5.538171675939e-02, 6.793484425008e-05, 2.170216249000e+01, 9.062812500000e-01,           12000000
 2.333659064874e+00, 1.125183936375e+00, 5.000000000000e+00, 1.734307832287e-01, 5.336274925703e-02, 6.668504908463e-05, 2.099048322700e+01, 9.067895000000e-01,           12000000
 2.333082746963e+00, 1.079993961233e+00, 5.000000000000e+00, 2.131123780923e-01, 1.461133926458e+00, 3.489429187391e-04, 2.100436275200e+01, 9.111178333333e-01,           12000000
 2.333653301695e+00, 1.124732036624e+00, 5.000000000000e+00, 1.733597681192e-01, 5.382275023504e-02, 6.697185368685e-05, 2.119507926200e+01, 9.031931666667e-01,           12000000
 2.333659007242e+00, 1.125179417378e+00, 5.000000000000e+00, 1.723707406215e-01, 5.364688871096e-02, 6.686235158328e-05, 2.103319525600e+01, 8.974730833333e-01,           12000000
 2.333664137064e+00, 1.125139217087e+00, 5.000000000000e+00, 1.726847441277e-01, 5.169203344904e-02, 6.563283822970e-05, 2.095031858300e+01, 8.999694166667e-01,           12000000
 2.333659058540e+00, 1.125179015375e+00, 5.000000000000e+00, 1.717076590223e-01, 4.744720861546e-02, 6.288031529253e-05, 2.118418458800e+01, 9.086394166667e-01,           12000000
