#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,         elapsed time,        accept. ratio,    Monte Carlo steps 
 4.00000000000000e+00, 1.00000000000000e+00, 5.00000000000000e+00, 2.31704748777601e-01, 9.93648854054524e-01, 9.96819368819910e-04, 2.58805775678307e-01, 8.54667512060610e-02, 2.39626043313872e-01, 3.32519964065193e-01, 9.02857311000000e-01, 9.04721000000000e-01,              1000000
 3.98314843055030e+00, 1.72078744794694e+00, 5.00000000000000e+00, 4.05562743166943e-01, 2.99615903861328e-01, 5.47371815004507e-04, 3.03895989631614e-01, 6.59297160069416e-02, 3.13789732440471e-01, 7.49771168082388e-01, 9.47211534000000e-01, 9.06027000000000e-01,              1000000
 3.99604642686867e+00, 1.16910507333509e+00, 5.00000000000000e+00, 2.08260133838444e-01, 9.93419103861354e-02, 3.15185517411786e-04, 2.87758442314164e-01, 1.48760191366333e-01, 3.26617372561796e-01, 1.70543559084228e+00, 9.03736274000000e-01, 8.99549000000000e-01,              1000000
 3.99394342648307e+00, 1.10368820875551e+00, 5.00000000000000e+00, 2.05396515990256e-01, 2.22901742144619e-02, 1.49298942442544e-04, 2.67105049594103e-01, 8.29841788065997e-02, 2.51871372523232e-01, 4.23187833750110e-01, 8.70979421000000e-01, 9.11600000000000e-01,              1000000
 3.98933657570116e+00, 1.09624946353868e+00, 5.00000000000000e+00, 2.05651315648632e-01, 3.51540792961768e-02, 1.87494211367116e-04, 2.68518346886980e-01, 8.74815531440750e-02, 2.55564385507478e-01, 4.09295661973630e-01, 8.60104338000000e-01, 9.05513000000000e-01,              1000000
 3.99326852700752e+00, 1.10259843930492e+00, 5.00000000000000e+00, 2.02353533162450e-01, 1.74129863927185e-02, 1.20460873290592e-04, 2.65455532630106e-01, 7.24547690595420e-02, 2.41527123815181e-01, 2.56141351871584e-01, 1.04078715700000e+00, 9.05352500000000e-01,              1200000
 3.96568734158339e+00, 1.03161740635822e+00, 5.00000000000000e+00, 2.10095130245314e-01, 3.77204829976527e-01, 5.60657969098605e-04, 2.63545853896409e-01, 8.46884416835641e-02, 2.44597336817312e-01, 3.48674978912283e-01, 1.02289948400000e+00, 9.03045000000000e-01,              1200000
 3.98560267020345e+00, 1.08287011994493e+00, 5.00000000000000e+00, 2.09227598347801e-01, 9.45700952942293e-02, 2.80728361134373e-04, 2.70465159414495e-01, 1.00015929390599e-01, 2.65439648493635e-01, 6.17590221852155e-01, 1.15493335000000e+00, 9.09350000000000e-01,              1200000
 3.99297113170855e+00, 1.10183308331350e+00, 5.00000000000000e+00, 2.10524255626957e-01, 4.61976238510785e-02, 1.79113604256951e-04, 2.72343076001739e-01, 1.07781114696971e-01, 2.74785155106982e-01, 8.74499281998273e-01, 1.22925859200000e+00, 9.03322222222222e-01,              1440000
 3.99326555305453e+00, 1.10259078574500e+00, 5.00000000000000e+00, 2.08843309484109e-01, 3.36866516943588e-02, 1.39623028547951e-04, 2.74155254150722e-01, 1.05469429777596e-01, 2.73034060411813e-01, 6.86625075197156e-01, 1.51495282100000e+00, 8.96799189814815e-01,              1728000
 3.99326849726799e+00, 1.10259836276932e+00, 5.00000000000000e+00, 2.11513142803823e-01, 4.47425505289941e-02, 1.60912024734881e-04, 2.75136213631305e-01, 1.14414862562095e-01, 2.81633731340369e-01, 8.92035938181237e-01, 1.52246559800000e+00, 8.99873842592593e-01,              1728000
 3.99326852671013e+00, 1.10259843853956e+00, 5.00000000000000e+00, 2.05799399100033e-01, 2.58423017955286e-02, 1.22290783631888e-04, 2.68012520834960e-01, 8.63503046818105e-02, 2.54238293632850e-01, 4.65875464491491e-01, 1.50176963500000e+00, 9.08887152777778e-01,              1728000
 3.99326852700455e+00, 1.10259843929726e+00, 5.00000000000000e+00, 2.10219904593756e-01, 4.26438254794911e-02, 1.57092774324842e-04, 2.72998731841000e-01, 1.08140960816136e-01, 2.75774204887844e-01, 8.54685363782171e-01, 1.50274903500000e+00, 9.05817708333333e-01,              1728000
 3.99326852700749e+00, 1.10259843930484e+00, 5.00000000000000e+00, 2.04406655201674e-01, 1.94477550785903e-02, 1.06087171197571e-04, 2.67307452630973e-01, 8.02829016112471e-02, 2.49466483701035e-01, 3.39361522194446e-01, 1.48570041000000e+00, 8.98593171296296e-01,              1728000
 3.99326852700752e+00, 1.10259843930492e+00, 5.00000000000000e+00, 2.05722483468925e-01, 2.20957007659546e-02, 1.13079016042707e-04, 2.67431784114595e-01, 8.32500757292417e-02, 2.52460361116356e-01, 3.94243520668182e-01, 1.48922917600000e+00, 9.08508680555556e-01,              1728000
 3.99326852700752e+00, 1.10259843930492e+00, 5.00000000000000e+00, 2.04457140020569e-01, 1.99015436540626e-02, 1.07317738617747e-04, 2.66457766519605e-01, 7.89365103714411e-02, 2.48265997891237e-01, 3.35772554866345e-01, 1.53267776800000e+00, 9.07476851851852e-01,              1728000
 3.99326852700752e+00, 1.10259843930492e+00, 5.00000000000000e+00, 2.08395028636110e-01, 3.38859587137923e-02, 1.40035459120976e-04, 2.71286078475905e-01, 9.98244849799566e-02, 2.67160797308764e-01, 6.71520431727936e-01, 1.50696990300000e+00, 9.05528356481481e-01,              1728000
