##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B,  1.4931147797778e-01,  1.1822417480289e+00, -2.3609822553278e+00,                    A,  5.8583181119007e-01, -9.8421160450017e-02,  1.0521904762746e+00,                    A, -7.9108559503968e-01, -1.3370669482712e+00, -1.7055738466079e+00,                    B,  1.4003835784472e+00,  6.4043712144052e-01,  5.5813253345604e-03,                    A, -1.0167803212134e+00,  1.8101339129059e+00, -3.2931894990915e-01,                    B, -4.0985961842546e-01, -1.9533328924616e+00,  1.8538329957727e+00
                    A, -2.5822848008085e+00, -2.1479288771556e+00, -4.9942575128037e-01,                    B,  1.0563783468520e+00, -1.0796394318539e+00, -8.4045169364146e-01,                    A,  2.9123215464398e+00, -2.5893758058967e-01, -1.4075387894689e+00,                    A, -2.2985382176783e-01, -2.0627438991416e+00, -1.3852853150303e+00,                    B, -1.4615733169317e-01,  7.8816034607853e-01, -1.3514354814257e+00,                    B, -2.3918881719311e+00, -2.1141848003260e-01,  1.4432167350345e+00
                    A,  3.0165272320692e+00,  6.7968576057928e-01,  8.1783386877562e-01,                    B,  1.4952005156621e+00,  3.0266639599502e+00, -1.8347408095965e-01,                    A,  1.7754392079643e-01,  9.1403273045894e-01,  2.0995548659848e+00,                    A,  7.4134525724264e-01, -1.4892062161951e-01, -1.7754613067578e+00,                    B, -1.5196335928290e+00,  5.2940225293270e-01,  1.2564841612300e+00,                    B,  3.6783054215045e-01, -1.4712519723651e+00, -1.3255152200365e-01
                    A, -1.7331256680516e+00,  1.8337048127992e-01,  2.0883231680294e-01,                    B,  8.3037526761575e-01,  3.2846267788027e-01,  4.3653294982560e-01,                    B, -1.5539089095985e-02, -4.3846327471920e-01, -1.5723477769361e+00,                    A, -8.9638220452092e-01,  5.4546271274218e-01, -1.8528578812635e+00,                    A, -6.1995541532101e-01, -6.9897700191273e-02, -2.3546276025645e-01,                    B,  3.0566342774490e+00,  1.3451120934311e-01,  4.3587209979582e-01
                    A, -7.4367907458792e-01, -3.5419578215591e+00,  2.6795112188767e+00,                    B,  1.3830294930020e+00, -9.3235950726419e-01,  1.9811405426033e+00,                    B, -7.4137960962580e-01,  2.2756580421050e+00,  9.2733330841239e-01,                    A, -3.2476737094620e-01,  1.0452308138734e+00,  3.9002815482838e-01,                    B, -1.6020313311527e+00, -1.9678233036238e+00, -9.0906982355938e-01,                    A, -1.7812870756083e+00,  2.5054967026772e-01,  2.6567094205335e-01
                    B, -1.4631936302200e+00, -1.0371626314250e+00, -5.9240512962716e-01,                    A, -2.4737993763340e+00,  1.5949113665810e+00, -4.5809287872545e-02,                    A,  1.0623715865268e+00, -2.6076761919393e+00,  5.3002484537041e-01,                    B,  2.2264531888890e+00,  2.7929599984167e+00, -1.3350904126647e+00,                    B, -1.2779638494938e+00,  4.2675139461474e-01, -4.0513916133409e-02,                    A, -3.8398451187893e+00, -3.6010491512607e-01, -7.3425030300610e-01
                    B, -8.5782483444221e-01, -4.0524419479540e-02,  4.4972970233910e-01,                    A, -3.9919251516183e-01,  1.4061169198324e+00, -1.2777312819074e-01,                    A,  2.0170487122246e+00, -8.6238790695488e-01,  1.1650611561523e+00,                    A,  5.6838692590911e-01,  1.4735554620542e+00, -1.4069556247229e+00,                    B,  2.1313926702526e+00,  9.2498058783757e-01,  1.0043284471065e+00,                    B,  1.2520046735889e+00, -2.1417867401532e-01, -8.4602127951452e-02
                    A,  1.7818622151367e+00,  4.8344494851287e-01, -1.4265124063252e+00,                    B, -1.0831147204304e-01,  2.4647651887920e+00, -3.0648393722212e+00,                    B,  1.3109030631760e+00,  8.1345664336384e-01, -4.6087389734698e-01,                    A, -6.7754563985502e-01, -2.0870941033139e-01,  7.1157168971178e-01,                    A, -2.8107788807908e+00, -4.7452679014479e-01,  1.4424913924360e-01,                    B,  1.2105859198749e+00, -1.9998652646861e-01,  1.4630677024507e+00
                    A,  4.3800192067954e-01, -2.9783719910741e+00, -8.2660522897095e-01,                    A,  2.0869130666651e+00,  5.6175505536784e-01,  9.3528533909885e-01,                    A, -2.7401452802554e+00,  1.4427871650562e+00, -7.7518800376666e-01,                    B, -1.0361475679651e+00,  4.2029051275725e-01, -1.2334859664243e+00,                    B, -5.5177314743168e-01,  1.7425124786008e-01,  9.2513566716357e-01,                    B,  1.8288446480449e-01,  2.5851942729404e-01, -2.2401357829966e+00
                    B, -1.7081269376230e+00, -4.6225027641395e-01,  1.2250882320960e+00,                    A, -1.8958173335074e+00,  2.2827138584724e+00,  9.3394485909668e-01,                    B, -5.1447488342352e-01, -1.2152499686068e+00,  1.0711508113563e+00,                    A, -2.7356755002730e+00, -4.3271889010882e-01, -8.4463491900429e-01,                    A, -2.7016760667917e-01, -6.4222721815952e-01, -1.9650918334248e-01,                    B, -1.1365108093300e-01, -1.3561962717387e+00, -2.1347134906535e+00
