#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 1.099150883071e-01,-9.328855350239e-01,-2.178827174611e+00,                  B,-5.826522106028e+00,-1.669511849831e-01,-2.806263525335e+00
                  A, 3.411762928538e-01, 1.576002368708e+00, 1.867794194978e+00,                  B, 4.547853742986e-01,-2.425330039708e+00,-2.034327625241e+00
                  A, 1.559276081729e+00, 5.929257598810e+00,-1.629432884427e+00,                  B, 2.007550428145e-01, 1.465411683532e+00, 7.869714522888e-01
                  A,-2.325491840917e+00,-1.436502099185e+00, 6.153608662816e+00,                  B, 5.328909151475e-01, 3.034201832823e+00, 9.363051791970e-01
                  A, 2.497928595832e+00, 6.446850664343e-01,-4.144791824151e+00,                  B, 2.622189221024e+00, 2.569656270302e+00, 4.754209791314e+00
