#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-5.717846466027e-01, 6.860736944387e-01,-1.046025612847e+00,                  A, 2.169253241952e+00, 4.103004136869e-01,-5.522151258326e-01,                  B,-3.974220645986e+00, 1.910410308136e+00, 6.330442181328e-01,                  B, 1.221441609404e+00,-1.031476097636e+00, 2.385377638830e+00,                  A,-1.738777258498e+00, 1.725467655982e+00, 2.718371176680e+00,                  A, 1.254794798783e+00,-7.375922964642e-01, 5.929324606259e-01,                  B, 9.490608240943e-01, 1.103674952241e+00,-2.955735093580e-01,                  B,-6.532230397668e-01, 8.602196913165e-01, 1.053669274782e+00
                  B, 2.706292930942e+00,-2.000024797064e+00,-6.868082524954e-01,                  B, 2.935979715147e+00,-3.021969704874e+00, 1.923705761904e+00,                  B,-1.885314622043e+00, 8.296339162455e-01,-2.548041925285e+00,                  A,-2.971860332271e+00, 1.349269504047e+00, 4.621897445084e-01,                  A, 4.845658934764e-01, 1.923089592035e+00,-9.064350900527e-01,                  A,-5.000146745817e-01,-7.133524116067e-01, 3.657969389387e-01,                  A, 3.904059513814e+00,-2.502750835284e-01, 1.341130550391e+00,                  B, 1.608748208401e-01, 2.114504931987e+00, 2.634891614546e+00
                  B,-3.492605287456e+00, 2.494521932100e+00, 3.034500040994e+00,                  A,-1.852797069996e-01, 3.155643592980e-01,-9.395633160087e-01,                  A,-4.824844008311e-01, 6.609060697945e-01, 1.851619004640e+00,                  A,-4.023327437507e-02,-3.561396687017e-01,-2.471104641385e+00,                  B,-2.689872528591e+00,-2.563467807880e+00, 1.433626081378e+00,                  B,-7.145726258322e-01, 1.939292564814e+00,-9.268381121591e-01,                  B, 3.188391792745e+00, 1.820065453418e+00,-1.955587469407e-01,                  A, 4.356615616730e-01, 9.745153563378e-01, 2.788750863585e-01
                  B, 1.192830789313e+00, 1.194065824924e+00, 1.845216037906e+00,                  A,-2.236973250925e+00, 1.215788141825e-03,-1.758622257829e+00,                  A,-4.428878993656e-02,-2.403545014863e+00, 2.575502224996e+00,                  B,-4.200618536904e-02,-1.379268233811e-01,-6.647200663194e-01,                  A, 1.443234148738e+00,-5.283645181765e-01,-1.073057597577e+00,                  B,-1.846798291762e+00,-1.975003759535e+00, 1.109021158843e-01,                  A,-1.205144717247e+00,-2.421720243729e+00, 3.546726660906e+00,                  B,-3.151532260767e+00,-1.011368146969e+00,-6.426507958742e-01
                  B, 2.325034726200e+00,-9.518284332197e-01, 3.060593050125e-01,                  A,-1.858391002461e+00, 4.995670260568e-01, 3.001151255513e-01,                  A,-1.739625587427e+00,-2.704757669150e+00,-1.380671729745e+00,                  B, 4.875936368443e-01,-6.964416820763e-01,-2.245513687138e-01,                  B, 1.931830485998e-01,-1.777985107715e+00,-8.724506288928e-01,                  A,-6.530409785938e-01,-1.396443333616e+00,-4.779874397988e-01,                  B,-1.135085920231e+00, 3.868745811474e-01,-3.581822795331e+00,                  A, 4.571814847777e-01, 9.539292317855e-01,-5.733455007314e-01
