#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 2.664238446359e+00, 7.368018074521e-01,-8.447113201166e-01,                  B,-7.346058231835e-01,-1.437350023052e+00,-5.010305148999e-01,                  B,-6.468556855033e-02,-1.207935425127e+00, 8.696852177725e-01,                  B, 7.464636980866e-01,-6.170487031961e-01,-2.508953012082e+00,                  A,-1.270382714296e+00, 1.462290207675e+00,-3.716638425462e-02,                  A, 1.454955494387e+00, 1.664385637229e+00,-4.533855296962e-01,                  A, 7.922898743996e-01,-2.220808607967e-01, 3.434882494223e-02,                  A,-3.100203782859e-01, 8.701222283622e-01, 1.285882966892e+00
                  A,-1.429784798585e+00,-6.915193459269e-01,-7.085954404161e-01,                  A, 2.631620198791e+00,-2.062527074433e+00, 1.313608008841e+00,                  A, 4.888770296503e-01, 2.088270547241e+00, 1.742866502078e+00,                  B, 2.540395490599e+00, 1.254647032513e+00,-1.534200563514e+00,                  B,-9.209398342851e-02,-1.090238162462e+00, 1.068021481046e-01,                  B, 1.267347751001e+00,-1.350879898421e+00, 7.515858621294e-01,                  A, 2.101660943860e-01, 4.664236882383e-01, 9.753412972107e-01,                  B,-6.869538499887e-01,-3.804248636666e-01,-3.012500397494e+00
                  B, 8.839744363132e-02,-2.975027207305e-01, 1.637558470726e+00,                  A,-3.590152247380e+00,-1.474139559278e+00,-1.195402662680e+00,                  A,-5.661127710346e-01, 6.835414385916e-01,-1.203392251596e+00,                  B, 6.975908719197e-01, 1.391336772138e+00, 1.977515070148e+00,                  B,-2.333081713215e+00, 1.342354397946e+00,-1.303787172092e+00,                  B,-7.086870323283e-01,-2.055553528792e+00, 3.097202798246e-01,                  A,-2.887029953510e-01,-8.588765524584e-01, 1.855340526886e-01,                  A,-1.728657208774e+00,-4.470932483229e-01, 1.855182283033e+00
                  B,-3.057355972822e-01,-4.507298942197e-01,-7.165153315640e-01,                  A, 2.393870628806e+00, 5.399041191753e-01, 9.694201904864e-01,                  A,-2.260267122957e+00,-6.726939259817e-01,-1.767377788125e-01,                  B, 2.676956598092e-01, 1.428510509616e-01, 9.917664150948e-01,                  A, 3.423483106675e-01,-2.309269158367e+00, 8.540807234421e-01,                  A, 1.323655169764e+00, 1.298797125646e+00,-4.892516310985e-02,                  B, 2.170101207704e+00,-1.023910818401e+00, 7.473364244207e-01,                  B,-3.323878467323e-01, 1.437928992958e+00, 3.298072774637e-01
                  B, 1.246591556792e-01, 4.146799052781e-01, 6.567813644376e-02,                  B, 4.555002496402e-01, 1.203756383346e+00,-4.056727441807e-01,                  A,-9.285756779354e-01, 4.418810348481e-01, 9.366059647816e-01,                  B,-2.349808150630e+00, 1.428234924070e+00,-1.335531134875e+00,                  A, 8.875433301143e-01, 1.486229324639e+00, 9.227010334419e-01,                  B, 6.360831406474e-01,-9.764033236832e-01, 1.839613228573e+00,                  A,-2.747424076004e-01,-8.466560665546e-01,-9.885862651959e-01,                  A,-6.493364131081e-01,-2.385769662963e+00,-3.379870473078e-01
