##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -7.7091392971227e-01, -9.7627669444475e-01, -5.3118604650925e-01,                    A,  3.6514394687164e-01,  2.1792361796006e-01, -4.4593142746969e-01,                    B,  2.4418840068165e+00,  8.2004518693001e-01,  3.2615614836122e-01,                    A,  1.6826786389890e+00, -9.3379563156780e-02,  9.0797222398678e-01,                    A, -1.7155553797943e-01, -8.2709610515561e-01,  1.0944245660884e+00,                    A, -1.0878557885753e+00,  1.6747798279702e+00,  2.1287400668759e-02,                    B, -8.7174729278260e-01, -1.0586183143385e+00, -2.4396649270362e+00,                    B,  1.7350792880715e+00,  8.3048785398083e-01,  2.0764697394473e+00
                    A,  1.1469376450396e+00, -1.2982847853509e+00,  6.4098283835575e-01,                    A,  1.2436158538833e+00, -2.1146047669949e-02,  2.3862188714081e-01,                    A,  4.3110984407647e-02,  1.6702142469151e+00, -2.2004953480935e+00,                    B,  5.2868726450122e-01, -3.3396757299347e-01,  1.4875342504374e+00,                    A, -1.3984697666611e-01,  1.2617077356542e+00,  1.2036869721332e+00,                    B,  2.8170063441797e-01,  1.8496398662996e+00, -5.1875326802096e-01,                    B, -1.1725211604526e+00, -4.7520029293902e-01,  3.5776861978934e-01,                    B,  4.7927098386434e-01, -3.5804927012801e-01, -1.8298539600313e+00
                    B, -7.2120172999607e-01, -1.0857389445294e+00,  8.8248848089710e-01,                    A,  2.1768570509215e+00, -7.0154439867635e-01,  1.8516294490036e+00,                    B, -1.9755384236512e-02, -1.1267140415330e+00,  1.8184070655960e+00,                    B,  8.1651378252972e-01,  2.0150006563991e+00,  3.9943998969302e-01,                    A,  6.5844286934838e-01, -9.3678357961840e-01, -9.5173569247500e-01,                    A, -1.9247885330921e-01, -1.6495907406365e+00, -9.4694935607461e-01,                    A,  2.4789906873532e-01,  1.9691566900533e-02,  2.0613582558795e+00,                    B, -3.2000503558322e-01,  6.1765251878423e-01, -2.0322425961720e+00
                    B, -1.4639189502539e+00, -2.2222444964218e-01, -3.8060662528071e-01,                    B, -1.3464835747775e+00,  1.2703934172870e+00,  3.7801235357373e-03,                    A,  6.3282817921309e-01,  9.8515550645956e-01,  1.3017979005950e+00,                    B, -2.9863274999767e-01,  1.6698497805299e+00, -1.1052144008754e+00,                    A,  8.7409503933240e-01,  7.9354302632385e-01, -1.5949256009038e+00,                    A, -1.4448092177670e+00, -2.1318084660741e-01, -1.6239443255703e+00,                    B,  1.3182413308873e+00, -9.1254389273615e-01,  3.7499404879837e-01,                    A, -1.4171776565219e+00,  1.6479381347282e+00,  1.2187342140114e+00
                    A, -1.3725558667242e+00, -8.2648213456531e-01,  7.3192523981493e-01,                    A,  8.5690366418309e-01, -9.5380687606860e-01,  5.2579526018404e-01,                    B,  3.0228803768523e+00,  2.9603930357467e-01,  1.4432183520871e+00,                    B, -7.0615385858606e-01,  4.6242539511568e-01,  3.8339537989743e-01,                    B, -1.3317793703435e+00,  1.2470442217669e+00, -1.5248503683010e+00,                    B,  4.8119305049661e-01, -9.0041845515985e-01, -9.4331030103951e-01,                    A,  1.3804000089519e-01,  2.5613658555713e+00,  5.2245833400826e-01,                    A,  2.6068178555602e-01,  8.4341596485736e-01, -8.2560224909674e-01
                    A, -5.1536980456694e-01,  2.7941922617422e+00,  1.8643919765024e+00,                    A,  8.9029931968862e-01, -1.8559777573058e+00, -1.7866779916198e+00,                    B, -1.7257114031241e+00,  1.6777936943248e+00,  1.3158765346300e+00,                    A, -1.9399820479283e+00,  1.7539568773687e-01,  3.6275999929272e-01,                    B,  1.0097350405251e+00,  1.4775660568295e+00,  4.3781572425238e-01,                    B, -3.6037809259083e-03,  1.4555915235233e+00, -1.5984907914696e-01,                    B, -5.1400527222970e-01, -4.1845689800751e-01,  1.1245546547186e+00,                    A, -8.6112391963522e-01, -1.2190970179437e+00, -1.3468352947655e+00
                    B, -1.5737810389731e+00, -4.7601543504041e-01,  1.5545893521445e+00,                    A, -1.2601095392189e+00,  1.4082175167118e+00, -2.9954670715954e-01,                    B,  4.6374492568783e-01,  5.1323354985073e-01,  2.3187926419917e+00,                    A, -2.0093135215516e+00, -5.4817226607200e-01, -1.3630225549333e+00,                    B, -9.0090197967259e-01,  3.5312161546644e-01,  9.1295247545285e-01,                    A,  1.7469087832660e+00, -2.2323909724772e+00,  7.4755507153002e-01,                    B,  5.3759369042364e-01, -4.3249608830536e-01, -8.4282368903325e-01,                    A,  9.0728335175799e-01,  1.2065269814745e+00, -1.8637522713439e+00
                    A,  1.0436190992523e+00,  1.1457200790878e+00, -1.5439845552921e+00,                    B,  8.1056560283195e-01,  6.3675274948297e-01,  1.4590089341308e+00,                    B,  1.3771504444620e+00,  1.4530489019254e+00, -9.2780538661567e-03,                    A,  6.0462542357186e-01, -1.4628366169634e-01, -8.5857305515053e-01,                    A,  2.1295073577653e+00, -1.1077408165837e-01, -3.6067425083265e-01,                    B, -4.5906507440728e-01, -1.1665542685888e+00,  1.1582208747945e-01,                    B, -1.8107175732883e+00,  1.0813875313878e-02,  5.8020418048344e-01,                    A, -3.9817399998627e-01,  2.7412757398040e-01,  1.9334319079581e-01
                    B,  2.3090843533838e-01,  1.4224845450848e+00,  1.0207686490112e+00,                    B,  2.8245958429859e-01, -1.3216017662044e+00, -1.3041303778298e+00,                    A,  4.2541156709661e-01,  3.6200852529837e-01,  1.2426681674208e+00,                    A,  7.7599243685864e-01,  3.1801075997079e-01, -9.8434362657586e-01,                    A, -9.1624671505272e-01,  4.3777750480349e-01,  1.3476124219885e+00,                    B, -5.8945362150476e-02, -9.7961235788020e-01, -2.2079591338616e+00,                    A,  1.7727625768499e+00, -2.9500783411910e-01, -6.9937897166601e-01,                    B, -8.5306272538113e-01,  5.4948739596427e-01, -8.4986331602456e-01
                    A,  2.0332023676996e-01,  1.1269047220218e+00,  1.2210030487159e+00,                    A,  1.8486078069565e-01, -1.3315007182547e+00, -5.5154857053522e-01,                    B, -1.6984112590245e+00,  6.1277318318651e-01, -6.5394497722910e-02,                    B,  1.2564109316723e+00,  1.6080909207890e-01, -1.0754806153141e+00,                    A, -1.3732119875287e+00, -1.7335613599041e+00,  1.8229526459980e-01,                    B,  2.9363665168024e-01,  1.2271594719182e+00, -7.4474045406530e-01,                    A,  5.3578574185473e-01,  6.9232366741718e-02,  3.7527908775786e-01,                    B,  3.5774327794698e-01,  3.3559375289127e-01,  2.3182107994093e+00
