##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  2.4815433030374e+00,  7.6158675812331e-01, -6.3473716995272e-01,                    A,  1.6730149297624e+00,  6.0144640006316e+00,  2.6751205595527e+00
                    B,  1.2020740872773e+00, -2.8629046756649e+00, -2.5659954480402e+00,                    A,  1.4809211905373e-01,  5.7674281847767e+00, -2.8778803225617e+00
                    B,  4.1549162649424e+00,  4.7168465978202e+00,  7.9360374794160e-01,                    A, -3.4418399987385e+00, -4.1727959612554e+00, -1.0435314642669e+00
                    A, -4.0441614524156e+00,  5.0512148077330e-01,  7.1332173439966e-01,                    B,  3.6371388767655e+00,  5.2205885292609e+00, -1.1945567483086e+00
                    A,  1.1577299846335e+00, -5.8976832315476e-01, -1.9954090784444e+00,                    B,  2.6708210297995e+00,  3.6705469382496e+00, -3.0318594914272e+00
                    A, -2.9149376330374e+00, -2.8165325637855e+00, -6.1854239307558e-01,                    B, -3.0909058439530e+00, -4.1014220426018e+00,  2.4370930454924e+00
                    B, -1.3501517754115e+00,  6.4531046378612e-01,  2.0745060131540e+00,                    A, -1.6403062787410e+00,  2.4987964620187e+00, -2.7232228367058e+00
                    B, -2.8232529024587e+00,  2.7859823268000e+00,  1.1689333317606e+00,                    A, -1.2172651933016e+00, -1.8111043447461e+00, -5.0650794889749e-01
                    A, -2.4613888844453e+00, -9.8453086683005e-01, -3.2252111922057e-01,                    B, -1.7390356145014e+00,  1.5354540712889e-01,  2.5997457739490e+00
                    A, -2.1961409638495e+00, -2.1240889850065e+00,  1.9638832219464e+00,                    B,  3.1966939592647e+00, -5.8174779691800e-02, -1.9246974987056e+00
