##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -1.0706488345937e+00, -1.9266222137027e+00, -4.8697847696201e-02,                    A,  1.4600892491306e+00, -1.0886737632393e+00, -1.1906681369861e+00,                    B, -1.6826031584915e+00, -3.2325500890945e-01,  1.4419293697390e-01,                    B,  8.7197570053994e-01,  5.2273363137708e-01,  3.2814107672747e-01
                    A, -8.1548648623885e-01,  6.7242176924887e-01, -2.7110224124867e-01,                    B, -1.5565078742547e-02,  6.8347498616368e-01,  1.7131794414100e+00,                    A, -2.7015151224833e+00,  1.8075751649358e+00,  2.2350947161533e+00,                    B,  7.1749644542525e-02, -6.3099903255287e-01,  2.1293211928389e-01
                    A, -1.0385984039923e+00, -1.9686879702609e+00,  6.4234823765647e-01,                    B, -9.8184041394714e-01, -4.2383034136891e-01, -3.2469766426362e-01,                    A, -6.2315530297280e-01,  8.9994883123342e-01,  9.8440026614980e-01,                    B, -1.3697296600506e+00, -7.9004205138309e-01,  7.5481544444717e-01
                    B, -1.0702554470239e+00,  4.6781060544375e-01, -1.6014511401313e+00,                    A,  2.4851235879172e-01,  5.7001695245331e-01,  7.0110270300042e-01,                    B,  7.0780652535201e-01, -1.3040405938553e+00,  4.7263590664327e-01,                    A, -1.9043128520746e+00,  1.6697319196484e+00,  1.7281684738181e+00
                    A,  7.3241375651462e-01,  2.1158645463107e+00,  1.6665156990736e-01,                    A, -1.3305135200358e+00, -2.1690172671610e-01, -1.4599675006803e+00,                    B,  2.9799436284094e-01, -1.2160606611694e-01,  1.5293683276381e+00,                    B, -1.1793493011177e+00,  1.2760205490388e+00, -8.2974078589454e-01
                    A, -1.0054501633132e+00, -4.5421810472271e-01, -2.2800380695600e-02,                    B,  1.3604599536223e+00, -9.8869938992649e-01, -1.2292960344723e+00,                    A,  9.7988740835303e-01,  7.4597028811511e-01, -1.5670460344680e+00,                    B,  3.6452029435345e-01,  6.6091005740741e-01,  8.7354345934986e-01
                    B,  8.2368980689062e-01, -6.0997524139012e-01, -9.9813252379196e-01,                    A,  2.3524179458297e-01, -1.5462584859834e+00, -1.6136874792621e+00,                    B, -3.3123204723269e-01,  4.3864001075071e-02, -1.6581552488799e+00,                    A, -4.5919032995612e-01,  7.8830261002341e-01,  1.9569062660130e+00
                    A,  8.5881995282082e-01, -4.3093950661257e-01, -1.8523332919602e+00,                    A, -5.7650723312647e-01,  2.2351726341999e-01,  2.6626836875227e+00,                    B,  4.2331509127756e-01,  8.0954258856787e-01,  7.0771522990834e-01,                    B, -1.3443132502449e+00,  1.5325368961100e+00, -1.3815007069873e+00
                    A, -1.6774233226121e+00,  2.0178071459653e+00, -4.1386656853652e-02,                    A,  5.4219908920662e-02, -9.9657915232659e-02, -8.9447584851971e-01,                    B,  9.9278933844197e-01, -1.7798552963745e+00, -6.6780926624253e-01,                    B,  1.6493527299978e+00,  1.2544927207631e+00,  8.5074315612021e-02
                    A, -2.9431215448014e+00, -6.5203402230249e-01,  6.8002166318545e-01,                    A, -5.8994211769725e-01, -2.0078181574221e+00, -1.0495890045143e+00,                    B,  4.2937080259499e-01,  2.3203679140182e-01,  1.5987778745670e+00,                    B,  2.7682896237456e-01,  6.2970805153416e-01, -1.1289912604297e+00
