##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  3.4341891554321e-01, -1.5217764312688e+00,  8.9865577349114e-02,                    A, -1.3329179349917e+00, -3.9955367054050e-01, -3.0985242248609e+00,                    A, -1.6137415033736e+00,  7.6549417827293e-01, -1.4007311575208e+00,                    B, -3.7414541980544e+00,  3.2122099192653e+00,  1.5892908954097e+00,                    B, -3.4647823960455e-01,  1.9509867822257e+00, -1.0293794965571e+00,                    B,  7.5802130471077e-01, -3.9024861312876e-01,  8.1830939629118e-01,                    B,  4.3363918409018e+00, -8.3252169532143e-01,  1.1166135041152e+00,                    A, -8.8878404122373e-01, -3.6671312958458e+00,  1.5628219672152e+00
                    B,  1.1239399512662e+00,  1.4741334233509e+00,  4.2930082723107e-01,                    B, -1.0071687372643e+00, -3.6932266996657e-01,  3.7324501764878e-02,                    B,  9.3062162985879e-01, -3.4420867557866e+00,  6.0430473979147e-01,                    A,  2.4486852366816e+00,  7.6902369737256e-01, -9.4327023275491e-01,                    A,  5.6330318104015e-01,  3.0925239624282e-01, -1.4754499427799e-01,                    B,  3.6916825109559e+00, -1.2851334761402e+00,  2.7052033393351e-01,                    A, -1.7890562366671e+00, -2.4948523310032e+00, -3.6261069664449e-01,                    A, -7.0437062518701e-01, -1.5987923055901e+00,  5.9949633365083e+00
                    A, -9.8805499864644e-01,  2.5397382666448e+00,  1.3383781515950e+00,                    A, -2.1970966873562e+00, -9.6691558009460e-02,  1.4158690105335e+00,                    B,  1.5043368602420e+00,  2.9147533004952e+00, -2.0509423158818e-01,                    B,  1.2131998844968e+00, -6.1489369943733e-01, -2.5664977626098e-01,                    B, -1.0670167065471e+00,  8.3697412055258e-01,  2.9758469671692e+00,                    A,  1.3259208795826e+00,  2.8839161472457e+00, -1.3043135611128e+00,                    A, -1.3315913282814e+00, -5.7817423638394e-01,  2.7736234177836e-01,                    B, -1.1923177033978e+00, -7.7642529533398e-03, -7.1860151330886e-01
                    A, -2.7556685940924e-01,  1.3826185041397e+00,  3.1223318065621e-01,                    B,  6.3918085112408e-01, -9.2313710188172e-01,  2.6613197641135e+00,                    A,  2.2038820156391e+00, -7.4403917194933e-01, -2.3225462173187e+00,                    A, -1.1661616128031e+00, -1.0291998448306e-01, -2.9488824998424e+00,                    A,  1.4230796756907e+00, -1.8832195306946e-01, -1.0761718615090e+00,                    B,  4.1244236248420e-02, -5.6336894325773e-02, -1.4176287147290e+00,                    B, -5.9349463170460e-01, -8.7582900720280e-01,  1.1486924145283e+00,                    B, -2.5532378215647e+00, -6.5409113094112e-02,  3.5413038711606e-02
                    A, -8.3572150174386e-01, -5.7896434345933e-01, -1.1286212550163e-01,                    A, -4.2316125955793e+00, -2.1258065351816e-01, -1.6514022858061e+00,                    A,  7.4607288891842e-01,  1.1129896116677e+00, -2.3974555116841e+00,                    B,  2.6375611833998e+00,  3.1577930272815e-01,  1.6205446214107e+00,                    B, -1.5450016236256e+00, -2.5052202075327e-02,  9.9730012607401e-01,                    B,  5.8968419343105e-01, -2.1457939009366e-01, -1.2435749284967e+00,                    B,  2.8029613569821e-01,  1.2339434420575e-01, -2.6204784615780e+00,                    A, -5.8076057981289e-01,  1.3125490696355e+00,  3.2990622272287e+00
                    B, -6.0855826807290e-01,  4.7842647153957e-01,  8.5055434757389e-01,                    A,  1.7474221184690e+00,  1.9549878076177e-01,  2.8880552302123e+00,                    A,  2.8021315252744e+00,  6.1898216848173e-01, -4.9065620746369e-01,                    B, -2.6288207254355e-01, -6.6693453190949e-01,  2.3785514480562e+00,                    B,  3.3825713014913e+00, -1.6129460367185e+00,  5.8831151610473e-01,                    A, -1.0737321154520e+00,  1.1956096866658e+00, -5.1591557461740e-02,                    A,  1.7012091050252e+00,  2.4094394445011e-01, -2.9058453815463e+00,                    B,  1.1493119545543e+00,  3.6769087529253e+00, -6.0961578439260e-01
                    B,  1.8871449620881e+00, -2.3839047035736e+00, -1.7257099102172e+00,                    B, -9.3662721042391e-01, -1.9471344835119e+00, -2.1620007129532e-01,                    B, -1.0283696656095e+00,  7.1976970271664e-01, -3.7965675867025e-01,                    A, -3.2005739035179e-01, -2.3525483262041e-01,  3.1615080676256e+00,                    A, -2.3771501392721e+00,  5.4852471110673e-01, -1.3196137704260e+00,                    A,  1.6048455268831e+00, -1.1490378896481e+00,  8.3564528519071e-01,                    B,  1.5928313803570e+00,  2.9254027513951e+00, -6.0040512008103e-01,                    A,  2.5379311534723e-01, -1.6977973030644e+00,  3.1119942318727e+00
                    A, -1.4566561883166e+00, -1.0341856942654e+00, -8.0272802790557e-02,                    A, -2.0033708954490e+00,  1.9569972945366e+00,  3.6245814175149e-01,                    B,  1.9793527847287e+00, -4.4631807050759e-01, -2.4986452828169e+00,                    B,  9.1278994688267e-01, -2.5856188950981e+00,  3.8347573737961e-01,                    B,  5.4358701594885e-01, -2.6887941944129e+00, -3.0059183696515e+00,                    B,  4.2649003468638e-01, -8.3983529563547e-01,  5.4497100698480e-01,                    A, -9.5696134432176e-01,  2.7696829974301e+00, -1.0669602107567e+00,                    A, -8.2135433220507e-01,  1.5000698151210e-01,  1.5304898457716e+00
                    A,  1.2034875184107e+00, -5.3631030922239e-02,  2.3175328404011e+00,                    A, -1.1830431689685e+00, -4.6510195623813e-01,  1.1817024022976e+00,                    B, -1.1946657414601e+00,  3.3024037315884e-01, -1.5042884498283e+00,                    A, -2.0363104959710e+00,  1.3502307848726e+00, -7.1642353922427e-01,                    A,  9.8461889639236e-01,  1.1641049208164e+00, -2.7509926884362e+00,                    B, -4.7934162476756e-01, -7.5924660635277e-01,  4.6305760799698e-02,                    B,  2.8241601798209e+00, -4.4424746748914e-01, -1.2178876970471e+00,                    B, -2.1546441245782e+00,  8.4576953917168e-01,  6.6378618674759e-01
                    B, -1.0814165740060e-01, -2.0022571362044e+00,  1.7210289642314e+00,                    A, -2.1003484951768e+00,  1.9299730629427e+00, -3.4508419021343e-01,                    B, -8.6679587857500e-01, -9.7728710821109e-01, -1.3508242023335e+00,                    A, -1.7245738171071e+00, -5.1871535117866e-01,  2.4772169726897e+00,                    B,  8.6468680700277e-02, -5.3579967420174e-01,  1.4396370302082e+00,                    A,  2.6654472592025e+00,  1.2274983603973e+00, -1.6002489090337e-01,                    A, -1.6331385512816e+00, -3.4187440489321e+00,  9.7475797126406e-01,                    B,  1.1567181855594e+00, -4.6800039935361e-01,  2.6281056218164e-01
