#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 2.642302741725e+00, 1.618384542810e+00,-1.362876270011e+00,                  B,-2.555497141807e+00, 2.054785945122e+00,-5.282142016834e-02
                  B, 9.561092778461e-01,-1.932046136609e+00, 6.538135850661e+00,                  A, 2.442615762102e+00, 1.719681073332e+00, 1.685941372572e+00
                  B,-5.151542317386e-02,-5.062756705972e+00,-1.079590020169e-01,                  A,-1.796031884908e+00,-2.038527601064e+00,-4.969003420389e+00
                  A,-1.278846211274e+00, 4.536812463285e-02,-4.325920798092e+00,                  B, 3.453461089654e+00, 1.647746920688e+00, 2.167539627732e+00
                  A, 3.839591817602e+00,-2.466366934876e+00,-2.826249508572e+00,                  B,-3.486165517418e+00, 1.146106918732e+00,-1.511986784391e+00
