##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.4480026767941e+00, -2.4365642692794e-01, -1.7628975447188e+00,                    B, -2.5822192747134e+00, -2.2856541222031e+00,  5.1946409677610e-01,                    B, -1.6402724332705e+00, -4.0799124510285e+00,  2.8493418393355e+00,                    A,  1.2117526874576e+00, -2.6279592080200e-01, -3.7995852348834e+00,                    B,  3.1661412333954e+00,  7.8447289560718e-01, -7.9407385994050e-01,                    A, -2.3676885058781e+00, -1.6770746159944e+00, -2.1489697745066e+00,                    B, -1.4170712652717e+00,  5.7734245414947e-01,  5.2504474563360e-01,                    A,  2.7814231822398e+00, -6.4714406156808e-01, -8.5737518534694e-01
                    B, -2.2104496796892e+00,  2.9199376259757e+00,  2.8425495571685e+00,                    B, -1.3932264576509e+00, -1.0381881056420e+00, -8.5918515039149e-01,                    A, -2.7210811373263e-01,  1.0762084907279e+00, -5.5497439405235e-01,                    A, -5.6333083049570e-01, -1.1460980919882e+00, -3.0895409662857e+00,                    A,  1.8023088942496e+00,  4.5899684334528e-01,  1.8991573985926e+00,                    B, -7.8656806998885e-01,  2.1668093000291e+00,  1.3529380715866e+00,                    A, -1.3387738826986e+00, -1.4095225806622e+00,  1.7475699416089e+00,                    B,  1.5793711542818e+00, -5.7078065990515e-01, -3.4293669914068e-02
                    B, -1.5652678905444e+00,  4.2128529890106e-01,  7.4325866790985e-01,                    B,  4.1291138177327e+00, -7.2495529197559e-01,  3.0051026383297e+00,                    A, -4.0427343705283e-01, -5.3473338334251e-01,  2.6432379991911e+00,                    B,  1.2409075539535e+00, -5.3458636226179e-01, -2.6412414063818e+00,                    B,  1.9394905952204e+00, -4.4109790701184e-01,  1.0787443648706e+00,                    A, -2.1533263386542e+00, -4.8976560889702e-01, -2.2745281497907e+00,                    A,  2.9491778594431e-01,  3.2576719027795e+00, -1.8282712289029e+00,                    A, -2.5051568102924e-01,  2.7360454819883e+00, -3.5327552619877e+00
                    B, -2.5166345511503e-01, -2.0139727748998e+00,  8.5592741732698e-01,                    A, -1.8456760672002e+00, -1.5130402148340e+00, -2.4118636831976e+00,                    B,  1.3191462006148e+00, -1.1039801997781e+00, -2.0330880369128e+00,                    A, -1.1359123620078e+00, -4.3850199145039e-01,  8.6705145641349e-01,                    B,  2.0594364680120e-02,  4.2600068859272e-01,  1.8439424885890e+00,                    A, -2.6032142672291e+00,  1.9747685987031e+00,  7.0349516725240e-01,                    B,  3.0366482870787e-01, -9.8393804634927e-01, -1.1293343389201e+00,                    A, -9.6463934539056e-01,  3.8136558648881e-01, -1.2049839975965e+00
                    A,  2.4174399235316e-01,  1.0655804277160e+00, -4.4623354730344e-02,                    B, -2.6386899766636e+00, -1.0491222823933e+00,  1.3155424441477e+00,                    A,  6.0288984217992e-01, -2.9190871821257e+00,  3.5977580600446e+00,                    A,  2.9083541956038e+00, -2.6881168830533e-01,  1.7495837480736e+00,                    B, -3.0535656467195e+00, -3.9366344849323e-01,  3.0475153371094e+00,                    B, -1.2017522002720e+00,  7.3958711284170e-01,  2.4556155567161e+00,                    B,  1.2744685779999e+00,  1.6266293997819e+00,  8.8300939871050e-01,                    A, -1.6689729893963e+00,  3.4533453002566e-01, -2.5962952845842e+00
                    A, -8.6266842353627e-01, -1.3034239030830e-01,  6.0923151290287e-01,                    B,  2.7565682049441e+00,  3.7919761795528e+00,  3.1066222047799e+00,                    A,  5.1053276296295e-01,  1.0266136695323e+00,  1.1180987347128e+00,                    B, -1.4050202374295e+00, -2.2848155018849e-01, -1.5183639350723e+00,                    A,  1.2793265701939e+00, -2.8468878652760e-01,  4.7589151189719e-01,                    B,  2.4303831220810e+00,  2.0617460274483e+00, -5.0023534920713e+00,                    A,  3.4151671180294e+00,  2.6907866549089e+00,  1.4616511911170e+00,                    B,  7.1278622562995e-01,  4.8796426489776e-01, -1.9918411749309e+00
                    B, -2.6122773260233e+00, -2.5291016092490e+00, -1.6817796006298e+00,                    B,  1.9210785122554e-01, -3.6622365364496e-01, -3.6489444250072e+00,                    A, -1.3305218468950e+00,  2.5513444772728e+00,  7.2062364191352e-01,                    A,  2.3663115730643e-01,  4.5578386029598e-01, -1.2167315272641e+00,                    B,  2.0038007794802e+00,  1.2430790964949e-01,  1.6305589978845e+00,                    B, -8.1340352066127e-01, -2.8286809428868e-02,  2.5711202755762e+00,                    A,  3.7788026321567e+00,  6.2658673123420e-01, -2.1911197872297e+00,                    A,  2.2220253465961e+00, -3.1563164538351e-01, -2.3181998380793e+00
                    B,  6.9518817962680e-01,  2.3835659490384e+00, -4.2924193459502e-01,                    A, -2.2865932609236e+00,  1.3551887944476e+00,  7.5722736614087e-01,                    B,  1.0167216822350e+00, -1.7670436856594e+00, -2.5618901900448e-01,                    B, -4.5887814481585e-01, -1.5430781291223e+00,  1.8932328559720e-01,                    B,  7.3603078093883e-02, -5.9863009858556e-01, -2.1241286468047e+00,                    A,  1.3209282546808e+00,  1.0596688564974e+00,  2.7357480460246e+00,                    A, -1.8329148523042e-01,  1.0553016097120e+00,  1.5656485077300e+00,                    A,  2.2247120461559e+00,  2.3407252447518e-01, -1.8830535637381e+00
                    A, -1.9243580767868e-01,  4.2973999922995e+00, -3.6093113680003e-01,                    B,  2.1094657422803e+00, -1.4316603977088e+00, -1.0879305807808e+00,                    B, -1.4607808161727e+00,  3.6524361749187e-01,  4.3663724747631e-01,                    A, -2.7032706312023e+00, -2.1013524535260e+00,  1.5280079699929e+00,                    A,  7.4333036532041e-01,  3.9949319535913e-01,  2.5351489487579e-01,                    B,  4.0117887935740e-01,  5.7270289143694e-03, -1.9408458688889e+00,                    A,  2.6411252198061e+00,  2.2056294707020e+00,  2.0755988169583e+00,                    B, -3.3596351477762e+00, -8.3760980335184e-01, -8.6216288446223e-02
                    B,  2.3111130496458e-01,  1.1004697618361e+00,  1.7300883786999e+00,                    B, -1.0644027925326e+00, -7.3426758758290e-01, -3.3526294880504e-01,                    B, -1.4324811213780e+00,  5.1408251724369e-01,  2.5882111955279e+00,                    A,  2.2626531199032e-01, -3.5998308192737e-02, -1.3219225034641e-01,                    A, -6.5845605058224e-01,  5.5345817304592e-01,  9.1488303251961e-01,                    A,  1.5487300719461e+00,  1.9833707832861e+00, -5.7929074712466e-01,                    A,  9.7563069621920e-01, -1.4328267982305e+00, -5.0947174192424e-02,                    B,  2.3478721745303e+00,  1.6213243873624e+00, -2.1357265975236e+00
