##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A,  3.4722763108078e+00, -3.6516884253000e-03, -1.2965920070727e+00,                    B, -3.1554779583234e-02,  1.2707728425719e+00,  1.5898707386502e+00
                    A, -3.9699591404544e-01, -1.2373995750322e+00,  3.1997941333984e-01,                    B,  1.4037737176726e-01,  1.4285817669258e+00, -2.7884230369780e+00
                    A,  1.9080245751270e-02,  1.8476330184433e-01, -1.0216281005128e+00,                    B, -5.8558736681076e-01, -1.3952590869586e+00,  1.0456821336172e+00
                    B,  1.0593192931196e-01,  3.4084414957614e+00,  5.4748945850205e-02,                    A,  1.1392149579151e+00, -6.1947370603110e-01, -1.7527810423124e-01
                    A, -1.0497582579806e+00, -1.0002677775787e+00, -1.1204254785161e+00,                    B,  7.7486619927838e-01,  6.5081926320251e-01, -6.1680050812242e-01
                    A, -1.0734666710012e+00, -9.1649742525104e-01,  4.2709597446885e+00,                    B,  1.1904585638578e+00,  1.9108591588813e+00, -2.2988579225987e+00
                    A, -3.8295737354983e-01, -3.0068228593762e-01, -1.0050119264196e+00,                    B, -1.3996192604563e+00, -1.2544912266504e+00,  2.1503075286337e+00
                    A,  1.5046888121452e+00,  2.8838552092226e-01,  1.6800567698874e+00,                    B,  1.8149031372428e+00, -9.8492902016782e-01, -1.9721117314233e+00
                    A, -1.3352672478611e+00, -1.4749239224756e+00,  3.2704408274932e-01,                    B, -7.5933408953827e-02,  2.7075670392696e-02, -9.7226082527154e-01
                    A, -5.3113865478906e-01,  1.7643805058154e+00,  1.6105815653171e+00,                    B, -2.1853774292601e+00,  1.5608396943645e+00, -5.2254401371881e-01
