##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -3.6749828183937e+00,  3.8224470109675e+00, -6.4016686434438e+00,                    A,  3.9201187009992e+00, -4.6934211188553e+00,  3.2532943997345e-01,                    B,  1.7084850306150e+00,  3.7797921339620e+00, -3.1637040719862e+00,                    B, -2.2684686220611e+00, -2.1003547056398e+00,  4.8379791758844e+00
                    A,  1.2786605341381e+00,  1.1365586223562e+00, -3.5648325166129e+00,                    B,  4.6925067834518e-01, -1.7474257462529e+00,  1.4229634648956e+00,                    A,  1.4168540044203e+00, -2.1416750076962e+00, -5.1036239456762e+00,                    B, -6.2661215507392e-01, -4.2816538801319e+00, -2.8352044373958e+00
                    A, -7.5299176880148e-02,  2.8141117086443e-01,  7.5006598204582e-01,                    A, -1.4742850940345e+00,  3.4063168186004e+00,  2.3919283117790e+00,                    B,  7.5922546924138e+00, -4.2454497249053e-01, -2.4536519580079e+00,                    B, -5.5545246420934e+00, -1.7204798373978e+00, -2.3826698291673e+00
                    A, -1.4993733419889e+00,  2.8294312794382e-01, -3.1199984374007e+00,                    B,  2.9427762761305e+00, -1.8351205442467e+00, -6.9649633130585e+00,                    B, -2.4223897129934e-01, -3.1531768028493e+00,  9.9790969398012e-01,                    A,  7.5928310281233e+00,  5.8329876750997e+00, -2.3346428569071e+00
                    B, -1.4198472751522e-01,  3.3353077412436e+00, -2.7648379724384e+00,                    A,  2.6483632181218e+00, -1.1748882434236e+00, -1.8254933812427e+00,                    B,  1.0688391966431e+00, -1.8486632254850e+00, -4.5681043130111e+00,                    A,  2.3325949258346e+00, -2.7618583126841e-01,  3.0157831617714e+00
                    A,  2.4596498133875e-01,  3.8422243884873e+00, -1.0768209107985e+00,                    A, -1.5325998208184e-01,  4.8620896967400e+00,  1.1347241356883e+00,                    B,  2.1914717232517e+00, -7.6659761477667e-01,  5.9465072700084e+00,                    B, -2.1343109776044e+00, -8.0957643762059e-01, -2.6442433603012e+00
                    B, -3.4327649025031e-01, -2.4035293809900e+00, -1.1961650222153e+00,                    A,  2.7189472320918e+00,  1.8554113820505e+00, -2.3971312991031e+00,                    B, -2.2282733964796e+00,  7.6982002512708e-01, -1.8288189098759e+00,                    A,  2.9987022270050e+00,  2.2616490552846e+00,  7.8397752944256e-02
                    A,  3.8924849035458e+00,  1.2275071091768e+00,  1.4161037567272e+00,                    A,  9.9004903085497e-02,  5.0504060901321e-02, -1.3201960640544e+00,                    B, -1.9795226486518e+00, -2.0200783454533e+00,  1.6678836185817e-01,                    B,  4.8208168037627e+00, -7.5915767389847e-01, -5.2930566419459e+00
                    A, -1.4160454133718e+00, -2.2604203843897e+00, -2.8354281840557e+00,                    A,  2.0492054896927e+00, -8.7255902839714e-01, -5.0813649879344e+00,                    B,  2.2685635038374e+00, -2.2972723676959e+00,  8.6247255887002e-01,                    B, -1.9797040520506e+00, -5.7407357819506e+00,  1.8422400072647e+00
                    A, -1.7017169203264e+00, -2.8689231483970e+00, -4.1751267569772e-01,                    A,  8.2800005134799e-02,  5.0256031788476e+00,  4.3645082502416e+00,                    B, -4.1207569888082e+00,  2.7887015818363e+00,  1.5172033787434e+00,                    B,  1.9042150265966e+00,  1.5099918737402e+00, -2.9675419151146e-01
