##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  8.2978096610587e-01, -1.1901274302830e-01,  3.3597020658605e-01,                    A,  1.6077782713516e+00,  1.4518867871334e+00, -2.7665365474697e+00
                    B,  2.1552588358979e-01, -1.3196833465685e-01,  2.1542917080656e+00,                    A, -2.5076156580482e+00, -1.5668266078013e+00,  8.1355411473058e-01
                    B,  4.8249268037767e-01, -7.1219070023843e-01, -3.1106155823947e-01,                    A, -1.6243284119184e+00,  2.2810908001863e-01,  1.7232713198765e-01
                    B,  9.4343543449641e-01, -1.0188500829709e-01, -1.0720692483599e+00,                    A, -3.2080683768646e+00,  1.0195481280619e+00, -7.1718582471273e-01
                    A, -5.3220973873479e-01, -1.4833832989823e+00, -1.3126685935500e+00,                    B,  5.6380821958595e-01,  1.9947125037979e-01, -1.9152011317044e+00
                    B,  1.3071937455042e-01, -3.4436926247969e-01,  8.1236523683897e-01,                    A,  7.8608507036530e-01, -1.3004203248292e+00,  1.8928868640900e-01
                    B,  8.2577433785948e-01, -2.0710915670414e+00,  2.2316739624696e+00,                    A,  1.7729938695246e+00,  1.4975332017067e+00,  1.7473318019812e+00
                    B,  3.5433954634214e-01,  2.5668602060280e+00,  1.3065443011239e-01,                    A, -1.3286875314377e+00,  2.3028980562233e+00, -2.5038550607495e+00
                    B, -2.2457650248798e-01, -6.5160282652983e-01,  1.4222415046299e+00,                    A, -9.6518592301324e-01, -1.3733650462229e-01, -1.0803354696591e+00
                    A, -3.4099208680505e-01,  1.5860778266055e+00, -3.9893406847861e-01,                    B,  9.5470340164824e-01,  2.3000875069575e+00,  1.8420002736232e+00
