#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B,-2.237487568591e+00, 2.235630708359e+00, 4.454957292215e-01,                  B,-1.354265533344e+00,-9.154967368968e-01, 1.491707730647e-01,                  A, 9.675234716111e-01,-1.871150442982e-01,-8.941973473773e-01,                  A,-6.646196331404e-01, 1.267769182465e+00,-7.056786510034e-01,                  B, 6.504859591538e-01, 2.494288139450e-01, 7.758491068697e-01,                  A, 9.963349688918e-02,-4.142264232822e-01, 3.867286928807e-02
                  A, 1.316189152058e-01,-1.049622707840e+00,-7.200559677007e-01,                  B, 3.579042049645e-01, 7.248997106204e-01,-9.801835095074e-01,                  B,-1.334379302698e+00, 6.356709859098e-01, 4.056315029002e-01,                  A,-1.007872023365e+00,-4.366702603523e-01,-1.036417717252e+00,                  B, 1.407415469652e+00, 5.372069236164e-01, 1.851741561626e+00,                  A, 3.431400415369e+00, 8.041443486676e-01,-8.783399040231e-01
                  A, 2.177531030235e+00,-4.718347250760e-01, 2.541350209988e-01,                  A,-2.154477809842e-01,-9.200745509343e-01, 7.552730991355e-01,                  B, 6.333062584536e-01, 1.279431315713e+00,-4.682390447987e-01,                  A, 1.213583783752e+00, 1.047349963890e+00, 1.353643629521e+00,                  B, 1.483023066943e+00,-6.966621173227e-01, 2.225761513810e+00,                  B, 5.833937152399e-01,-1.119108069917e-01,-1.362628856621e+00
                  B, 5.977829435099e-01,-1.858931929224e+00, 1.134256837498e+00,                  A,-1.075172593006e-01,-9.220880865181e-01,-5.152689478789e-01,                  A,-3.004713547965e-01, 1.594250622061e-01, 4.589973510785e-01,                  B, 2.131750602091e+00, 1.118341700137e+00, 5.137543052072e-01,                  A,-1.812188703041e+00, 2.668873444192e+00,-3.178306727216e+00,                  B, 3.489658788700e-02, 1.207005138888e+00,-3.311531628112e-01
                  B,-1.757492028261e+00,-5.688300562694e-01,-2.991429579826e-01,                  B, 3.652515777795e+00,-5.059281248920e-01,-2.183285308013e+00,                  A,-2.065320352448e+00, 3.810406987808e-01,-1.430693354396e+00,                  A,-1.491796197767e+00, 2.539676138445e+00,-1.040195660327e+00,                  A,-1.838528654569e+00, 5.913567355272e-01, 4.523787502313e-01,                  B,-5.457369725363e-01,-2.702305643357e+00, 1.748250859728e+00
