##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B, -2.9543704400733e+00,  1.5563048662673e+00,  4.0127880737346e-02,                    B, -3.7579694611092e-01,  1.0255698578281e+00,  2.0165895318679e+00,                    A, -1.0980628702335e+00, -2.3646170215873e+00, -1.8526811942199e-01,                    A,  1.6336990670250e-01, -7.0149668706196e-01, -4.8621359506197e+00
                    A,  1.6077587666229e+00,  1.5877472237165e+00,  2.7124285638680e+00,                    B,  1.8530550733126e+00,  2.1876249231118e+00,  1.4892197101340e-01,                    A,  9.7066447710670e-02, -4.2425602242877e-01,  9.3658599737142e-01,                    B,  1.9576141754289e+00, -5.3839729183767e-01,  1.8967348344135e-02
                    A, -2.2427667148333e+00, -1.7632383654466e+00, -1.8490307963659e+00,                    B, -2.1161566927165e+00, -4.4279148149158e-01, -2.5076356600075e-01,                    A, -7.3011676490113e-01, -2.3360373579933e-01, -4.6333127678042e-01,                    B, -1.1814145232578e+00, -9.1096027685289e-01, -7.9179166888144e-02
                    A, -1.8044501873981e+00,  2.1659121676683e+00, -1.0787027552460e+00,                    B, -5.8838491816557e-02, -3.6286593367042e-01,  5.1356981958604e-01,                    B, -1.1159296523985e+00, -1.5913613904300e-01,  4.3853817043501e-01,                    A, -1.1567792140413e+00,  1.4858064216432e-03, -3.9725170425733e-02
                    A,  7.5236572654316e-01, -2.6393814724619e+00,  1.1135504930753e+00,                    A,  9.6585098913915e-02,  7.5517670563637e-01, -2.2885588404868e+00,                    B,  9.1958170760914e-01, -7.6371977917943e-01,  1.2665046477619e+00,                    B,  1.5859393461604e+00, -3.1090222320096e-02,  3.3163653732473e+00
                    B,  1.8262272729702e+00, -1.6876459364021e+00, -8.6143834244577e-01,                    B,  8.3056883634788e-01,  1.8618857605470e+00, -1.3541618842242e-01,                    A, -1.2278483978485e-01,  1.6486274557900e+00,  2.8132206486674e-01,                    A,  2.5428460920438e-01,  2.5464894299104e+00,  1.2690902111899e+00
                    A,  9.1784418152959e-01, -8.1950052122576e-02,  1.6060885660991e+00,                    A, -5.3090205951705e-01, -2.8833358451752e+00, -2.3903933473058e-01,                    B, -2.7059687299165e+00, -9.7967153492220e-01,  1.5549702128928e-02,                    B, -9.9760789798679e-01, -7.8515669502952e-02, -7.8948058138700e-02
                    B, -5.1551105085192e-02,  7.9606279774651e-02,  1.0306484776087e+00,                    A,  2.4550517364895e+00, -2.3018518782370e+00,  1.5202598332418e+00,                    B, -8.6808322089053e-01,  1.3234805308599e+00, -5.1793528460760e-01,                    A, -5.0859065815834e-01, -3.5033175759041e+00, -1.2644657733393e+00
                    B,  1.5247844542769e+00,  5.4169445352308e-01, -9.6885376746173e-01,                    A, -2.1154484000290e-01, -1.4800269912214e-01,  2.6588203467689e+00,                    B,  1.0687024360256e+00, -5.5449507251413e-01,  3.4252724296729e+00,                    A, -1.6784080987992e+00,  5.4009796368754e-01,  2.9099258877417e+00
                    A,  8.5947554144022e-02, -3.5643063193885e+00,  1.5858234144080e-01,                    B,  1.5011018487383e+00,  1.6759325749497e+00,  4.5595362589150e+00,                    A,  1.1337365527693e+00,  1.2707572857056e+00, -4.4941528684819e-01,                    B, -2.7571471956203e+00,  4.7824666852196e-01,  3.1286402716136e-01
