##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -2.6637245763726e+00, -1.0338537582128e+00,  2.7058392456862e+00,                    B, -1.5004682530140e+00, -9.5912813104769e-01,  8.9943694859412e-01,                    B,  8.9667623687439e-01, -1.5341474784325e+00, -2.3828230665630e+00,                    A,  1.9316520035253e+00,  5.5599075936111e-01, -1.6168725654080e+00
                    A, -5.0697715831936e-01,  2.1648056580335e+00, -4.1523858850008e-01,                    B,  9.9575672114930e-02, -6.9967380201459e-01,  1.6979398589475e+00,                    A, -5.2708476681530e-01,  2.3710236105864e-01, -5.3063301002973e-01,                    B,  2.1287385148733e-01, -1.6249199360528e+00,  6.2569270257250e-01
                    A, -1.1548587545843e+00,  5.3842396520902e-01,  1.9451575974433e+00,                    B,  2.5209830652440e-01,  5.4456149043951e-02, -5.6417264883450e-01,                    B, -1.3950074287682e+00, -2.1565310230198e-01,  6.9801032842713e-01,                    A,  2.2872785887896e+00, -4.9166808437704e+00,  1.0660370472017e+00
                    B,  1.3005546564107e+00, -3.6853227678844e-01, -1.0560541270485e+00,                    B,  9.9835950795482e-01, -6.6773988315439e-02, -1.9385010128586e+00,                    A, -1.1528049994816e+00, -8.1211644134108e-01,  7.2237758494483e-01,                    A,  4.2953435979819e-01,  6.6596454992900e-01, -4.0883977038687e-01
                    B,  4.2005657282342e-01, -8.9716159019909e-01,  1.8495924644757e+00,                    A,  1.1686491033090e+00,  2.2429534308200e+00,  8.5720881816457e-01,                    A, -9.1355006992612e-01, -2.1820042896056e-01,  2.0988385515649e+00,                    B,  1.5558360441520e+00, -2.0660407461045e+00,  3.3975438173262e-01
                    B, -3.0206031737657e+00,  2.5389608251814e+00,  2.2696908622591e-02,                    A, -2.4181631586041e+00,  2.4352285159708e+00, -2.8134470701270e-01,                    B,  2.0543592476191e+00,  2.3499552163067e-01,  1.3688120605956e+00,                    A,  7.9506397130848e-02,  3.7989734212838e-01, -1.3895912044436e+00
                    A, -8.1474344220927e-01, -1.1093689392282e+00, -4.6972786688821e-01,                    A, -8.4985475282747e-01,  7.6920235479838e-01, -7.2193752265694e-01,                    B,  2.2390502427964e+00, -3.6058155460405e+00, -5.9186379695395e-01,                    B, -1.2817368115806e+00,  5.2768994387791e-01, -1.7094243129210e+00
                    A, -1.9026829879135e-01,  8.4808539138797e-01,  9.8900134125841e-01,                    B,  1.2302382128920e+00, -1.6440005025463e+00, -1.4545696126888e+00,                    B, -1.2910289342521e+00,  1.4164282431300e+00,  3.3574389804480e-02,                    A,  1.5256673182625e+00, -1.8686056918390e+00, -7.1002752938122e-01
                    B, -2.9566935100976e-01, -3.9878244386176e-01,  2.0288864789314e+00,                    A,  1.9712381947195e-02, -1.4738485935884e+00,  8.2388764048956e-01,                    A, -1.2771076038891e+00,  4.9659985698173e-01,  1.4944655183313e+00,                    B, -3.9145046954252e-01,  4.9084723664096e-01,  3.8898866617770e+00
                    A,  2.7671805623009e-01,  5.8200593360885e-01,  1.3079549576723e+00,                    A,  4.9118166300866e-01,  4.0061505969904e+00,  1.6589104709741e+00,                    B, -1.6562312603824e+00, -1.6732446754001e+00, -1.2355681618587e+00,                    B,  1.7608775561034e+00,  8.2412625094591e-02,  2.5336724467707e-01
