#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A,-6.478357233001e+00, 2.440648996650e+00,-2.599489874415e+00,                  B, 1.341633072868e+00, 2.757251345518e+00, 1.785361395585e+00,                  B,-1.677974852919e+00,-2.825216598960e-01,-1.042745165724e+00,                  A,-1.569713731027e+00, 5.331479101703e+00, 5.147061927780e+00,                  B, 1.869471000382e+00,-7.012886700666e+00, 1.595511030207e-02,                  A,-2.958301877353e+00, 3.533464554131e+00, 1.284109705350e+00
                  A, 5.749480675320e+00, 5.881941350350e+00,-1.825368727085e-01,                  B,-1.329826230688e+00, 7.068500199200e+00,-2.994997934746e+00,                  A,-3.131747039221e+00, 5.270144229423e+00, 1.885063023368e+00,                  A, 1.464022692876e+00,-8.299619837128e-01, 4.841461693203e+00,                  B, 1.807773463334e+00, 3.002695723023e+00,-3.834752536272e+00,                  B, 3.903420009183e-01,-1.094033694252e+00,-4.915717972960e+00
                  B, 6.675422481434e-01, 2.990977154746e+00, 3.265309248685e+00,                  B,-2.315308398030e+00, 6.083100860781e+00,-1.526163419808e+00,                  A, 1.120336681830e+00, 2.755075654452e+00,-2.341844168844e+00,                  B,-1.370973006521e+00,-1.779460698289e+00, 6.960917869948e+00,                  A,-2.457293367279e-01,-1.398895979938e+00, 3.144006318618e-01,                  A,-1.283225836032e+00,-2.496006395830e+00, 4.087661868540e+00
                  A, 3.206654120794e+00, 5.882916604777e-01,-1.032622657821e+00,                  B,-5.189094444781e-01, 3.037964198630e+00,-4.069176217433e+00,                  B, 2.428954290312e+00,-2.434901048115e+00,-4.489256916706e+00,                  A, 7.016024387026e+00, 1.286670592202e+00,-2.765840377558e+00,                  B, 2.600487182221e+00, 2.596831415778e+00, 2.473014049464e+00,                  A,-2.297490209139e-01, 7.392759762647e-01,-4.728499364449e+00
                  A,-5.935445060791e+00, 1.552678289085e+00, 3.760936223595e+00,                  A,-1.200255049077e+00,-3.784972355661e+00,-2.990000702748e+00,                  B, 4.567787337930e+00,-2.610545679088e+00, 3.254086313915e+00,                  B,-3.512730690728e+00,-3.422299912729e+00,-1.881879427674e+00,                  A, 4.907045032713e+00,-4.295590512182e+00, 2.258087581895e-01,                  B, 3.128604306511e+00,-2.691411242311e+00, 4.509254653183e+00
