##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  4.1353110928051e-01,  4.7747118663571e-01,  1.9611753325184e+00,                    A,  7.9791667981770e-01, -1.0833534470307e+00,  1.7981281601927e-01,                    A, -2.2400519228447e+00, -3.7557827554428e-01,  3.2180340753371e+00,                    B,  1.6502308828126e+00,  3.1029609132058e+00,  1.3765102438457e+00,                    B, -9.8816691962030e-01, -1.5639343574056e-01,  3.9363730672821e-02,                    A, -6.0858025459235e-01,  2.1323616363310e+00, -2.4309987784047e+00,                    B, -1.4406379094148e+00,  7.3156859820626e-01, -1.8385325384851e+00,                    A,  9.2773888999506e-01,  2.5145303953338e+00, -4.7387869273941e-01
                    A, -1.1707609141365e-01,  7.7228026995220e-02,  1.1105454734094e+00,                    A,  1.7998794824057e+00,  1.4486773656613e+00,  5.3530979033541e-01,                    A,  2.8061396888301e-01,  5.5731964249146e-01, -1.8028577991085e+00,                    B, -2.0763666192349e+00,  3.0309110733250e+00,  3.2211674714701e-01,                    B, -7.8541773533083e-01,  1.0090263316370e+00,  1.5483559052881e+00,                    B, -3.6964008881766e-01, -1.7844368048092e+00, -9.6032327196237e-01,                    A,  1.2291338205073e+00, -8.3390994886274e-01, -2.8723095498372e-01,                    B, -2.4067373910658e+00, -2.9629036633752e+00, -7.2663036706605e-01
                    A,  1.3432046409163e+00, -3.8947832775491e+00, -7.7666925128108e-01,                    A, -2.6088979455643e+00,  2.8516566749347e+00,  9.4883965997470e-01,                    B, -6.4318151060735e-01,  1.5609464761022e+00,  7.8145987953621e-01,                    B, -8.8612261836638e-01, -1.0646101236941e+00,  6.1849181227633e-02,                    A,  6.6516178445813e-02, -5.9766810214147e+00, -2.1088763520780e-01,                    A,  3.4152938791010e+00,  3.5282176177284e-01,  2.6024843665555e+00,                    B,  1.4913532797624e+00, -1.0835164481666e+00,  7.2087764474208e-01,                    B,  2.7398592463339e+00,  1.5624416828020e+00,  8.2119758431981e-01
                    A, -1.1747218512401e+00, -1.9544457533462e-01, -1.3880199817419e+00,                    B,  2.8222578137553e+00,  1.5905334294782e+00, -2.6302942195298e+00,                    A, -8.1427257763133e-01,  1.6878231136161e+00, -2.4380776495294e+00,                    B,  7.9531928983875e-01, -1.9847199114832e+00, -1.3949145432580e+00,                    B, -1.1901523136081e+00, -1.6673846045221e+00, -2.5594096214470e+00,                    A,  5.3329891932424e-01, -2.1695950520501e+00,  5.5491335524622e-01,                    A,  1.6923129250636e+00, -1.4275560243493e+00, -6.7941551089933e-01,                    B, -4.5195502270072e-01,  1.0664127033427e+00, -1.1407401020613e+00
                    A,  1.2194616229928e+00, -1.3492128010337e-01,  1.3168116043123e-01,                    B,  5.5518731831921e-01, -8.0573974280252e-01,  1.8047467747550e+00,                    A,  9.8410430995336e-01,  6.4006667214706e-01,  1.0619987674490e+00,                    B,  1.1341796262105e+00,  2.2569036396682e+00,  1.6481004122612e+00,                    A, -2.8561158775178e+00,  3.2769777185480e+00, -1.0206342659156e+00,                    A, -4.0069436568652e+00, -1.6174531554513e+00,  1.1415589760364e+00,                    B,  5.1467779638388e-01,  1.6284570703178e+00, -1.7133498522458e+00,                    B, -2.8321173452124e+00,  9.8747956960517e-01, -2.2674039079758e+00
                    B,  1.7147241347562e+00,  3.1225515918716e+00,  5.7647372814637e-01,                    A,  1.0252215888830e+00,  1.2282667022503e+00,  2.1081596648121e-01,                    B, -2.8076000465091e+00,  1.3659391526499e+00, -1.5070499897268e+00,                    A, -1.9986072018112e-01, -7.6698395697361e-01, -1.4435871821356e+00,                    B,  2.8767729130984e+00, -1.4410659764865e+00,  1.3224457738169e-01,                    B,  1.8779919061598e+00,  1.1579267955553e+00, -3.3715927272113e+00,                    A,  6.1331794171346e-02,  2.1914749824861e+00,  1.4245789665141e+00,                    A, -4.6679912982135e-01, -3.7849176299147e-01,  2.6087017837190e+00
                    A,  1.1099915193295e+00,  1.5043557888100e+00, -2.4668494911580e+00,                    B,  1.9892325822349e+00,  1.1648631999964e+00, -6.0613560232970e-01,                    B,  1.2835389838363e+00, -1.4908480118458e+00, -6.0478950691736e-01,                    B,  1.6327372289399e+00,  1.7957093764557e+00,  8.0548546049220e-01,                    A,  3.1647043645978e-01,  2.4197071236219e+00,  2.9151461536950e-01,                    A,  3.1912635348070e+00,  6.7132532908504e-01,  1.4028961648269e+00,                    A,  9.4074494528772e-01,  1.6527210464807e+00, -5.2932418349652e-01,                    B,  3.8221654745636e-01,  3.9011190093878e-01, -1.6266907667099e+00
                    B,  7.0742034697090e-01, -2.2751534132527e+00, -6.5477830739067e-01,                    A,  1.2456513167744e+00, -8.9783885660662e-01,  1.1277279497274e+00,                    A,  1.4675164016415e+00, -8.3145781673857e-01, -1.0273186924207e+00,                    A, -7.2046876577337e-01,  9.8156811247954e-01, -2.8141959768390e-01,                    B,  2.3712687759017e+00,  2.8983033470979e+00, -6.5844665858314e-01,                    B, -1.3644953900337e+00,  3.0704780572621e-01,  1.2131292729865e+00,                    B,  2.3624325882340e+00, -1.5134128987502e+00,  4.6272309332807e-02,                    A,  1.6221058739834e+00,  2.4697148223500e+00,  3.0839940630711e+00
                    A,  1.2481258104957e+00, -1.7399073818168e+00, -2.0008564421328e+00,                    B, -1.2310342767065e+00, -7.1113190708224e-01,  3.4469590573908e-01,                    B, -1.4838455642936e+00, -1.6943444742049e+00, -1.5496425311068e+00,                    B,  6.7246256968317e-01,  2.3952558018139e+00,  4.1122771041364e-01,                    A,  1.4459653829174e+00, -1.9478487195565e+00,  3.2252688074864e+00,                    B,  1.8942470958927e-01,  2.1593203299510e+00, -1.6867793868986e+00,                    A, -2.0369162301371e+00,  3.3553233880904e+00,  8.9643241039138e-01,                    A, -2.3907062050531e+00,  2.9026067524077e+00, -3.9237669852353e-01
                    B, -2.8741348394942e+00,  1.6006230935690e+00, -1.7388183213424e+00,                    A,  8.3652590030871e-02, -1.9514079505156e-01,  1.5356994826184e+00,                    B,  2.0272297170145e+00, -2.7454684964950e-01, -9.3856310506453e-02,                    A,  1.0815845197491e+00,  2.6061076885300e-01,  2.7677709483672e+00,                    A, -8.7755055500647e-01,  1.4077129333211e+00, -1.4377670510671e+00,                    A,  1.0764955421941e+00, -1.5843635457331e+00,  1.9859419446064e+00,                    B,  1.1963241352730e-01,  4.8508802266882e+00, -1.1841741505349e+00,                    B, -7.7155280105165e-01,  2.5965757378254e+00,  5.5604058831422e-01
