##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.1372066895764e+00, -7.8946439357812e-01, -8.9261324087575e-01,                    B,  8.9905952549773e-01, -1.4549726223572e+00, -3.4776269841373e+00,                    B,  1.0009547008381e+00,  1.8299978817833e+00, -9.0820187238305e-01,                    A, -8.7953182983007e-01,  2.5363510619375e+00,  2.1688694998016e-01,                    A, -3.0350946557486e+00,  1.3647945075519e+00,  3.9058309075939e-01,                    B,  1.1248152700036e+00,  9.7995117633629e-01,  1.4910880844629e+00,                    B, -3.0365561457201e-01,  1.4261299911567e+00, -2.7733720631177e+00,                    A, -1.0282258392493e+00, -9.1055385766334e-01,  1.6411398804510e+00
                    A,  3.1900250776457e-01, -2.9451672607342e+00, -9.5542706617154e-01,                    A, -1.8839952188901e+00,  1.2595358266084e+00, -3.0606329179753e-01,                    B,  5.8201902838570e-02, -2.3128915389689e-01, -1.1988955482654e+00,                    B, -1.9769775253754e-02,  2.1522889318792e+00, -2.6563644366653e+00,                    A,  2.4089288713644e+00, -3.2394986954606e-01, -1.5112820965411e+00,                    A, -3.2887425307089e-01,  2.9027557314765e+00,  2.6165453484505e-01,                    B, -1.3725193728134e+00, -7.4505937385229e-01,  2.1893124055714e+00,                    B, -3.7361075008892e+00, -6.5659359017307e-02,  6.1475783596230e-01
                    A, -1.5288659985316e+00, -1.7669077938761e+00,  3.4262870219363e-01,                    A, -1.4160133515001e+00,  1.2998292142081e+00,  2.1414068373753e+00,                    A,  2.1644078651186e+00,  2.4715567805724e+00,  2.0161520565090e-01,                    B,  1.5871166004398e+00, -1.2432281850571e+00, -7.1406887340086e-01,                    B, -2.3183449166287e+00,  4.9663516178944e-01,  1.2390357448090e+00,                    B, -5.1786451104598e-01,  1.4929222535107e+00, -2.5640532547052e+00,                    B, -7.4136821666672e-01, -2.7145725910187e+00, -8.4969416942625e-01,                    A, -1.2757287798525e+00,  3.2254981913866e-01, -1.9284668539851e+00
                    B, -1.8085349653867e-01, -5.2621295283881e-01, -2.6155223689349e+00,                    A,  2.2340378241455e+00,  3.2770100693103e+00, -1.9345190457851e+00,                    A, -2.5020019895292e-01, -2.9880620122019e-01,  1.2808961026175e+00,                    B, -1.0089592636431e+00, -2.7563609856092e+00, -8.4910138406042e-01,                    A, -3.2133771496380e+00, -5.6194199840747e-01,  1.1787193717862e+00,                    B, -9.2838941722540e-01, -4.6960806810766e-01, -1.8112984131803e+00,                    B,  2.8512068104630e+00, -3.0753524823299e+00, -3.4722585985502e-01,                    A, -1.6099211836888e+00,  5.0424584986099e-01,  2.7697571608787e+00
                    A,  1.1398477340105e+00, -2.8229839661695e+00, -4.7330640533936e+00,                    B,  1.7917159157014e+00, -2.3100232550907e+00, -2.9973564107293e-02,                    B,  2.0663800877593e+00,  4.2550858280600e-01,  1.7754092348062e+00,                    B,  4.1248092624155e-01,  7.7587645101071e-01, -1.0801627343704e-01,                    A,  3.6684647578869e-02, -2.7117332196548e+00,  2.8278189421896e-02,                    B, -1.0413014652592e+00,  3.6559761114110e-01,  1.2849366383720e+00,                    A, -2.0883338144493e+00, -1.7476759447793e+00,  8.0530820000407e-01,                    A,  1.9685037076172e+00,  4.7998214178074e-01, -7.4280194824390e-01
                    B,  6.2461975736111e-02,  2.1109690218497e+00, -1.1367317523208e+00,                    B, -1.8897107149396e-01, -1.0311986194387e+00,  6.1005791454988e-01,                    A, -8.8427240480443e-01, -1.0936934615497e-01,  1.4770900611198e+00,                    B, -2.9590301361179e+00,  2.0924891391421e+00, -3.0752648898218e+00,                    A,  3.3749058310327e+00, -2.1369595334676e+00, -1.4917118924418e+00,                    A,  1.2508505112027e+00,  2.3874792177806e-01,  7.9869199366201e-01,                    A, -1.2347816793307e+00,  2.9438004186345e-01, -2.2846159812202e+00,                    B, -6.3138540457046e-01, -2.3972798381249e-01, -1.2700619098888e+00
                    B,  3.5447197084961e-01,  1.2516029288363e+00,  2.1610367384806e+00,                    B, -2.1342740168477e+00,  1.0153071401623e+00, -1.2607096348377e+00,                    A,  4.6086543757720e-01, -9.6078230281089e-02,  7.5609726901534e-01,                    A,  1.1134723414659e+00, -3.4590481870283e-01, -1.6602459265556e+00,                    B,  1.1457481643453e+00, -3.1968385354061e+00, -2.1206889586649e-01,                    B, -6.6762138574138e-01, -1.8422705473765e+00,  1.5740086691161e+00,                    A, -9.1077344245482e-01,  1.8494074994880e+00,  1.6169611218838e-01,                    A,  7.9689054355470e-01,  1.4054138286937e+00,  3.6489703023011e+00
                    A,  9.7542092066821e-01, -4.8279498173757e-01, -3.4398201386115e-01,                    B,  4.7835280378067e-01, -4.2788180486538e-02,  2.7652933951996e+00,                    A, -1.5832711463124e+00,  8.6998530341237e-01,  8.4457239862062e-01,                    B,  1.5574840366446e+00, -3.1523349028283e+00,  3.0981816176986e+00,                    A, -2.5524270912968e+00,  3.0176273744521e-01,  1.2708685797387e-01,                    B, -9.4638575405516e-01,  1.5865081275857e+00,  9.4944402425248e-02,                    B,  1.9317876690724e+00,  2.0367186100474e-01, -2.3193483295962e+00,                    A,  7.0678574832648e-01, -2.4858202627806e+00,  4.5939585215773e-01
                    A, -1.4796807972653e+00, -5.2146751320037e-01, -1.2779365448794e+00,                    B,  6.7097202922122e-01, -1.8346571810990e-01,  1.3469297656630e+00,                    A,  1.2979067237509e+00, -2.3129640331426e+00, -2.4344024461927e+00,                    B,  2.9614448569511e+00, -4.8113974504789e+00,  1.9776024756419e-01,                    A, -8.3869306628341e-01,  2.1456601335107e+00,  1.0908572293404e-01,                    B, -7.3394302208074e-03, -3.4409834869768e+00,  2.0287443810365e+00,                    B, -1.5775507121191e+00, -1.8931671600265e+00, -2.3926366596223e-01,                    A, -5.7916479417020e-01,  2.0822758580916e+00,  1.5358453571624e+00
                    B,  1.6093703039444e+00, -2.6025829391924e+00,  2.5836572130448e+00,                    A, -2.2929377780656e-01,  1.1707452241728e+00, -1.2263043075755e-01,                    B, -2.0444278936862e+00, -2.8172669498318e-01, -2.3989505559682e+00,                    B, -1.2281311676933e+00, -9.7413882454258e-02, -1.6925370478799e+00,                    A,  4.9814599420683e-01, -1.0751985064747e+00, -1.6884799670755e-01,                    A,  3.2054701202089e-01, -2.4775280680962e+00, -9.3140333184216e-02,                    B, -1.2544640807984e+00,  3.8019865288899e-01,  1.6140516755506e+00,                    A, -1.1757690705406e+00, -1.4331742764804e+00, -2.9155522852160e+00
