##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  9.3046674628018e-01,  7.1192139795926e-01,  1.7215890271395e+00,                    A, -1.3644304663641e+00,  1.1357327907305e+00, -2.9950582014591e+00
                    B,  2.9610957561457e+00,  2.3849462000161e-01, -9.4759537924953e-01,                    A, -4.3606140944486e-01, -3.2726218474534e-01,  3.7155583830881e+00
                    B, -2.4121492984351e+00,  2.4669974329383e-01, -1.2585360049494e+00,                    A, -1.1797834591651e-01,  7.2403859625150e-01, -1.2395184836873e+00
                    B, -1.2365189181701e+00, -1.1549660761628e+00,  2.7654473133430e+00,                    A, -3.7105440762334e+00, -7.1738401355238e-01,  8.8690925672898e-02
                    A, -6.6449088415842e-01,  2.7124682649607e+00,  5.4027186551783e-01,                    B,  1.0330304061792e+00, -3.3007980753264e-01, -2.0467373737871e+00
                    A,  1.2616497987919e+00,  1.2570456009739e+00,  1.4689669979514e-01,                    B,  9.4618444573600e-01,  2.5294458280302e-01, -2.0620741422703e+00
                    A,  1.2218733710402e+00,  3.6220481636494e+00, -9.0149778458846e-01,                    B,  2.0524594291784e+00,  3.6601391166738e+00,  3.1570568461150e-03
                    A,  3.3476832790121e+00,  1.1779831948940e-01,  3.2187444385539e+00,                    B, -5.2075265232050e-01,  7.0316520472866e-01, -4.3483512465966e-01
                    A, -1.1175838302492e+00, -5.8923553407686e-01,  1.2144654861599e+00,                    B, -2.7887931197103e-01,  2.3534444481277e+00, -7.3964978026187e-01
                    A,  7.0914675864802e-01, -3.8877768971838e+00, -1.2980443591171e+00,                    B, -2.8176596247672e+00, -1.0381077452383e+00, -1.2932222411210e+00
