##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B,  1.6516388945433e+00, -1.0735513924628e+00,  4.1944208539545e+00,                    B, -1.2520526270566e+00,  2.0019566738331e+00, -1.1118396447429e+00,                    A,  2.3851502055710e+00,  8.7752629680413e-01,  2.0909305562793e-01,                    A,  3.6598789995329e+00,  3.5920769106069e-01, -6.2449776054995e-01
                    B,  3.0341250713655e+00,  7.1294474395794e-02,  2.6968314532588e+00,                    A, -2.7883186966110e-01,  5.6070397649692e+00, -6.0465401506278e+00,                    B, -7.6565786901808e-01,  6.5016920621541e+00, -2.8557933027293e+00,                    A,  2.9237664077256e+00,  2.7111292008984e+00,  1.1478900236548e+00
                    B,  9.8348324993998e-01,  2.8477459466366e+00, -3.7679494270461e+00,                    A,  6.3821611779046e+00, -2.0416405082968e+00,  3.0002768160894e+00,                    B,  5.1336799323619e-01, -3.0286167035697e+00, -2.1885571203994e-01,                    A,  3.5009108868822e+00,  1.2207447201330e+00, -3.9815586281677e+00
                    A,  1.1808598050783e+00,  1.7617420688324e+00, -1.7502438434548e+00,                    B, -2.9383140886826e+00,  1.1029959644725e+00,  1.0096929468189e+00,                    B,  2.2515487902160e+00,  1.2921107952139e+00, -1.1810623860914e+00,                    A,  2.2433898588318e+00,  6.4536903248607e+00, -3.2450355394620e+00
                    A,  1.7859606346491e+00,  2.5306642388202e-01, -1.3767371862657e+00,                    B,  1.7824803473368e+00, -5.7675144086439e-01,  1.3419973018768e+00,                    B, -1.4246120504272e+00, -3.8543152429847e+00,  1.7544684288031e+00,                    A, -7.5734178816068e-01,  1.6350387040139e-01,  3.3745644452554e+00
                    A,  2.9642435665229e+00,  1.3034669475204e+00, -4.0825223127922e+00,                    A,  6.7742285270646e+00, -1.0920140508594e+00, -5.6721671213321e+00,                    B,  5.2266375610524e-01, -1.0591366878239e+00, -3.7658589124943e-01,                    B, -4.4768481029259e+00,  7.9774885628422e-01,  3.6492094393789e+00
                    A,  1.0520719965416e+00, -2.7551680376487e+00,  3.6966803892671e+00,                    B, -7.9186621172733e-01,  3.5803953886255e-01,  3.3877608567387e+00,                    B,  1.8685410725128e+00,  1.3046004829682e+00,  2.5666814848117e+00,                    A, -2.4257823035669e+00, -7.6583409797933e+00, -1.4855462593404e+00
                    B, -4.0519819887158e+00, -1.0074710420858e+00, -2.8521515788879e+00,                    A,  2.6974458650683e+00, -3.5968570256525e+00,  6.5228657916218e+00,                    B, -2.9056867753671e+00, -6.9110939086400e-01, -2.3249201539829e-02,                    A,  7.5700054785477e-01, -1.0583114715547e+00,  1.7725084270445e+00
                    B, -5.0699643046884e+00, -1.8734208905556e+00,  3.9014784650313e+00,                    A,  9.1360978079596e-01, -5.1169414331113e-01,  1.4354749170339e+00,                    B, -5.6959722136169e+00, -5.3475585064680e-01, -1.7388624705966e+00,                    A, -1.4980779656580e+00, -9.2936238394014e-01, -3.7142637273197e-01
                    B,  3.5011883135756e+00,  1.5121005665670e-01, -3.5417669799090e-02,                    A,  5.3558567633929e+00,  1.9409320424559e+00, -1.5242987325777e+00,                    A,  1.3318859607290e+00,  1.7283633607642e+00, -2.0589962755517e+00,                    B,  4.2943899574006e+00,  3.2902854396567e+00, -1.5502345569396e+00
