##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -5.8527355136579e-01, -1.4047011712067e+00, -2.6062091629540e-01,                    A, -3.9489100622025e-01,  1.9566160785340e+00,  4.3914127801653e-01
                    A,  1.1548403238658e+00,  2.1560224054376e+00, -1.6818958988789e+00,                    B,  1.5078830426728e-02,  1.8926351634361e-01, -2.6789671781929e-01
                    A, -2.6961710144631e+00, -2.6943357076134e+00, -6.3423623844862e-01,                    B,  1.8998604863808e+00, -1.0146629712463e+00,  3.4164538211221e-01
                    A, -6.6463314530600e-02, -4.8206040362621e-01, -1.6451434491113e+00,                    B,  6.4031373047106e-02, -4.6240461041180e-01, -1.9195628485450e-01
                    B,  4.1706752690348e-01,  1.2606310782491e+00,  4.0231288120403e-01,                    A,  1.5556702334332e+00,  2.2779945687207e+00,  6.2826541091186e-01
                    B,  1.5139137422969e+00,  4.0986073684776e-01,  1.4785233687305e+00,                    A,  7.1001859391003e-01,  5.6749295646227e-01, -4.8838213735048e-01
                    A,  2.8532625474880e-01, -1.3640964103056e+00,  1.4868345100841e+00,                    B, -1.4570748015602e+00, -2.2133829670533e+00,  3.1853442633776e+00
                    B, -1.8296807526774e+00,  1.8233668337404e+00,  9.5561027675896e-01,                    A,  1.0351633353555e+00, -2.3225922229423e-01,  1.5152565836310e+00
                    A, -1.0342094447771e+00, -5.7942443300501e-01,  2.2501799033677e-01,                    B,  2.5077680954494e+00, -1.5798444651407e+00,  1.2089607322860e-01
                    B,  7.3079233081746e-01,  1.2101677743744e+00,  7.0972352376327e-01,                    A,  1.5395093084128e+00,  1.3794698521442e+00,  1.4602300540842e+00
