#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-7.079887049199e-01,-5.291885162809e-01,-3.665324186536e-01,                  B,-1.648031482438e-01,-5.297396617512e-01, 2.331312242349e+00,                  A, 8.998697167114e-01, 2.130070067276e+00, 1.639522194827e+00,                  A,-1.985015041683e-01, 4.196285950937e-02, 8.156555307866e-01
                  B,-4.392394982050e-01,-5.650175075972e-01,-5.911302741669e-01,                  A,-1.717370120114e+00,-3.157907671889e-01, 2.764565181726e+00,                  A, 3.375608904859e-01, 7.200013863411e-01,-6.410522861544e-01,                  B,-2.416895220377e-02, 8.641752632652e-01, 2.442693525485e+00
                  B, 1.300970420737e+00, 5.617856587918e-02,-1.519258894912e+00,                  A, 8.715716891725e-01,-7.478259500096e-01, 1.946027101245e+00,                  B,-6.909810876058e-02,-4.148064602671e-01,-1.430687780970e+00,                  A,-9.936252044326e-01,-1.539008968018e+00,-8.355099707922e-01
                  B, 3.530794885580e-01,-2.317898124696e+00, 1.119894041258e+00,                  A, 1.230823484142e+00,-1.322795949395e+00, 1.689875110325e+00,                  A,-8.564089626865e-01,-2.373073007002e-02,-3.846275684644e-01,                  B,-3.229274247707e+00, 6.862616142523e-01, 1.000642764105e+00
                  A, 1.218700967452e+00,-8.737149872407e-01,-4.421026298344e-01,                  B, 1.760614483400e+00,-6.257588067007e-01, 1.627623086077e+00,                  B, 1.126480631082e+00, 6.354791184942e-01, 1.445363908033e+00,                  A,-8.984843042304e-01,-2.414385639341e+00,-1.368115646016e-02
