#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 3.290846374052e+00,-3.186172673384e+00,-1.348310003678e-01,                  A,-4.419919662038e+00, 6.342659479493e+00, 3.305208695252e-01,                  B, 2.773605141483e+00,-2.011440705058e+00, 3.885497693273e+00,                  A, 7.389248320635e-02, 6.713838862594e-01, 1.092188584524e+00
                  A, 3.370183294561e+00, 5.580712541189e-01, 3.130307839003e+00,                  B, 3.001289981659e+00, 1.554017302238e+00, 7.378688877092e+00,                  B,-2.063717366525e+00,-2.440170407415e+00,-4.431946025399e+00,                  A, 1.118649521519e+00, 2.321813590600e+00,-4.109163060292e+00
                  A, 6.038887255755e+00, 8.402985948716e-01, 2.256321822286e+00,                  B, 3.254881303764e+00,-1.892268361831e+00, 1.113503356981e+00,                  B, 8.909875043480e-01,-7.320121614945e-01, 7.972409866211e-01,                  A, 1.605745489258e+00,-1.488352751873e-01, 1.407031797044e+00
                  A,-2.105839220514e+00, 3.085778396423e+00, 2.029751821426e+00,                  A,-4.143273810660e+00, 1.410773296107e+00,-3.841263194457e-01,                  B,-2.206439945044e-01,-9.107289612321e-01, 4.409386801484e+00,                  B,-4.215466082690e+00,-1.760872582932e+00, 5.521801072416e+00
                  B, 3.603840323925e+00,-6.751327855500e-01,-1.050033211422e+00,                  B,-1.319831884993e+00, 6.845436826682e-01,-4.397410930923e+00,                  A,-2.724607125199e+00,-4.225883566170e+00, 4.086428790197e-01,                  A,-3.244858762509e+00,-3.756973653682e+00,-2.770888743235e+00
