#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 1.453893430484e+00, 1.797890585493e+00,-1.385106394287e+00,                  A,-8.754355958495e-01, 5.880972303544e+00,-2.573184262168e+00,                  B, 6.144631244055e+00, 1.197790258562e+00,-1.096277497698e-01,                  B,-2.779563523995e+00, 4.563814854223e-01,-1.942006461634e+00,                  B,-3.529110611424e+00,-3.069117912231e+00, 1.867076578464e+00,                  A,-5.089544351361e-01, 5.597282574479e-01,-6.373080315689e-01,                  A, 7.673257545690e-01,-2.845523968378e+00,-1.871331721185e-01,                  B, 1.430341054239e+00, 3.511787386988e-01,-2.317145345180e+00
                  A,-2.762740724984e+00, 3.243478418856e-01,-1.632828523494e+00,                  A, 1.290233972221e+00,-8.147362825098e-01, 2.181123253408e-01,                  B,-3.782834411827e-02, 1.452417593656e-01, 3.579891815733e+00,                  A, 2.071790638099e-01,-1.069443975187e+00,-1.057939935162e-01,                  B,-2.892990565400e-01, 1.034985629325e+00,-3.414777304298e+00,                  B,-1.886270867567e+00,-1.820533859046e+00,-3.437884682285e-01,                  B,-3.850580796895e+00,-1.103566166402e+00, 8.853885042658e-01,                  A, 3.793155841617e-02, 1.868637042176e+00,-2.079872711904e-02
                  B, 2.329634171633e+00, 7.104481579060e-01, 1.045364848159e+00,                  B, 3.549312187126e+00,-8.501531900265e-02,-2.250592610038e+00,                  B,-1.241699387797e+00,-3.261528467687e+00, 2.048583035776e+00,                  A,-3.235426753305e+00, 2.944802647440e+00, 1.074173858206e-03,                  A, 8.517788999836e-01,-5.887476033594e-01, 2.124406239822e+00,                  A,-2.105902111652e-01, 2.146687497056e+00, 7.940100644851e-01,                  A, 1.488675162689e-01,-1.865977951038e+00, 2.967570360172e+00,                  B, 1.247196203550e+00, 1.523410382981e+00,-2.440598441409e+00
                  B, 1.046216452062e-01,-5.804515797081e-01,-2.237693678539e-01,                  A, 5.464685063675e-01, 3.767900242948e-01,-2.356187121067e+00,                  B, 3.349879723666e+00, 2.121486260277e+00, 1.764060357742e+00,                  A, 1.887719019149e+00,-8.296961254564e-01,-2.661086655866e+00,                  B, 3.274885465639e+00,-1.026069067013e+00,-3.441403739752e+00,                  A,-2.318378155049e+00,-5.950766990232e-01,-2.701175371812e+00,                  B,-2.585511633960e+00, 3.437516956787e+00,-3.181801357257e+00,                  A, 2.801022406794e-01,-2.588868383059e+00,-3.376933565479e+00
                  A, 1.061425086672e+00, 1.087652133134e+00,-1.129626918728e+00,                  A,-4.490604544035e-01, 3.958946023185e+00,-4.316729824635e+00,                  B, 3.849795166245e+00, 2.895933519689e+00, 1.657847751315e+00,                  A,-9.991970323529e-01, 1.211191978778e+00, 2.325310757446e+00,                  B,-1.682707254311e+00,-2.251202511295e+00,-1.884788547586e+00,                  B,-2.816077758282e+00, 1.756303827250e+00,-8.973664796570e-01,                  A,-7.765036105009e-01, 2.082818321250e+00, 1.023114712757e+00,                  B,-1.402438952562e+00, 2.844196401137e+00,-1.401427671270e+00
