#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-9.230770425669e-01,-8.813539412766e-01, 1.018307760938e+00,                  A, 3.020661710174e-01,-3.953431629605e+00, 1.414523581044e+00,                  A, 6.039329837275e-01, 9.718981959534e-01, 6.794147111689e-01,                  B,-3.240650926696e+00, 7.390214898537e-01, 4.739244402454e-01,                  B, 1.421005562953e+00,-2.020661459377e+00,-2.008879695449e+00,                  A,-1.973138053357e+00,-1.393999395493e-01, 4.182623806056e-01,                  B,-4.934709399837e-01, 1.505871147845e+00,-4.419393903466e-02,                  B,-3.721508789521e-01,-2.141634620210e-02,-7.979037929242e-01
                  A,-1.801636545815e-01,-8.443275155241e-01, 7.891145814968e-01,                  B,-3.096601771075e-01,-1.500472937938e+00,-7.360081523285e-02,                  A,-1.774413743054e+00, 1.812755998799e+00, 8.519530682507e-01,                  A, 4.785922387544e-01, 2.156127779526e-01, 1.930501741605e+00,                  B,-1.097505846566e+00,-3.328615881806e-01,-8.495055684441e-02,                  A,-1.440849183273e+00, 4.733594888834e-01,-2.309149069938e+00,                  B, 1.156241713158e+00,-2.904772565038e+00,-1.782640815062e-01,                  B, 1.652660474682e+00, 2.284589302757e+00, 2.201890407731e+00
                  B, 3.841495279520e+00, 3.475703232232e-01, 3.976265374977e-01,                  A,-2.633272627323e-01, 5.108875725824e-01,-2.678686104691e+00,                  A, 2.958488168938e+00,-1.704949867348e+00,-1.317288545290e+00,                  B, 1.996970277364e+00, 1.666700653322e+00,-2.252391485640e-01,                  A,-8.422875139552e-01,-1.369142729661e+00,-3.803592878854e+00,                  B, 3.030333174204e-01, 5.052903680539e-02, 1.386463175065e-02,                  B, 3.178040170492e+00, 2.673431975434e+00, 5.759340229199e-01,                  A, 9.297658503509e-01,-1.897198228909e+00, 1.660349363538e-01
                  B,-9.312623707282e-01, 1.509433473401e+00,-1.313249619474e+00,                  B,-4.759030584947e-01, 5.137281607441e-01, 1.804999323064e+00,                  A,-2.784327001562e-01,-6.482961783763e-01,-2.149642628437e+00,                  A,-5.512909942339e-01,-2.416104662471e+00, 2.269008830755e+00,                  A, 3.154384279405e+00, 2.804664397356e-01, 1.053670580984e-01,                  B, 2.511455416236e+00, 3.877167229833e-01, 2.829643582034e+00,                  A,-2.697946920941e+00,-2.217868885884e+00,-7.311192203474e-01,                  B,-3.987500431912e-01,-2.693118447175e-01,-8.302497583327e-01
                  B, 6.495096577820e-01, 1.671949164387e+00,-5.638929231232e-01,                  A,-1.702202790307e+00, 8.054900346991e-01,-2.388675775887e-01,                  A, 3.115472008271e+00,-2.822536063990e-01,-1.259061599361e+00,                  B, 5.364061867092e-01, 1.011211741397e+00, 1.551596945612e+00,                  A, 2.797771981220e+00, 3.624219322466e+00, 1.882943451020e+00,                  B, 1.524551986195e+00, 2.001298273213e+00,-2.838644716539e+00,                  A,-2.515769864761e-02,-1.158648241557e+00,-2.294672295518e-01,                  B, 1.729374932958e+00,-2.156736572488e+00, 5.587588948249e-01
