#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-1.432868137427e-01, 2.084807964374e+00,-7.878956428878e-01,                  B, 3.555290358272e-01,-4.891099369913e-01, 4.508623413165e-01,                  B,-8.762254001102e-01, 1.578156508751e+00,-3.697165075527e-01,                  A, 2.671922122014e+00, 1.008638298601e+00,-2.220265815608e+00
                  B, 2.385033897704e-01, 1.343181833826e+00,-8.642108084427e-02,                  A,-3.751468909812e-01, 8.097687001357e-01, 2.867790015833e+00,                  A,-4.181162521612e-02,-3.707145069940e-01,-5.224942498509e-01,                  B, 7.111657070963e-01,-1.305091489405e+00,-1.217808509379e-01
                  A,-1.325401158650e+00, 5.165427952837e-01,-2.601399984876e+00,                  B,-7.477104001272e-01, 1.390156821434e+00, 9.789256997611e-01,                  A, 6.104874192183e-02, 8.378284039808e-01,-7.933530004323e-01,                  B, 3.615793310724e-01,-1.085353142035e-01,-1.729673903890e+00
                  B,-9.959504876903e-01, 1.219269340525e+00, 8.483044130611e-01,                  B,-2.775685341606e-01,-8.402023549774e-01,-1.716031109575e+00,                  A, 8.548268055862e-01,-3.866770885434e-01, 2.517118904625e-01,                  A, 1.685546137149e-01, 5.670629150748e-01,-2.874986515793e+00
                  B,-1.173964376767e+00,-1.610179715720e+00, 9.192316059842e-01,                  A,-3.269725794063e+00,-1.167903678878e+00,-4.645314034210e-01,                  A,-2.895687370268e+00, 8.373482934469e-01,-7.061299996754e-01,                  B,-1.320132849439e+00,-1.055749009869e-01,-4.767137147050e-01
