##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  1.7968105322033e+00, -2.3437471230514e+00, -2.8910495618098e-01,                    B,  5.3226872610543e-01,  2.1180131142192e-01,  1.5230315791905e+00,                    A, -2.0097097081306e+00, -5.2304452268561e-01, -1.0187312579042e+00,                    B, -6.2453496759571e-02,  1.3371228530916e+00, -2.8986017627277e-01,                    A,  5.7748981903317e-01, -9.8653847852546e-01,  2.2104282289718e+00,                    B, -3.1364281635804e-01, -3.2946055158502e+00,  1.8226868762925e+00,                    A,  1.5838266573076e-01,  1.0275961976782e+00, -3.5291382456711e+00,                    A,  5.3060448127492e-01,  2.5893335117114e+00,  6.2703425136326e-01
                    B, -1.1223949752899e+00, -2.6211523805681e+00, -1.0079699399277e+00,                    A,  6.5665816444507e-01,  2.2078985016639e-01, -1.6773155678113e-01,                    B,  1.7057085386415e-01,  7.3879620889094e-01,  1.8218713392698e+00,                    B, -2.0252793263338e+00,  1.5089752121212e+00, -2.3732611037168e+00,                    B, -6.2833156672035e-01,  2.5822638995516e+00,  6.2695776194385e-01,                    A, -2.8675806318481e+00,  8.7852004516713e-01, -2.7187746276535e-01,                    A,  1.9016595053959e+00, -2.0926093158335e+00, -1.2007123728614e+00,                    A, -2.6625242640674e+00, -1.1315850100529e-01, -1.4195909603899e+00
                    B, -8.8312167908476e-01, -1.3532253942611e+00, -2.8193624580161e+00,                    B, -7.8412553032704e-01, -3.3254836171168e+00,  3.2568160863422e+00,                    A,  9.6761159773828e-01, -9.0253347756228e-03,  1.7202314748996e+00,                    B, -6.9646490357822e-01,  8.2675859568817e-01,  1.1740501067591e+00,                    B,  3.4435691382449e+00,  3.9271158535518e-01, -1.0460190870547e+00,                    A, -1.0936918056601e+00, -1.4744101895687e+00, -7.1891352918072e-02,                    A,  2.2823006372114e+00,  7.9826213116840e-01, -2.4096836003252e+00,                    A,  5.5220122932277e-01,  3.0102590225920e+00,  5.1945250420293e-01
                    B, -7.5887920703257e-02, -3.4165847365673e+00, -9.8951264300165e-01,                    B,  2.4716066349596e+00,  7.0717616879102e-01,  1.5838411335294e-01,                    A,  2.4135384473067e+00,  3.4620077901121e+00, -5.5665024185697e+00,                    A,  2.4171540902002e+00,  1.8644039919079e+00,  2.9134650781319e-02,                    B,  1.7140927213604e+00,  2.9190060086722e+00,  2.5236846146566e+00,                    B,  1.6500187979912e+00, -2.6351607694361e+00,  7.0770344027876e-01,                    A,  1.1544514122922e+00,  1.9792275620491e+00,  9.4704851615883e-02,                    A, -2.0710617327392e+00,  7.4007619179158e-02, -6.3603559121507e-01
                    B,  1.9197419884371e+00, -2.5372113959451e+00,  8.4602482492599e-02,                    A,  7.5169438933774e-01, -8.4088619010114e-01,  2.0639582598915e+00,                    A,  1.4076349866428e-01, -4.7256669254010e-01, -2.7888900911394e+00,                    B, -1.0867291978419e+00,  1.4021156468271e+00, -6.4143235509355e-01,                    A, -2.1429305876061e+00,  3.4116966241100e-01, -3.9624171629152e-01,                    B, -2.7987714469334e-01,  1.8204862669883e-01, -3.7058014908090e-01,                    A,  2.6468581995464e+00, -1.2427207780543e+00,  7.2953290106182e-01,                    B, -1.4459250009885e-03, -1.6448403745014e-01,  3.1048572985796e+00
                    B,  6.2073754684972e-02, -1.8662748888437e+00,  2.4348903539367e-01,                    B,  1.9209283185154e+00,  2.5245393561307e-01,  2.1449944447234e+00,                    A, -1.2078755178605e+00, -3.0696090666243e+00,  1.7636664309115e+00,                    B,  2.4183757700758e+00,  1.1602276099599e-01, -2.1528267627115e+00,                    A,  2.7984439840249e-01, -6.1046816430933e-01,  1.2984008423750e+00,                    A,  2.1004831409925e+00,  1.1221419681464e+00, -1.0499628129571e+00,                    B,  2.1422398389924e+00,  2.6837142520505e+00, -3.9637017631326e-01,                    A, -1.4691122593737e-01,  2.7795606941675e+00, -1.9064767666309e-01
                    A,  2.9447533850279e+00,  2.6082853522926e+00, -1.1457176826057e+00,                    B, -2.8965984611794e+00, -9.4021166384078e-01,  3.5913801815948e-01,                    B, -2.0448293683000e+00, -2.0810913867726e+00,  2.1887786098949e+00,                    A, -5.4640958748080e-01,  7.3776047430389e-03, -2.1553380208699e-01,                    A,  1.8676497053727e+00, -1.1948414579504e+00, -1.9424830812892e+00,                    B,  1.6366838593049e+00,  6.9246681857158e-01,  1.7880997304433e+00,                    A,  2.8718967178108e+00, -1.3299889057122e+00,  1.0658114143124e+00,                    B,  2.1995758038267e+00, -7.4394117239647e-01, -2.7828284412568e-01
                    B, -2.0382496091327e+00,  5.1152456293808e-01,  5.8613547385615e-02,                    B, -1.5310204992431e+00, -9.7864783785567e-01,  2.5854578844448e-01,                    B,  1.8577692486158e+00,  9.6232832337370e-01, -2.2420322746190e+00,                    A,  6.5915827164148e-02,  9.9884095460638e-01,  2.5168163890382e+00,                    A, -6.9093850349249e-01, -1.7327822569761e+00,  1.9279704020996e+00,                    A, -1.1599757931043e+00,  3.5232522692741e-01, -1.1318811829842e+00,                    B,  3.3454412324607e+00, -2.6848457238673e+00,  1.1465418648767e+00,                    A,  4.6023954283867e-01, -4.6950490163623e-02,  1.2586655842317e+00
                    A,  8.8140662391102e-01,  1.9225157420529e-01, -1.5739916765978e+00,                    A,  6.4360730386691e-01, -2.1165458361862e+00,  2.2927984212680e+00,                    B, -1.8416709416709e+00,  5.8399015726946e-01, -2.1565821152172e-01,                    A, -7.1695330655725e-01, -1.8404311516215e+00,  3.0370878574281e+00,                    B,  4.1389598376823e+00, -3.2932716301700e+00,  9.3575366044985e-01,                    B, -3.0682972656166e+00, -2.4592872757745e+00, -2.6476452173651e+00,                    A,  3.1427205703431e-01,  1.7879050114393e+00, -6.1089874285474e-01,                    B,  9.0931058761592e-01, -4.5551954131956e-02,  3.4277243018868e+00
                    B,  7.7948249774418e-01,  8.5769785900738e-01, -3.8226493801011e+00,                    A, -2.4078434422074e+00, -1.7021784737322e+00,  3.2452003578756e+00,                    A, -1.9038400515786e+00, -1.2299710088332e-01,  1.2494061664230e+00,                    A, -1.3069274052069e+00,  2.6105225061037e+00,  2.0875978922760e+00,                    B, -1.8741717945402e-01,  1.5075364796552e+00,  2.4635030743855e-01,                    A, -9.1485004785596e-02, -1.9982565645727e+00,  2.5296132167779e+00,                    B, -9.4999687567607e-01,  1.0576021545855e-01,  7.2620971465851e-01,                    B,  2.2139972911858e+00,  1.3252393591440e+00, -3.0103031983554e+00
