##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  8.6631079432335e-01, -1.3887043136022e+00,  2.2109942215268e-01,                    A, -1.3362398420650e-01, -2.5677970639566e-01, -1.0213076200352e+00,                    A,  2.1190019151184e-01, -4.4793635809932e-01,  1.8166084538323e+00,                    A, -3.6158394509630e-01, -4.1873582797849e+00,  1.6502688063291e+00,                    A,  1.8773611121713e+00,  1.3672928570119e+00,  1.3418862334574e+00,                    B, -1.3755721332473e+00,  1.0818277075548e+00, -6.4267133232221e-01,                    B, -1.1396030774249e-02,  2.8657959864533e+00, -1.7096235809218e+00,                    B,  1.5603506554886e+00, -6.6520972174070e-01, -4.7769228694626e-01
                    A,  8.6549719193114e-01, -2.2925520374128e-01,  1.4076304293865e+00,                    B, -2.9154750119319e-01, -1.7889853066549e+00, -2.5820084666675e+00,                    B,  2.1103227604533e+00, -6.7862122566983e-01, -1.4558995345695e-01,                    A,  3.5317501010159e-01,  1.6093457852967e+00, -1.1659905896646e-01,                    B, -8.0568891202118e-01,  1.8563158242154e+00, -5.4123888422098e-01,                    A, -8.7340773534309e-01, -1.6724321824320e+00, -1.1642241028972e+00,                    A,  1.6652667404106e+00,  2.6499392670818e-01, -5.7326115854350e-01,                    B,  8.6537873060663e-01, -1.2570561103341e+00,  7.6541781869739e-01
                    A,  2.0057467579391e+00,  4.2003084478796e-01,  1.7736406615561e+00,                    B, -2.3889171256348e+00,  3.5408104140042e-01,  1.6820278984153e+00,                    A, -2.7921597149236e-01, -3.1007637264184e+00, -7.3545047415902e-01,                    A, -1.1678898588256e+00,  8.9799943909045e-01,  5.8849436523298e-01,                    B,  9.0547693421200e-01,  2.0283241630826e+00, -5.6489905080605e-01,                    B, -3.1444982124587e+00,  7.2068882650026e-01,  3.8858668611516e-01,                    A, -3.8627105215309e+00,  1.4826677734837e+00,  1.3586990970309e+00,                    B,  3.8371906547013e+00,  1.9673093040595e+00, -1.0389809952679e+00
                    B,  1.8425275686778e+00,  3.5413006072868e+00,  2.2258192479459e+00,                    B, -1.9959813625120e+00,  1.3440280786889e+00, -1.7641133143119e+00,                    A,  4.9578255023005e-01,  1.0693361538377e+00,  1.3274333985102e+00,                    A,  3.0310677216954e-01, -2.9759017188736e-01,  3.5237640418494e+00,                    A, -8.6263674906954e-01,  6.2274177819192e-01, -5.8934250578835e-01,                    B, -2.5629816527219e-01, -2.4389683261493e+00,  1.5543546374024e+00,                    A, -1.9419809770279e+00, -2.5606279195773e-01,  3.3028151970890e+00,                    B, -1.1244652308696e+00, -3.6512951745841e-01, -2.6255111120291e+00
                    B, -2.0404663570638e+00,  1.6609220311189e+00,  6.6371323621854e-01,                    A,  2.0684346325000e-01, -1.4191959847984e+00, -1.6276975199163e+00,                    B,  2.6784957054491e+00, -3.7834974433041e-02,  3.2209553460998e-01,                    A, -3.3649590794494e-01,  2.3552175492065e-01, -6.8228049924764e-01,                    A,  1.2028125078710e+00, -9.0825262837713e-01, -2.2869146936773e-01,                    B,  7.0509937636259e-01, -1.8967412463403e-02,  3.8979743441231e-01,                    A, -8.4995159062610e-02,  3.7950024152652e-01, -4.6279923785864e+00,                    B, -1.4779398089307e+00, -4.1843263957703e-01, -1.4193175075570e+00
                    B,  1.5378606854404e+00, -1.1803116404599e+00,  2.9424409464174e-01,                    A, -1.5054407854141e+00,  3.7917484079692e+00, -1.0269763410019e+00,                    A, -1.3606486904905e+00,  3.2162521970337e-01, -3.4347782655527e-01,                    A, -4.4242763802019e-02,  3.4836792780719e+00, -4.6726945301842e-01,                    B, -3.0393034333750e-01, -2.6692624892137e-01, -2.7312387668155e+00,                    B, -3.1742493289569e-01, -2.1677667023174e-01, -6.7157785523422e-01,                    A,  1.9868912183028e+00,  1.0242908326923e+00, -1.2382427765915e+00,                    B,  1.2151756132319e+00,  1.1719302122315e+00,  1.1934184782578e-01
                    B, -1.3990155648931e+00, -6.9453299261990e-01, -7.8827304426155e-01,                    A,  1.5218646200210e+00, -1.2702954193152e+00, -1.1175423928500e+00,                    B,  1.1814844194812e+00, -2.9000538174189e+00, -2.1460989301753e+00,                    A,  1.9150563385297e+00,  3.7640687800910e-01, -3.1421106821830e-02,                    B, -1.4210768147269e-01,  2.7532355235366e+00,  2.1677243110762e+00,                    B,  9.4069663701972e-01,  2.9558036137695e-01, -1.0078679535696e+00,                    A, -2.5426251098602e+00, -1.4509134055557e+00, -1.3823945622324e+00,                    A,  6.8208781197340e-01,  4.6680749301329e-01,  2.6587905642103e-01
                    A, -2.4610261205493e+00, -5.1659403533279e-01,  3.3658678725241e+00,                    B,  1.3861544917861e+00,  6.5647783565613e-01,  4.8743499117001e-01,                    B, -7.1257205040670e-01, -9.0323300818391e-01,  1.7047275412539e+00,                    B, -2.0547153584870e+00,  1.6890098353917e-01,  1.5092597758815e+00,                    A,  1.7315549222543e-01, -1.7559649553040e+00, -6.8832616989179e-01,                    B, -1.2177885310036e+00,  2.4747472037517e+00, -1.4097144197827e+00,                    A,  1.9221461418763e+00,  2.3477663230429e+00, -1.9466508623764e+00,                    A,  1.4286345013715e+00, -4.0775144995958e-01,  7.8456742896473e-01
                    A, -4.5364210471101e-01, -1.9611559140677e+00, -2.3737435850177e+00,                    B,  5.9820680033895e-01, -3.9901721263152e-01, -1.9667091541305e+00,                    B,  1.2243890742163e+00,  1.6475751810584e-01,  1.6458025005383e+00,                    B,  2.5183691349782e+00, -2.1531050418011e+00,  1.3117783205522e-01,                    B, -1.2093490714651e+00, -2.9347279042180e+00,  7.6054427766135e-01,                    A, -9.0221684746635e-02,  2.7617826089458e+00,  7.0775097720742e-01,                    A, -3.2084773837294e+00, -1.1034778803384e+00,  1.7441854689846e+00,                    A,  2.7886375634175e+00,  1.6365213496606e+00, -6.6368722482124e-02
                    B,  1.1267851605191e+00,  1.6691122572324e+00,  9.7443494281915e-02,                    A,  1.3285586436842e+00, -2.1165234662584e+00, -7.0617545861768e-01,                    A, -7.6080317288704e-01, -8.1080443860595e-01,  8.6254652633272e-02,                    A,  2.2839239984400e+00,  6.5062025479958e-01,  1.1423519314724e+00,                    B, -1.5029956259880e+00,  8.7744927505407e-01, -8.5128788895425e-01,                    A,  9.9834720468172e-01,  8.5121861451403e-01,  6.2040208009346e-01,                    B, -7.6818946011926e-01, -1.8237400332379e+00,  5.9265644255627e-01,                    B, -3.0284092005988e+00, -1.7265037809223e+00,  8.3167221748604e-01
