##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -6.0494940054914e-01, -2.0616828601011e+00,  9.5552987127476e-01,                    B,  7.4160660300948e-01,  8.0951063038486e-01,  3.6524843201524e+00,                    A,  1.7974499747556e+00,  1.4300593800785e+00,  2.2131622712835e+00,                    B,  2.1418053997664e+00,  8.2258709877275e-01,  1.3106284808679e+00,                    B,  4.5583392577217e-01,  8.8534156621365e-02, -1.2252846914859e+00,                    A, -1.2207240926092e+00, -3.5882129848721e-02,  1.0752510516260e+00,                    A, -8.0848672445230e-01,  9.5053897340849e-01, -5.8546466805896e-01,                    A, -2.4943812846499e+00,  2.1573522088122e+00,  7.6011172046091e-01
                    B,  1.0566967738657e+00,  1.5161024356845e+00,  5.5954358444222e-01,                    A,  8.7917574399249e-01, -7.1722824171513e-01,  1.1533516325088e+00,                    B,  1.5578248079209e+00, -2.6476430176285e+00, -1.3359562840470e+00,                    A,  1.0504079798215e+00, -1.4640679523884e+00,  3.5909209540068e+00,                    B, -1.1442663207075e+00,  2.0304014474145e+00,  2.8146402021656e+00,                    B, -6.7975092105281e-02, -7.6055265944126e-01, -9.7059333180866e-01,                    A,  1.7853488263435e+00,  1.5021629698932e+00, -2.2760290346618e+00,                    A, -1.2738477245933e+00, -2.0527218293830e-01,  3.9862404553635e-01
                    A, -1.5023479325158e+00,  2.8675070648560e+00,  2.8450966006292e+00,                    A,  5.4384736822022e-01,  2.0638203847554e+00, -2.5100967779607e-02,                    B,  8.6432859502717e-01,  3.9198902572116e-01, -3.9273652629580e-02,                    A,  1.2823972771474e+00, -9.1295821442860e-01, -1.0875409760821e-01,                    B,  1.2996079603167e+00, -2.6561433545184e+00,  2.1063124563851e+00,                    B,  2.2118501700542e-03, -3.6330488836338e+00,  7.7762011429410e-01,                    A, -2.5349624916135e+00, -8.9684314114487e-01, -2.2891683134825e+00,                    B, -1.7995610595257e+00, -4.7183387388058e-01,  2.2403082274400e-01
                    A,  2.2260998028637e+00, -2.3204303912752e+00,  2.6761434894410e-01,                    A,  1.2325843090769e+00, -2.1686612218587e-02,  3.3206661231381e+00,                    B,  1.1078849672126e+00,  2.6532808835469e-02, -2.2390547142913e+00,                    A,  2.2954404202714e-01, -1.1754538590571e-01, -1.5206692466314e+00,                    B, -2.0453627564324e+00,  3.0762884737823e+00,  2.2600225295180e+00,                    B, -1.0837842893982e+00,  2.4470202312686e+00, -1.4565625216302e+00,                    A, -2.2376291075857e+00, -1.1602210792621e+00, -3.2505611859816e-01,                    B, -1.7038618242561e+00, -6.5134808119025e-01, -2.4169994834896e+00
                    A,  5.3493224653780e-01,  6.3736482369380e-02,  1.4812155475657e+00,                    A,  7.4073580073445e-01,  2.5893268743469e+00, -9.4007486812175e-02,                    B,  6.6521998954083e-01,  2.2962217571792e+00,  1.4045401102535e+00,                    A,  5.1116624503958e-01,  1.8721690273415e+00, -1.6834028776459e+00,                    B,  2.0625755194669e+00, -4.9565114063180e-01, -1.9552090338865e-01,                    B, -1.1737841196959e+00,  9.1480172076964e-01, -3.7309311619191e+00,                    B, -1.6228521250917e+00,  2.3232060996254e-01, -4.3299884734474e+00,                    A, -9.3417741880883e-01, -1.0091376507712e+00, -7.0378311410824e-01
                    B,  1.4589913404683e+00, -3.1977927977853e+00,  5.4705902246087e-01,                    B, -1.7724612410561e+00, -2.9875911724924e-01,  1.4296668388574e+00,                    A, -6.1224281200227e-01, -2.6875585886231e-02, -1.4111992096734e+00,                    B, -1.1964445836062e-01, -1.0203723645164e+00,  2.1103432351999e+00,                    A, -1.8706031385482e+00,  1.1340852275981e+00,  6.9377293570377e-01,                    A, -3.2981065745255e+00, -3.0962335799971e+00, -8.4215467460913e-01,                    B, -2.4232319519024e+00, -1.6643886105036e+00,  7.0320547813377e-01,                    A,  1.4199361558631e+00, -5.9608847984551e-01, -1.7265986551910e+00
                    A,  2.2896464745664e+00, -2.0553213168366e+00, -9.1471463793744e-02,                    A, -1.0123017866253e-01, -4.0103708437365e+00,  8.1386761944181e-01,                    B,  8.3147491389417e-01,  9.2914471349015e-01, -2.4858684867432e+00,                    B,  1.5721582266873e+00, -1.1104977126298e+00, -9.7329436124883e-01,                    A,  5.5063063466721e-01, -2.5122693933740e-01, -2.8211345993750e-01,                    A, -1.4932894558152e+00,  1.2749294746937e+00,  5.8072946721317e-01,                    B, -1.1061627916805e+00, -2.6894864909005e+00,  5.8087050589101e-01,                    B,  2.0899337701614e-01, -6.4982157852751e-01,  1.1474525785916e+00
                    A,  1.5733219473979e+00,  9.5003173279083e-01, -1.3637886537412e+00,                    B, -2.1917118726723e+00,  8.6370551089209e-01, -5.0239276805398e-01,                    A, -8.6848653407335e-02, -3.2004352977673e+00,  1.5018067947220e+00,                    B,  2.1588250109525e+00, -9.6888761050836e-01,  2.3463279324926e-01,                    A,  4.9431323289196e-01,  1.7157412702268e+00, -1.0953111950185e+00,                    A,  4.1295859519456e+00,  1.6855687264376e+00, -2.1308573110657e+00,                    B,  1.1692488941962e+00, -8.5774650173204e-04,  1.3144557556289e+00,                    B,  4.0260819932773e-01, -1.1105142512052e+00,  1.4931769859860e+00
                    B,  2.9122144736206e+00, -2.0801278276012e+00,  1.0417121637127e+00,                    A, -4.3928142884165e+00, -6.0599494514690e-01, -4.3045447567064e-01,                    B, -4.3597836124830e-01,  1.5936680606840e+00, -1.9330855229418e+00,                    B,  2.7757364062534e+00, -3.2278074332755e+00, -2.9856380475348e+00,                    A, -5.9147977645353e-02,  3.2379385391110e-01,  1.2141550345697e+00,                    B,  2.9096551021795e+00, -1.6800839565784e+00, -1.2729560002413e-01,                    A,  8.8700844508397e-01, -8.1727971446725e-01,  2.8537990140615e+00,                    A,  4.0033353110265e-02, -3.9068083233414e+00,  4.5640092087356e-01
                    A, -5.5545245287298e-01, -5.8427670969346e-01,  1.2796179495726e-01,                    A,  7.8727071488215e-01,  1.2257347610907e+00,  5.8625971299052e-01,                    B,  2.9862512213152e+00,  1.2301460967999e+00, -1.6217764545116e+00,                    A,  1.4915486830486e+00,  1.2927035111885e+00, -1.1010153263998e+00,                    B, -2.1698735207689e+00,  1.5482333240316e+00, -4.6077737109537e-02,                    B,  2.0411624579172e+00, -5.8150678383769e-01,  1.0768079157150e+00,                    A, -4.8470550066091e-02,  1.2602964430714e+00, -8.9384430708790e-01,                    B,  3.8811806066523e-03,  1.8020563253872e-01, -2.4970604096559e+00
