#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2,         p12 flavor,             p12 x0,             p12 x1,             p12 x2,         p13 flavor,             p13 x0,             p13 x1,             p13 x2,         p14 flavor,             p14 x0,             p14 x1,             p14 x2,         p15 flavor,             p15 x0,             p15 x1,             p15 x2,         p16 flavor,             p16 x0,             p16 x1,             p16 x2,         p17 flavor,             p17 x0,             p17 x1,             p17 x2
                  A, 1.570701346891e+00,-4.275056624392e-01, 2.955567664884e+00,                  A,-3.903248123022e-01, 1.180047751803e+00,-1.283314680115e+00,                  B,-7.734359758997e-01, 3.208719379557e+00, 3.769392941829e-01,                  A, 6.612801286910e-01,-1.458995460885e+00,-3.159358247847e+00,                  B,-1.467162009601e+00,-2.560884633141e+00, 2.024235744207e+00,                  A, 2.808198654168e-01, 4.489197714946e-01, 6.317839871315e-01,                  A,-1.370957045833e+00, 1.727827424942e+00,-1.894992311170e+00,                  B, 6.329963399822e-01, 1.405638275717e+00, 2.835181916558e+00,                  B,-1.487390157338e+00, 2.505754540967e+00, 5.551458211552e-01,                  A,-1.665828416059e+00, 2.337887669284e-02, 2.715477388920e+00,                  B,-4.140838681939e-01,-1.234900653110e+00, 9.316510496212e-01,                  B,-4.230282116495e+00,-9.857912234165e-01, 7.940050124833e-01,                  A,-3.028032449667e+00,-7.181030703882e-01,-3.653408938498e+00,                  B, 3.383268807425e+00,-1.448023809742e+00, 6.827636261068e-01,                  B, 1.673788637529e+00,-1.086387262389e+00,-1.651690100209e+00,                  A,-1.973552228051e+00,-2.677243352579e+00,-1.030621579031e+00,                  B,-2.007537261492e-01, 1.135030998556e-01,-3.679783796240e-01,                  A,-2.250207461689e+00,-1.453206370100e+00,-7.873182993576e-01
                  B,-7.495331448334e-01, 8.453161311443e-02,-2.356451507688e+00,                  B,-4.815537982005e-01, 8.309097739479e-01,-7.373362654654e-01,                  B, 2.165581681665e-01, 1.501113504805e+00,-1.719106137049e+00,                  A,-2.591992367944e+00,-9.091394630550e-02,-5.843868371418e-01,                  B, 1.141240291399e+00,-8.180413873900e-01, 1.034383473804e+00,                  B, 4.922332412472e-01,-1.621621449030e+00,-2.370654113501e+00,                  A, 1.375750816924e+00,-1.545982721145e+00,-9.808441552659e-01,                  A,-3.741845951026e+00, 1.118634232617e+00, 1.420911206145e-01,                  A, 4.125334194155e-01, 5.570216504950e+00,-3.558531209944e-01,                  B,-1.360281367681e+00,-5.449644899210e-01, 2.344057451320e+00,                  A, 1.112499353879e+00, 1.943601262844e+00,-8.700377691147e-01,                  A, 9.084156612425e-01, 3.574143739288e-01,-2.362919067267e+00,                  B, 3.286976344674e+00,-1.382261460229e+00,-2.365342625843e+00,                  A,-1.571135690209e+00, 2.295590523194e+00, 1.523884953601e+00,                  A,-2.212232994616e-01,-1.401740994965e+00,-2.173893157822e-02,                  A,-1.435462061987e+00, 1.067428918360e+00, 3.600663978068e+00,                  B,-1.129116313052e+00, 2.603906320301e+00,-1.130942860226e+00,                  B, 6.009912569261e-01,-3.741815463589e+00, 3.064535434577e+00
                  A,-1.615283129038e+00, 1.269006225765e+00,-4.377508080103e-01,                  B, 2.085687047230e-02,-1.117889406311e-01, 6.329982842384e-01,                  A, 7.295935335869e-01, 1.871291822124e+00,-8.921721285247e-01,                  A, 1.093351433099e+00,-3.148273024579e-01,-9.948687562268e-01,                  B, 2.329369438001e+00, 4.099642279008e-01, 1.514987035988e+00,                  A, 1.450002665826e+00, 1.600274702824e+00, 2.220991941579e+00,                  A, 4.051695293853e+00,-5.303971828290e-01,-5.822907637203e-01,                  B, 3.118554423333e+00,-2.237542677030e+00,-1.719160317255e+00,                  B, 2.143995053479e+00, 2.778861367529e+00,-2.351578436394e+00,                  A,-8.355774711712e-01, 1.497009299417e+00, 3.928211472803e+00,                  A, 4.233829613661e-01, 1.405089250360e+00, 9.897905670847e-01,                  A,-3.866207395392e+00,-3.048145613527e-02, 4.590691838588e-01,                  B, 6.528324592622e-01, 7.160775186153e-01,-1.358932800924e+00,                  B, 1.990862790668e+00,-8.998445289804e-01,-1.737450345286e+00,                  A,-2.243648170927e-01, 3.442268620514e+00, 6.190923750763e-01,                  B, 1.637316512727e-01,-9.097039721593e-01,-2.221534527108e+00,                  B,-5.029906889541e-01,-1.373259466024e-01,-2.926281271304e+00,                  B,-2.405804182784e+00,-1.995103289254e-01,-9.922798197832e-01
                  A, 1.248897234088e-01, 1.944693725985e+00, 2.984329012806e+00,                  A,-2.362937265222e+00,-1.012787923554e+00, 2.231238718011e-01,                  B,-1.549611154375e+00, 1.770244616403e+00, 5.853839852198e-01,                  B, 4.125439760624e-01,-2.567427723988e+00, 2.555914702882e+00,                  B,-3.066767346732e+00,-1.858402563194e+00,-2.094716840765e+00,                  B, 5.873469479151e-01, 1.980516141053e-01,-9.813574922598e-01,                  A,-5.725264801925e-01,-1.958294616851e+00, 5.159790084250e-01,                  B,-8.962759117536e-01,-8.594886683833e-01,-1.126009875310e+00,                  A,-1.043793133427e-01, 3.697342967929e+00,-5.054493491611e-01,                  B, 8.211238870964e-01, 7.660193837248e-01, 2.463691119089e-02,                  A, 2.722628395212e+00,-2.676640976270e+00,-3.196743498577e-01,                  A, 1.684494223869e+00, 9.121004543019e-01, 1.381798661650e+00,                  A, 1.973759821321e+00, 3.020978364402e-02,-1.408797286031e+00,                  A,-7.239298940282e-01,-8.045782447906e-01,-2.898448275554e+00,                  B,-1.010414609132e+00, 7.500022697555e-02, 1.784592069311e+00,                  B,-1.819320454960e+00, 3.572657722698e+00, 1.056517613661e+00,                  B, 3.772723571935e-01,-5.445238638571e-01, 8.340266937047e-02,                  A,-2.703963687897e+00,-5.661716096187e-01,-1.140108438942e+00
                  B,-1.701322156999e+00, 1.812526640708e-01, 1.673678111017e-01,                  A, 6.016034223813e-01, 3.353546203686e+00, 9.813161175059e-01,                  B, 6.753458873984e-01, 9.462695888083e-01,-1.803562674594e+00,                  A, 1.222913935831e-01,-4.095063257947e-01,-2.434795396567e+00,                  B,-7.627869174951e-01,-1.603352512264e+00,-1.199357440097e+00,                  A,-1.085403157532e+00,-1.776388662729e+00, 2.860608796281e-01,                  A,-2.482898024646e+00,-2.105561739004e+00,-9.067497187139e-01,                  B,-2.632796093852e+00,-2.981591243395e+00, 2.105984097893e+00,                  B, 6.486214989000e-01,-1.729474397577e+00, 1.562094522179e+00,                  A, 1.383540755085e+00, 6.671588635303e-01, 4.413920127290e-01,                  B,-1.097202398865e+00, 1.354316353725e+00,-3.057603748665e+00,                  A, 2.816319188610e+00, 3.882012002386e-01, 1.491922595826e+00,                  B,-3.964045335434e-01, 1.941871330682e+00, 2.206552590841e+00,                  A,-8.204399620348e-01, 2.533010901499e-01,-2.099017926493e+00,                  B, 7.225618906040e-01, 2.006699662028e+00, 2.763103059231e+00,                  A, 8.281356849541e-01, 1.093564664435e+00,-4.691357569789e-01,                  B,-9.052668875275e-01,-1.283216954961e+00,-3.032754796686e+00,                  A,-1.922522745578e+00, 1.852631152662e+00,-3.346391829035e-01
