##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  3.3287856413396e+00, -1.0191907136795e-01, -4.3158170043023e-01,                    A,  8.4964395282228e-01, -5.4632345458012e-01, -1.1166004741414e+00,                    A,  4.0275585658764e-01,  5.3048433181943e-02,  8.5602751290787e-01,                    B, -1.0487016027720e+00, -1.2885897778756e+00, -3.1764076539802e+00,                    A, -3.9480507420960e-01, -8.8540057159261e-01, -1.1116366020836e+00,                    B, -1.6100968419544e+00,  9.8424564520050e-01, -1.4827983484983e+00,                    A, -1.3054837662828e+00, -2.0111651358451e+00,  1.2899625097223e+00,                    B, -1.1148844336734e+00, -1.8529828606132e-01,  1.3887768273360e-01
                    B, -7.9224021498454e-01,  1.2993307916476e+00,  6.8462961947193e-01,                    B,  2.7600647623276e-01,  1.4570318327563e-02, -1.7556493932306e+00,                    A,  8.8134017437788e-01,  1.8363345141728e+00, -1.5687695800334e+00,                    B, -1.6246606313111e+00, -3.0506327530285e+00,  8.5230305952878e-01,                    A, -2.3183729223647e-01,  7.1657945961783e-01, -8.8145960991032e-01,                    B,  6.3955041397712e-01, -2.3057205697900e-01,  8.1861327757522e-01,                    A,  4.9440142956113e-01, -1.6612493180746e+00,  7.8464978081358e-02,                    A,  5.8696196543110e-02,  2.5380184764290e+00,  9.5008764501239e-02
                    B,  1.1657836808774e+00,  1.7049923892120e+00,  1.2341329327431e+00,                    A, -9.6904482907796e-01,  4.1214672947128e+00, -3.1097407720368e+00,                    A,  1.5489332030487e+00,  8.4900674279871e-01, -5.0946152327824e-01,                    B, -2.0828189832085e-01,  1.1703213811359e+00, -1.3787459321115e+00,                    A,  3.9793944892992e-01, -3.0881702618095e+00, -4.0195453162745e-01,                    A, -9.3545281039492e-01,  5.7878284120005e-01,  2.2655016588959e-01,                    B, -1.1326385477233e+00, -4.7560040950435e-01, -6.0748252790276e-01,                    B,  5.9093330319173e-01,  6.4359675699228e-01,  2.1761022848057e+00
                    A,  9.1822057089994e-01, -1.7323203927540e-01, -2.1435356991922e+00,                    B, -1.5477602685133e+00,  1.2291362699368e+00,  2.8942087234339e+00,                    A,  1.5476032536375e+00, -1.2521442400617e+00, -1.3037327243770e+00,                    B, -7.9432001840885e-01,  3.0703267362948e-01,  4.4057903872849e-01,                    A,  1.1175434481784e+00, -2.6994672114050e+00,  1.0566031075466e+00,                    A, -9.1410777818461e-01, -5.5891473211108e-01, -7.1864805099989e-01,                    B,  1.3360767398017e+00, -1.7229075158976e-01,  1.3582243062983e+00,                    B,  1.4067488371020e+00,  1.5729263632195e+00, -5.8409724697455e-01
                    B,  1.8870382788806e+00, -1.0252599068752e+00,  6.7730275555988e-01,                    B, -1.6262324542559e+00,  7.8465405006434e-01,  9.4752004778824e-01,                    A,  8.4999383226854e-01,  7.8707899150274e-02, -7.5924475665169e-01,                    A, -5.4084082126716e-01,  1.8799552995346e-01,  1.2520765663923e+00,                    A, -1.1494556380141e+00, -8.5169818160853e-01, -1.4946685756801e+00,                    B,  3.3279172578351e+00,  9.7014546756548e-01,  2.9670827725209e-01,                    A,  1.1433319449987e+00, -2.2152458355644e+00,  7.0247630299546e-03,                    B,  7.6948738882835e-01, -1.3907975998950e+00,  1.1784712819273e+00
                    A, -6.9940997662496e-02,  1.6640991920647e+00,  9.0607561245183e-01,                    B,  3.2754658499628e+00,  4.5964055505571e-01,  5.1406432936638e-01,                    A, -7.0321712926985e-01,  1.4999629515652e+00, -1.2172597433032e+00,                    B,  1.1420267403737e+00, -7.5436299021897e-01, -1.0362505181041e+00,                    A,  1.1156327535202e+00, -1.4566097577117e+00,  4.3150204619464e-01,                    A,  3.4317995554718e-01,  7.6294053611686e-01, -1.7798083314150e+00,                    B, -1.5837142628663e+00,  9.2776003521729e-01,  1.9050169392083e+00,                    B,  5.8109072904724e-01,  6.9867905197062e-01,  3.4107273570009e-01
                    A,  1.0144657950891e+00,  1.4359054383120e+00, -1.3784443730416e+00,                    A, -1.8902820378180e+00,  1.1902600636461e+00,  7.2827595992790e-02,                    A, -7.1818092739504e-01, -1.3490094092739e+00, -2.0214404285388e+00,                    B, -3.4440494159409e-01,  1.8221428428540e+00, -1.4594101896890e+00,                    A,  1.5086576404539e+00, -1.3432137351764e+00,  1.3210196438481e+00,                    B, -4.6950980618237e-01,  9.4906559220540e-01,  3.0030831799325e+00,                    B,  6.2619727176789e-02,  1.9303998733606e+00,  7.6776088578063e-01,                    B, -5.4106348190731e-01, -3.9639664647857e-01, -3.3248721951191e-01
                    B,  5.1000255213501e-01, -1.5687256527749e+00, -3.2373913340868e+00,                    A, -9.6851875828308e-01, -8.3378271764635e-01,  5.1579512096632e-01,                    B,  1.4598104521631e+00, -2.1441176124628e+00, -1.6417082139483e+00,                    A, -1.7620682178696e+00,  2.8435523515987e-01,  6.3596293467886e-01,                    B,  7.1089716750490e-01,  1.8617623458143e+00,  4.6279376818402e-01,                    B,  1.2864493671361e+00,  5.3411306138014e-02,  1.7301198207818e+00,                    A,  7.6201450929102e-02, -3.9917210829223e-01,  1.2221291184840e+00,                    A,  1.5823673228146e-01,  4.8505331918325e-01,  1.5192930626499e+00
                    B, -1.1157151229447e+00, -7.4381932367311e-01, -1.7633278242326e+00,                    A, -1.2827243606446e+00,  4.8409321018697e-01, -2.5740664016526e+00,                    B, -1.3522925383795e+00,  4.6607494877118e-02, -1.1146076869679e+00,                    B,  9.6292881845814e-01,  2.4310940567063e-01,  1.2561781374750e+00,                    A,  2.1822948793273e-01, -2.0504902778552e+00, -3.5431425091237e-01,                    A, -8.1818515043900e-01, -1.0997772338609e+00, -2.7431146851766e-02,                    A, -2.5456702499632e-01,  1.0491726204002e+00,  1.2665185590006e+00,                    B,  1.7484346664694e-01,  2.3987389668528e+00,  3.0257236315059e+00
                    B, -3.6605916976847e-01,  2.4809225379477e+00,  1.8600356792695e+00,                    B,  3.6405594597862e+00, -1.5027378856798e+00, -5.7688740997703e-02,                    A,  2.7578638529355e+00, -1.0380738291151e-01, -1.1391780006694e+00,                    A,  4.0460839765302e+00, -1.1521072096725e-01,  5.4539414726061e-01,                    A,  1.0042400027508e+00,  1.5771721322487e+00, -7.0670794041152e-02,                    B, -6.5155062410744e-02, -2.6576458269167e-03,  3.2012642523107e-01,                    A, -2.0177413972164e+00,  3.5963156978006e-01,  4.4154825033412e-01,                    B, -3.4462565267148e-01,  8.3838387134115e-01, -1.1428061705218e+00
