##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.7064859895419e-01, -1.2601834851998e+00,  2.2519648878205e-01,                    A,  2.1918959955907e+00,  2.5265680042978e-01, -1.7115832553041e+00,                    B,  1.5195643394556e+00,  1.6814902611612e-01, -1.7275588400331e-02,                    B, -2.4183423202655e-01, -1.7392519963220e+00,  3.0114601643914e+00,                    B, -5.3564849109803e-01,  1.4417256038880e-01, -3.5664522352010e-01,                    B,  1.9488380155662e+00,  1.9756652382700e+00, -3.1730298478915e-01,                    A, -4.1947497807798e-01, -6.1528074716754e-01, -1.4192288360203e+00,                    A,  1.2385448549136e+00,  4.3781672458034e-01,  1.5808186938075e+00
                    A, -3.5544894815997e-01, -1.1749979673488e+00, -2.0350945085227e+00,                    A,  2.8981143659868e+00,  3.5743405899835e-01, -1.0846170789548e+00,                    B,  1.6947927133790e+00, -2.5859483449548e+00,  2.4563911876891e+00,                    B,  1.2935562628837e-01,  3.0113121383625e+00, -8.5235718636552e-01,                    B, -1.0992881894811e+00,  7.4648676722815e-01, -2.7358224472328e+00,                    B,  4.8998492874536e+00,  2.0490296314744e+00,  9.5613410826592e-01,                    A,  8.8221220391021e-02,  3.0087544634141e+00, -2.9115408864642e+00,                    A, -2.0759309967387e+00, -1.2772808701467e+00,  9.1051397091674e-01
                    B, -2.0710177750040e+00,  5.5749827217265e-01,  1.3185065139643e+00,                    B, -3.5174137352700e+00, -1.4097167320247e+00,  2.4240015285306e+00,                    A,  5.1482014030992e-01, -1.2035178571804e+00,  7.6131793897952e-01,                    A,  1.9362000487592e-02,  1.3328560329466e+00, -1.2969616178348e-01,                    A,  3.1005224048399e+00, -1.5790738556003e+00,  1.4331626105643e+00,                    B,  1.1366242576371e-01,  4.1307463155031e-01, -7.7887809447400e-02,                    B,  1.0521068995880e+00, -2.7510505713557e-01,  2.4887762466150e+00,                    A, -2.0327327460455e+00,  1.9425428315261e+00,  2.2759220764173e+00
                    B, -1.3998605110011e+00,  3.7258615243473e+00,  1.7276571362260e+00,                    B,  9.2827079922951e-01,  1.4918224679637e-01,  1.3199859116041e+00,                    B,  4.7528474160149e-02, -5.6727727281030e-01,  2.0856251709660e-01,                    A, -6.8771501009518e-01,  1.3254484380813e+00, -1.5336164855065e+00,                    B,  2.0980144898659e+00, -1.0415028914349e+00, -1.0894922140526e+00,                    A,  5.1129572701448e-01, -2.6377634675308e-01, -2.3961840344233e+00,                    A,  2.4584269673157e+00, -1.3304451799880e+00,  1.4581562705737e+00,                    A, -2.6544767369919e+00,  6.6724854919031e-01, -1.3038024003339e+00
                    B,  7.9542753925252e-01, -1.3766341486956e+00,  4.9058455354892e-01,                    A,  4.7809625598513e-01, -3.8985978202835e-02, -4.9598735100832e-01,                    A,  3.7085800956645e+00, -1.6884867534073e+00,  8.9331630643190e-01,                    B, -1.4419092372934e+00,  1.6758669917608e+00,  1.1058166300190e+00,                    A,  1.1726357341740e+00, -9.2015421699644e-01,  2.9482361373578e+00,                    B,  1.5186099122321e+00, -4.3770164191879e+00,  1.5842467191343e+00,                    B, -2.3504347461308e+00, -1.0786626272471e+00, -4.0593185586966e-01,                    A, -1.7941042379570e+00,  3.4259350069852e+00, -2.2599133397647e+00
                    A, -2.6966230444141e+00,  2.8822891627652e-01,  1.6785409096888e+00,                    A, -1.8332053711546e+00, -1.0349028620176e+00, -7.5895417721230e-01,                    B,  1.0940884861708e+00, -1.0805229547663e+00, -1.6880064798488e+00,                    B,  1.7320447521659e-02,  6.1171690990742e-02,  5.0644355997796e-01,                    B, -3.8059356185166e-01,  2.0854383161666e+00, -5.5325854589842e-01,                    A,  5.1509206085053e-01,  9.2225383973190e-01, -2.6099156872794e-01,                    A,  4.7332270219382e-01, -1.8080203682141e+00,  3.6924420983068e-01,                    B, -1.1514753625606e+00,  1.2350828316762e-01, -3.5595832451087e+00
                    B,  1.2478870708410e+00,  2.0167344855150e+00,  2.0106423914154e+00,                    B, -3.3059819356063e-01,  8.0855046146534e-01, -2.9368443125873e+00,                    B, -8.3286799154241e-01,  5.5720041462456e-01,  6.4446872156769e-01,                    B, -1.0350372732358e+00, -1.4972381964105e+00, -2.1988318492312e+00,                    A, -2.3737374500096e+00,  2.5222957187728e+00, -3.4528044933512e-01,                    A, -2.9018869244607e+00,  3.3704026246899e-01,  2.5108435132980e+00,                    A,  1.7222698591689e+00, -2.8814579291999e+00, -1.6052282910427e+00,                    A,  1.2707089248566e+00, -1.2824222546005e+00,  1.8875187906387e+00
                    A, -2.0557774314669e+00,  1.7970420073013e+00,  7.6853105996106e-01,                    A, -1.6140640981892e+00,  2.9662466900212e-01,  2.6367000127999e+00,                    B, -9.9388342772307e-02, -2.7903544531936e-02, -3.0777388546281e+00,                    A,  8.9749754624721e-01,  1.7618515598618e-01, -2.5573251083437e+00,                    A,  6.9162316591677e-02,  1.2110408885874e+00, -3.6753832008820e-01,                    B, -2.6824379689447e+00, -9.1446231950452e-02,  3.6640287622011e-01,                    B,  5.2078498343588e-01, -1.6498454502391e+00,  8.3298831982514e-01,                    B, -1.1547895239634e+00, -2.5132970326250e+00,  6.1174816431915e-01
                    B, -1.0127240433137e+00,  2.3339646287378e-01,  1.3283510581560e+00,                    B,  5.2818138044333e-02, -1.8562482457022e+00, -7.5408155818947e-01,                    A,  1.2592635276944e+00, -5.3919826293742e-02, -2.3127687622476e+00,                    B, -1.8427973500420e+00,  1.4887246678220e+00,  2.2352683323241e+00,                    B,  5.0805449020590e-01, -2.0190377331035e+00, -2.7488615345304e+00,                    A,  2.0582369359097e-01,  3.4369674213727e-01,  1.9536196167649e+00,                    A, -9.7257133613662e-01,  9.1495038048934e-01,  3.2969859944811e+00,                    A, -1.0779649424218e+00, -1.4183343885019e-02, -5.0137902942243e-01
                    B,  2.0198190168346e+00,  8.3866743961442e-01, -1.4307930390873e-01,                    A, -1.0659412017159e+00,  1.1778110002484e-01,  1.2712259196738e-01,                    A,  8.0925741242883e-01, -2.3146291425843e+00,  6.1599091905619e-02,                    A, -5.9649220780482e-01,  3.7409089422902e+00,  2.2295782704872e+00,                    B, -1.5533824876468e+00, -1.2403462515103e+00, -7.6612145563859e-01,                    B, -1.8005936361720e+00, -1.4405083757280e+00,  5.1241479844849e-01,                    A, -4.9815401291828e-02,  2.8230090427074e+00,  4.1757742891522e-01,                    B, -1.9021881331209e+00,  1.2734952711438e+00, -4.1575979717064e+00
