##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -2.9842545756315e+00, -4.2111261584736e-01, -7.7839861252961e-01,                    A,  6.0696631192351e-01,  8.0791043965050e-02,  3.9261094824616e-01,                    B, -1.1510721756197e+00,  1.0351565546265e+00,  4.7159875499240e-01,                    B, -2.8108893458740e+00,  6.1646074325655e-01,  1.8285376369932e+00,                    A,  2.1108385281587e+00, -1.3145917824882e+00,  7.1828309916312e-01,                    A, -4.4908356264817e-01,  2.7256409398466e-01,  3.6891371691336e+00
                    A,  3.3458750739695e+00, -1.4124810271705e+00,  2.8395911974433e-01,                    B, -5.5163795758878e-01,  5.1313673576963e-01,  7.9869829884316e-03,                    A,  1.0122888650916e+00,  3.3787984158161e-01,  5.5506403298104e-01,                    B,  1.8002579196683e+00,  6.2540416077968e-01, -1.5570355363117e+00,                    B,  3.0090607714124e-01, -3.9467153572334e-01,  2.6866470174222e+00,                    A, -4.2950154391050e-01, -1.1070007946788e+00,  9.2891105798758e-01
                    B, -3.6792975764278e-01, -1.9299762862208e+00,  9.1844552254093e-01,                    B,  5.6729891863688e-01,  7.7641069251844e-01,  2.7283388881905e-01,                    B,  9.4046931321906e-01, -2.4004267829670e+00, -1.6465614393910e-01,                    A,  1.1407906095739e+00,  2.7423318591902e+00,  4.0658851563931e-01,                    A,  1.7887979700997e+00,  2.0498772973992e-01,  4.8170048920074e-01,                    A, -1.4998423557578e+00,  1.3319784258870e+00,  1.0569908007669e+00
                    A, -4.5255388135500e-03,  7.6968570719852e-01, -1.0759643786103e+00,                    A, -3.3651961872783e-01, -2.1806041113576e+00,  3.3062486017549e-01,                    B, -9.0729642544659e-01, -1.0635486462298e+00, -1.4228983919929e+00,                    B,  8.3901235537914e-01,  3.8826363852159e-01,  6.5261773416979e-01,                    A,  1.0393147479365e+00,  1.2162592712439e+00, -3.9835297445001e-02,                    B, -1.6601010674389e+00,  1.1552525900887e+00, -1.9757800865775e-01
                    B, -1.6147689048699e+00,  1.5066787845428e+00,  1.4901727736691e+00,                    B, -1.2390236931408e-01, -7.1404752571316e-01,  1.1209925795491e-01,                    A,  9.2828866458511e-01,  5.8823392808250e-01,  1.2820891952389e+00,                    B, -4.0700789023977e-01, -1.5861511429734e-01, -2.1788451876118e+00,                    A, -2.2141072097578e+00, -3.6366708417163e-01,  7.7326851837504e-01,                    A,  1.7792453027441e+00, -2.2290525289248e+00, -1.3558059100572e+00
                    A, -1.0961588379210e+00,  2.7986811333189e-01,  4.9518808351640e-01,                    B,  9.8750473809552e-01,  9.4352524874372e-01, -7.4635879668399e-02,                    B,  8.1815288311037e-01, -5.0515327888298e-01,  1.6574538610962e-01,                    B,  3.9216844712887e-01, -2.5231450543242e-01, -1.5710726328004e+00,                    A,  5.1504175484821e-01,  2.2410464229596e+00,  6.9434599882870e-01,                    A, -1.2579972403582e+00,  3.3432253863872e-01, -1.4286868267780e+00
                    B, -1.2564327905098e+00, -2.6722386068384e-01, -8.8302662053575e-01,                    B,  1.9583901144174e+00, -5.8893996178383e-01, -1.6604882335052e+00,                    A, -1.8218724368106e-01,  2.6346938282404e-01, -3.4930139669779e-02,                    B,  1.6406457330756e+00, -3.6956549502722e-01,  3.8913044478892e-01,                    A,  6.9071010152100e-01, -1.3979037164238e+00, -1.2156082462802e+00,                    A,  3.1559825203327e+00,  9.1092669446378e-01, -9.8486228233882e-01
                    B, -5.8177030266205e-01,  3.0419952060824e-02,  2.3120935655240e-01,                    A,  1.6317190942240e+00,  1.9819605383562e+00, -4.4094429476453e-01,                    B,  3.2218669561996e-01,  5.2578198445147e-01,  1.5313610002891e+00,                    A, -1.5236414889318e-01, -1.0774878779572e+00,  5.7232521624045e-02,                    A,  9.0355480421432e-01,  8.5752980800617e-01, -1.3579548880186e-01,                    B,  2.2458668747104e+00, -1.3620934245180e-01, -7.8822397644241e-01
                    B,  1.8562427403100e+00, -2.3731486674719e-01,  7.5217635050914e-01,                    B, -1.5860415522917e+00, -4.3707923184052e-01,  1.4152251004297e+00,                    A, -2.0657765026779e+00,  5.2208917580671e-02,  3.0468286990158e+00,                    A, -5.6269704548534e-01,  1.5998789916352e+00, -1.3228714806500e+00,                    A,  1.5288522954733e+00,  1.2843801751995e+00,  2.2840795323514e-01,                    B,  8.4982111143146e-01, -7.9365440400619e-01,  1.4474787251649e+00
                    B,  5.6976527510517e-01, -1.1005957903552e+00,  1.5546394390816e+00,                    A,  1.8616345121069e+00, -1.3246753397115e+00,  3.7900364811003e-01,                    A,  1.5889696977720e+00, -6.7786359636190e-02,  2.1975135039253e+00,                    B,  1.8765439575789e-01,  1.5192113810282e-01, -1.4388354537452e+00,                    A, -6.1537041164096e-01, -1.8290361710574e-01,  2.6378175045521e-01,                    B, -1.4051698540316e+00,  7.1625684654881e-01, -1.3707911708224e+00
