#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 1.205601255943e+00,-2.471048920761e+00,-1.721803660357e+00,                  B,-1.113899594680e+00, 1.244197464331e+00, 6.155080601743e-01,                  A, 1.495747238279e+00,-1.484204379254e-01,-1.636416876934e+00,                  B, 2.239127935706e+00,-1.081396632574e+00, 9.334751107458e-01,                  A,-1.251387943071e-01, 8.721431927665e-01,-9.886358765246e-01,                  B, 1.761739644960e-01,-1.583045577781e+00,-4.414872776726e-01,                  A,-1.021982630817e+00, 8.379769240040e-01,-2.061573695193e+00,                  A, 1.342905833627e+00, 2.277754238540e+00, 1.716627933753e+00
                  B,-1.465159740417e+00,-5.261509725642e-03, 3.574071356245e-01,                  B,-2.804929318428e-01, 1.990813204256e-01, 7.694786734710e-01,                  B, 4.189902344058e-01,-1.901946574212e+00, 8.501361833199e-01,                  A,-1.811604183541e+00,-1.074315739549e+00, 3.407588710475e-01,                  A,-9.436939236823e-01, 1.657318116382e+00,-1.440132528675e+00,                  B,-2.742436133584e-01,-1.022128290691e-01, 2.499383939373e+00,                  A, 6.852895894474e-01,-1.457069576305e-02,-1.089834231001e+00,                  A, 2.815591354516e+00, 1.083335822454e+00,-4.103835088960e-01
                  B,-2.454671000012e+00,-2.638449592266e+00,-2.985882848039e-01,                  B, 8.080708916533e-01,-6.076893681195e-01,-2.798031108365e-01,                  A, 2.009901083228e+00,-1.824504983439e+00,-9.295279692469e-01,                  A,-7.008708838407e-01, 1.798406679996e+00, 1.024456103773e-01,                  A,-1.773148022669e+00,-3.089009079706e-02,-3.334156370272e-01,                  A,-1.159213398807e+00, 5.227368635976e-01, 2.276029158807e+00,                  B,-2.537826106719e-01,-1.137947810908e-01,-1.337423910104e+00,                  B, 1.120356692192e+00,-4.219140646611e-01,-2.245111876593e+00
                  B, 1.818808840877e-01,-1.138769243550e+00, 6.363169395222e-01,                  B,-1.669820465562e-01, 1.466839018304e+00,-1.243303599661e+00,                  A, 1.239351890036e+00, 2.176318142679e-01,-4.977831996661e-01,                  A,-1.727450693657e+00, 1.373422865119e-01,-5.517842414437e-01,                  B, 6.533919424306e-01, 2.885161846554e+00,-1.649623920167e+00,                  A,-8.735925122016e-01,-1.572729606914e-01,-1.946612257877e+00,                  B,-8.807979250544e-01, 5.380727019381e-01, 7.293755806626e-03,                  A, 1.711216102852e+00, 8.272207623207e-01, 2.749162019370e+00
                  A, 4.696531728808e-02,-1.059841973104e+00, 1.631672934281e+00,                  A,-1.320041021334e+00, 8.707234172599e-01,-1.902267162013e+00,                  A, 2.639799053119e+00, 8.422957044747e-01, 2.478300389827e-01,                  A,-5.292978426932e-01,-2.538316178094e+00, 5.941156170158e-01,                  B, 1.756976421953e+00,-8.391224705798e-01,-8.361316388078e-02,                  B,-1.020223155750e+00,-1.503271976922e+00,-1.906846115888e+00,                  B, 5.330699979605e-01, 1.160481588153e+00,-3.975151719990e+00,                  B, 1.283268470688e+00,-5.399915582435e-01,-2.317867773559e+00
