##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B, -9.5237488455250e-01,  1.4389538670416e+00,  1.8929696517224e+00,                    A, -3.2025125852597e-01,  1.3605823989633e+00,  1.3987934474232e+00,                    B,  2.9888516965581e-02, -1.2142648301725e+00,  2.3662543347079e+00,                    A,  1.0079875839433e+00,  1.1487510335631e-01, -1.1513193743802e+00
                    A,  1.5033877364600e+00,  1.0381383532196e+00,  2.0434455746471e+00,                    A, -9.6652846322253e-01, -2.7073999709647e+00, -1.3448659761887e+00,                    B, -9.6116819533925e-02, -3.8525235187267e-01,  2.2229308298434e+00,                    B,  4.8974230699110e-01, -2.1606002909883e+00,  1.9724917822897e-01
                    B,  3.6451154400544e+00,  1.0040873599229e+00,  5.0874724876510e-01,                    A,  5.9254776129503e+00, -1.6094023615929e+00, -1.4191884889291e+00,                    B, -9.1322632149509e-01, -1.1102027286861e+00,  6.0721753279425e-01,                    A,  9.5287281635759e-03, -1.1790655557119e+00,  1.2339188627947e+00
                    A, -7.3724651007523e-01,  3.7389782176219e-01,  1.6631635168229e+00,                    B, -5.6308040463414e-01,  1.5986591101648e+00, -2.5850389674659e+00,                    A,  2.7647576715782e-01,  1.7940782394625e+00,  1.1016413427068e+00,                    B, -8.8039263339291e-01, -2.2444811135741e+00,  1.6856049478722e+00
                    A,  4.1436665658450e-01, -4.5556691943227e-01, -2.8256575267463e+00,                    B,  9.5712829415985e-01, -2.3172210392988e+00, -1.7164294103272e+00,                    A, -2.7679372863576e+00,  1.8241904191037e+00, -5.3834610641236e-01,                    B,  3.6832302491987e+00, -1.7352623766053e+00, -6.0171339700295e-01
                    A, -1.0562586923776e+00,  1.6019385293734e-01,  1.7731943628651e+00,                    B, -2.7892090990041e-01, -4.8253907020171e-01, -6.5034768247537e-01,                    B,  2.7591006786333e+00, -3.7547116255299e-01,  8.3399274156668e-01,                    A,  6.9486947467363e-01,  1.7918949128732e+00,  2.7287769122593e+00
                    B, -7.8909062757897e-01,  1.7761194759351e+00, -2.6277873172907e+00,                    A,  6.3907923265412e-01, -1.9217853148922e+00,  2.0148615135755e+00,                    A, -1.3605256748665e+00, -1.7331764832482e+00,  2.8074977955361e+00,                    B, -4.9987964787706e-01, -8.5985201292592e-01, -1.0771498393570e+00
                    A, -8.2022371301231e-02,  1.5393204392717e+00, -2.3521861507774e-01,                    B, -2.8608867734339e+00,  1.9495049991712e+00, -4.2644343409363e-01,                    B, -1.9663196355264e-01,  2.4423141427524e+00,  1.5348620427923e+00,                    A, -2.3112446645680e-01,  1.3925204321484e+00,  2.5665926040924e+00
                    A, -3.7066717185064e-01,  8.3414102716420e-01, -1.2802467574178e+00,                    B, -2.4062949231793e-01, -9.0866034236979e-01,  5.2882627408496e-01,                    B, -2.4559646057197e+00,  2.3872587054855e+00,  5.9695110193788e-01,                    A, -7.7668737405293e-01, -1.3619719479778e-01, -7.7852855134084e-01
                    B, -5.1561971868243e-01, -1.8875814576195e+00,  3.6098075250673e-01,                    A, -1.0983362306022e+00, -2.3014441947550e-01,  1.5572488447032e+00,                    A, -2.2017318848292e+00,  1.1804674275229e+00,  1.2097498631396e-01,                    B, -1.6943310032031e-01, -3.0299178177770e-03, -7.3636148133675e-01
