#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-1.159139500281e+00,-2.840713821642e-01, 1.160409054366e+00,                  B,-2.807255636832e-01, 1.631383414288e+00, 4.327393913774e-01,                  B, 1.758971743968e+00, 3.689610847177e-01,-1.817474200740e-01,                  A, 1.909602805168e+00,-2.274183214494e-02, 2.369775000309e+00,                  A,-1.271018130981e+00,-1.775759893646e+00, 1.848957105975e-01,                  A, 1.539895855802e-01,-2.194275772044e+00, 5.318684314897e-01,                  B, 1.031688622952e+00, 2.127608449840e+00,-1.204809865130e+00,                  A,-1.387802576132e+00,-2.875757183393e+00,-1.341208173547e+00
                  A,-3.973823581761e+00,-3.298304142565e+00,-1.778606798097e+00,                  A, 1.529039427536e-02,-6.430447530873e-01,-1.407577530527e+00,                  A,-2.835141037169e+00, 1.276440799561e+00,-1.727162144994e-01,                  A, 6.499451563011e-02,-1.241877400936e+00,-2.457789969351e+00,                  B,-2.685838328652e+00,-2.493297271031e-01, 8.250268655996e-01,                  B, 2.683071105981e+00, 1.594263361245e+00,-1.764456896316e-01,                  B, 2.028124819232e+00,-2.896991648641e+00, 4.244148308267e+00,                  B, 5.767987333973e-02, 1.650137116385e+00,-7.756362055424e-01
                  B, 1.601031309558e+00,-1.975390543752e-01,-2.682494886841e+00,                  A,-6.169264973331e-01, 2.035227531153e+00,-3.111426694776e+00,                  B,-3.809826822055e-01, 2.882430137226e+00, 5.659198454571e-02,                  A,-1.342599242893e+00, 1.113085378945e-03, 9.811404603283e-01,                  B, 1.933276594025e+00,-8.961096540631e-01,-4.105276488682e-01,                  B, 3.896443117784e-01,-4.207157959622e+00,-1.247316020191e+00,                  A, 1.184087887522e+00, 4.330264525242e-01, 2.091245640559e+00,                  A, 2.513968383932e+00, 2.123506392966e+00, 5.939663160863e-02
                  A,-3.199065540961e+00, 9.157174135080e-01, 8.671176725252e-02,                  A,-1.758112732763e-01,-1.339980813286e-01,-1.940393059458e-01,                  B,-5.159157842659e-01, 1.997138152777e+00, 2.676987873120e-01,                  A,-1.979654754937e+00, 1.023228713519e+00,-9.763447855514e-01,                  B, 1.369397586174e+00, 1.403292272184e+00, 1.916187387992e+00,                  B, 4.822367708831e-01, 2.185235249797e+00,-2.954653476039e+00,                  A, 2.475025885147e+00, 9.670873143939e-01,-2.517831622754e+00,                  B, 1.387217560777e-02, 1.966682639474e+00,-1.046778371796e+00
                  A, 1.694873477346e+00,-3.224140737952e-01, 4.383574476669e-01,                  B,-2.094105408056e+00,-5.915093670782e-01,-3.437474619456e-01,                  B,-4.507528117815e+00, 1.493494655167e-01, 4.486449019807e-01,                  A, 1.366257293760e+00,-1.037829652580e+00, 2.156849766572e+00,                  B,-1.412675702619e+00,-1.466607730940e+00, 2.944003381367e+00,                  A,-1.525098178713e+00, 1.033303107503e+00, 4.418304538755e-01,                  B,-1.063431546901e+00, 4.678994652374e+00,-1.617692700771e+00,                  A,-5.362784347077e-01, 1.238547328371e+00,-1.775579236928e+00
