##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B,  1.8546944114464e+00, -4.6876497296832e-01,  4.8874706446269e-02,                    A, -7.3471522720079e-01,  5.4550310718121e-01, -1.2188110360941e+00,                    A, -2.3316600693213e-01, -7.6103795073622e-02, -1.8458726384903e+00,                    B, -1.8704490331227e+00,  3.8335541103242e-01,  1.7882739782076e-01
                    B,  1.4793836165953e+00, -5.4756876509296e-01, -7.2070654799927e-01,                    A,  1.7150707458836e+00, -1.3455456398744e+00, -7.9981789815595e-01,                    B, -2.3935595566774e+00, -1.4428240732966e+00,  8.1750144740592e-02,                    A,  1.3755731709820e+00,  2.4985780891023e+00, -1.9204813239387e+00
                    A,  1.0229623644975e+00,  1.2185931357681e+00, -7.4337262383386e-01,                    A, -2.1740647687062e-01, -1.2798441076342e+00,  1.2712227433068e+00,                    B,  1.5634508485802e+00,  2.5375888333742e-02,  7.4940294824879e-01,                    B,  1.1757811291263e+00, -4.8800368635803e-01,  1.8756600542799e+00
                    A, -4.1501810936355e-01, -1.4155396147516e+00,  6.1636959689162e-03,                    B,  1.2497480821718e+00,  4.8594575485677e-01, -1.5201300918796e-02,                    B,  2.8485474398428e+00,  2.2460866020743e-01,  1.1188070648358e-01,                    A,  4.1196003814251e-01, -1.4116376562620e+00, -2.4617014516433e-01
                    B,  1.8725598219252e+00, -1.7035076285860e+00,  2.1896521112383e+00,                    B, -1.7142991158132e+00, -6.1430022668022e-01,  1.0826354136411e+00,                    A,  1.3464798509160e+00, -1.0948459932769e+00, -1.4681403523766e+00,                    A,  2.0029732168481e-01,  2.2063234733361e+00,  1.6125550823014e+00
                    A, -6.8802961195774e-01,  2.4682007921797e+00, -2.2121761042144e+00,                    B, -1.7600873755931e+00, -6.4382825628816e-01, -8.6250234382627e-01,                    A,  6.4819130511773e-01, -1.9428071801637e-01, -1.6409214996844e+00,                    B,  5.8464302499999e-01, -2.0814931087426e+00,  5.0575457600554e-01
                    B,  1.7658717026259e+00,  2.1170515216751e+00, -7.0830355055412e-01,                    B, -6.0309277795597e-01, -4.8886762447407e-01,  8.8292276552694e-01,                    A,  1.0043562965982e+00,  2.8022285291261e+00, -1.4675037616326e+00,                    A, -1.9636652174866e+00,  2.7672022482256e+00, -3.2264256964738e-01
                    A,  5.0411458311312e-01,  2.0211412756318e+00,  8.8281311844002e-01,                    A,  2.1476902383341e-01, -1.7300205717011e+00, -6.5052285190855e-02,                    B, -3.7816754669095e+00, -1.9296120343075e+00,  4.9839906439535e-02,                    B, -1.3964636597889e+00, -3.6000047100445e-01, -2.4027060177760e+00
                    B, -2.1037256602439e+00,  7.1983013013317e-01,  1.0239220446266e-01,                    A, -2.8449766654736e-01, -3.0689883993677e+00,  6.3863208947796e-01,                    B,  7.8453279749434e-01,  2.5119253373250e-01, -1.6057655489160e+00,                    A,  1.3008280612960e+00,  2.3554388787907e-01,  3.8411783208423e-01
                    A,  2.7309320433732e-01, -1.7842439547014e+00, -3.0409593910659e-01,                    B,  1.6226518355052e-01,  2.5392699162454e-01, -1.6590855365914e+00,                    B, -1.0208999863570e+00,  4.8612955017458e-01, -2.0943786527370e+00,                    A,  7.7579536288086e-01, -2.4052746669247e+00,  1.8344647699843e-01
