##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.5007339998468e+00, -1.2553728477054e+00,  1.9101890758662e+00,                    A,  7.1427972471857e-01, -1.6603662861884e-01,  1.6608818078191e+00,                    B,  2.0466387607291e-01, -1.8824962625309e+00,  1.5416245208232e+00,                    B,  1.0058629887954e+00,  1.0788435987198e+00,  2.4033757428657e+00,                    B, -9.9689068378746e-01, -1.6645622908459e+00,  2.6371518598183e+00,                    A, -2.1258126831273e+00, -2.3653041368303e+00, -3.0108594922854e-01,                    A, -4.8035185334142e-01,  2.1458453137877e-01, -1.2345272249266e+00,                    B,  7.2989352248457e-01,  2.2666635953307e-01, -6.0615961319894e-01
                    B, -1.0164701665273e+00, -3.8513848643994e-01, -1.2771946976786e+00,                    A, -3.2195477151604e+00,  2.4844948577056e+00,  7.1225356881397e-01,                    A, -2.6228598619809e-02,  1.1004779273538e+00, -1.8039795749427e+00,                    B,  8.7748341446407e-01, -1.8306699509136e+00,  1.5295628311896e-01,                    B, -5.5631286186911e-01, -1.4071310089969e+00, -3.7028802390707e-01,                    A,  1.7645591918680e+00, -3.5789684893612e+00, -4.0334211723570e-01,                    B,  9.0869230792006e-01,  1.5324225519689e+00,  2.8048194939048e+00,                    A,  1.7039678565099e-01,  2.2064269848415e-01,  1.3812164837526e+00
                    B, -3.1613210599777e-02,  3.4500836999505e+00,  1.1437307168578e+00,                    B, -1.3705945646923e+00,  1.2483465477850e+00,  7.3588423689699e-01,                    A, -2.0657488683332e-01,  1.7038829727694e+00, -1.7942455636553e+00,                    B,  3.9160030103708e-01, -7.7314980942465e-01, -5.1981396974966e-01,                    A, -2.1803791935482e-01, -7.8865033974708e-01, -9.6700268113612e-01,                    A, -8.4488644563174e-01, -3.0500818778264e+00, -1.0101469590048e+00,                    A,  4.1852429701744e-01, -1.0418300564323e+00, -1.5595405914706e+00,                    B,  1.5156250785042e+00, -6.5836311220260e-01, -1.6632341896826e-01
                    A, -1.6310092472280e+00, -8.3952216471074e-02, -9.4556045226934e-01,                    B,  1.5667862513021e+00, -1.8306861857516e+00, -1.0322095374927e-01,                    B, -1.5071127683177e+00, -2.2662109318648e+00,  2.2373634126452e+00,                    B,  6.8197846932671e-01, -1.3850275887660e+00,  1.2124615073971e-02,                    A, -1.1884437908190e+00, -8.1256802403423e-01, -2.2712320270723e+00,                    A,  5.2445471420072e-01,  2.3814056667807e+00, -1.2326557701810e+00,                    A,  7.6404929713566e-01,  9.6650493560785e-01,  1.1520054027572e+00,                    B,  8.9950951331346e-01,  8.4093095882787e-01,  1.2190836589769e-01
                    B, -8.8668654049602e-01,  1.7920829651210e-01,  2.0714384400035e+00,                    B,  3.9095105913146e-01, -2.2498616032480e+00,  5.7951302665927e-01,                    A,  1.2246160312640e+00,  1.4610064331537e-01,  9.5502337347124e-01,                    B, -3.9532809826484e-01, -4.4725534761180e+00, -2.9258664571151e-01,                    A, -1.5216521508752e+00,  1.2525975075995e-03,  1.2570126045512e+00,                    A,  7.4674741400153e-01, -5.9296928746487e-01, -2.8420932361711e-01,                    A, -3.8078915376659e-01, -2.9825147789151e+00, -1.1452069910585e-02,                    B, -3.6554066889069e-01,  4.5851956573266e-01, -6.8347792581068e-01
                    A, -1.4801367513873e+00,  3.7679659236904e-01,  1.5414313136175e-01,                    A,  1.0979377399413e+00,  7.7429920179653e-02, -8.0642464736088e-01,                    A, -6.0750101458611e-01,  9.8424190651015e-01,  2.2759447894407e-01,                    A,  1.8396593784803e+00, -7.9770897876503e-03, -2.3746210517204e+00,                    B,  1.8041296599621e+00,  1.9284632240266e+00,  9.0675010938432e-01,                    B, -1.9173681122437e+00,  1.1332811663069e+00, -1.1459979457812e+00,                    B,  4.9068017858755e-01, -2.3237335540514e+00,  9.9781554754959e-01,                    B, -2.8250582176081e+00, -6.8676099542064e-01, -9.1265543373193e-01
                    A,  3.3587652280136e-01, -2.9017227853745e-01,  1.8604131539184e-01,                    A,  1.1384959639338e+00, -1.5613844629598e-01, -1.7897016618204e+00,                    B,  1.1794628324849e+00, -2.4226483947200e+00,  4.8376374537955e-01,                    A,  6.8092779148125e-01, -3.6406703646175e+00, -9.3306242134447e-01,                    B, -4.9237305630352e-01,  8.2417858275531e-02,  8.0135413693657e-02,                    B,  2.4930112489849e-01, -7.0115235551100e-01, -1.7936195996424e+00,                    B, -4.5700002336514e-01, -8.7302374785338e-01,  2.3896190359361e-02,                    A,  1.6114090867691e+00, -9.8549318104349e-01, -2.3448772453784e+00
                    B, -1.7978014632473e-01, -2.1952502913391e-01, -2.1650053648157e+00,                    B,  1.2080600984274e+00, -1.9923238224850e+00, -2.0991840280039e-01,                    B,  3.3458869402833e-02, -4.6680375536158e-01,  4.9018868582803e-01,                    B,  3.2754417999836e+00, -1.3295918616696e+00, -1.4399177680706e+00,                    A,  6.4615390798888e-01, -6.7102201908399e-01,  3.4851635503822e+00,                    A,  1.3758077767812e+00, -6.2419846769260e-01, -6.5694534335163e-01,                    A,  1.6275033900157e+00, -1.3152328361816e+00,  1.0172039256887e+00,                    A, -3.3817634852260e+00, -8.2097194796603e-01, -1.2602083125030e+00
                    B, -7.8139501932888e-01,  1.0554789319733e-01, -1.8931002406943e+00,                    B,  3.2836340952841e-01,  1.0501638848254e+00, -1.5310460291823e-01,                    B,  1.9262098103401e+00,  6.8166673578815e-01,  3.2775942583897e-01,                    A, -5.0040060462297e-01,  5.1832349265653e-01, -8.6597385319844e-01,                    A, -1.6584619688040e+00, -3.3852987254809e-01,  6.1446479673669e-01,                    A,  6.5845291903012e-01,  1.6013066843134e+00, -9.9458602445734e-01,                    B,  1.2807009296033e+00, -8.7004603384243e-01,  4.0432219987868e+00,                    A,  1.1489045483760e+00,  9.7302228937388e-02, -7.8892781328774e-01
                    B, -2.4439754085023e+00,  1.6566421577643e+00, -5.8752168273193e-01,                    A,  1.7294463030923e+00, -8.6251134230379e-01,  7.3001455244865e-01,                    A,  6.2081119284465e-01,  1.7209313300058e+00, -8.5142210067010e-01,                    A, -3.1070950419985e+00,  2.2023794092284e+00,  3.4506701671455e-01,                    A,  4.6036143574971e-01, -3.4946835572949e-01,  2.1305479880309e+00,                    B,  1.5447993034074e+00,  1.0711660353504e+00, -2.0941914010961e+00,                    B,  8.5687440029986e-01,  2.1308556166507e+00, -1.7089594175527e+00,                    B,  2.5666254743523e-01,  1.2398149112571e+00, -3.6024182488047e-01
