##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.1389172593912e+00,  6.3045692314323e-01, -1.2046107685672e+00,                    B,  1.0940686864465e-01, -8.5161244492487e-01, -2.5681132572483e-01,                    B,  8.0259305343286e-01, -1.9222859031095e+00, -2.1702532584549e+00,                    B,  1.0631182228470e+00, -1.4520890505519e+00, -3.9546520581911e-01,                    A, -8.9718171298697e-01, -3.4701693064560e-01, -1.5504687062047e+00,                    B,  3.4116174904481e-01,  1.6954866172146e+00, -1.0596683143744e+00,                    A, -1.3911614953753e+00,  1.3523671581210e+00,  1.4381670532159e+00,                    A,  1.4717995363842e+00, -1.9910939528430e+00,  1.2569777465643e+00
                    B,  6.8123874346921e-01,  5.3936027139731e-01,  2.6064185519161e+00,                    B, -1.6491117127956e+00, -1.7711325643668e+00,  2.6423771706694e-01,                    B, -9.6901614245829e-01, -3.0859986631249e-01, -7.0587962553237e-02,                    A,  2.2278448468360e-01, -1.3964581518136e+00,  2.2241605195579e-01,                    B, -7.3624096300783e-01,  3.3455551544574e-01,  1.0539547360185e+00,                    A,  2.5828181873782e+00,  4.6759754392302e-01,  8.4070731832917e-01,                    A, -1.1160934129466e-01, -1.1546415400281e+00,  2.1897440024286e+00,                    A, -2.1719309323128e+00,  1.1066371615527e+00,  7.2688411382008e-01
                    B, -3.8183064407988e-01, -2.0135004170567e+00,  4.0175485558849e-01,                    A, -4.9790339615559e-01,  6.1735184437328e-01, -1.2728222951914e+00,                    B,  1.8326569287796e+00,  7.6569316119280e-01,  2.7011049593376e+00,                    B, -2.2262342266735e+00,  1.6808137571955e+00,  1.4446747140572e-01,                    A,  1.0847107757128e+00,  2.1745859702979e-01, -1.5338832238035e+00,                    A,  9.2148343157839e-01, -2.2693519185475e+00,  4.0935664050217e-01,                    B, -3.5022491052476e-01,  2.2471348336325e-01,  1.0075025994551e+00,                    A,  1.7018309693360e+00, -9.0304705141434e-01,  1.6370781519733e+00
                    B,  3.6199566566572e-01,  9.8121735130633e-01, -2.8012991725109e-01,                    A, -5.8748353350564e-01, -1.3454363321259e+00, -1.3255280783760e+00,                    A, -9.1233143326102e-01, -7.5977454805721e-01,  1.7921904326043e+00,                    B, -1.3466024218653e-01, -1.5997270534106e+00,  1.9265626324772e-01,                    A, -5.3232784017575e-01, -3.6200267837886e-01,  3.1424246177835e-01,                    A,  3.4003586086032e-01, -1.9326685620449e+00,  1.4629151764729e+00,                    B,  1.4678425700549e+00, -1.3436121909196e+00, -3.3789927398333e+00,                    B,  2.6867850976635e+00, -1.0828692047573e-03,  7.5707482236986e-01
                    A,  8.9319971505905e-01, -1.0713565210086e+00,  2.3334122635802e-01,                    B, -1.0369598938489e+00, -1.5519982027082e-01, -1.1229521285554e+00,                    B, -4.3958199181494e-01,  8.2276713197291e-01,  1.6575602967840e+00,                    A,  1.6857882124841e+00,  3.6518339231593e-01, -1.1968601878016e+00,                    A,  7.2775527108327e-01, -1.0072109932607e+00,  1.4594897413023e+00,                    B, -1.8689952159358e+00,  1.2178369082898e+00,  1.1841376591133e+00,                    B,  1.1994324087089e-01, -6.5431213716333e-02, -1.0701266023490e+00,                    A, -1.5130621710010e+00, -1.8800084226352e-01, -7.9008607472190e-02
                    A, -1.2867791095842e+00,  2.1598083376536e+00,  5.7178620016062e-01,                    B,  1.3350925399489e+00,  1.4529660985924e+00,  1.7808534632785e+00,                    A, -2.5347316273550e+00, -1.4053284498471e+00,  8.6708715003516e-01,                    B, -2.7511331538282e-01,  1.6201071068441e-01, -2.9760880596266e+00,                    B, -1.0111415825080e+00, -6.1506532266493e-01,  6.4579322009794e-01,                    A,  2.8757697764793e-01,  1.0290840586943e+00,  1.8649884128304e-01,                    A,  1.3923505710247e+00,  7.6849978270302e-01, -1.0168675268753e+00,                    B, -8.9202284118552e-01,  7.3137278062225e-01, -5.4150988306679e-01
                    B, -8.5821239898143e-03, -1.2229607552591e+00, -1.4427996557660e+00,                    A, -2.0805127845970e+00, -1.7089224434497e+00,  9.6143712843885e-01,                    A, -6.9453089432600e-01,  8.2788315685294e-01, -6.6310592340992e-01,                    A,  1.3324490963122e+00,  1.7783720394529e-01, -5.5022952990091e-01,                    A, -1.1017608660404e+00, -1.9677322583120e+00, -4.7058694579508e-01,                    B,  9.0346159811577e-01, -1.0530891832554e+00,  8.5475849637399e-01,                    B, -3.5899552854240e+00,  2.3598118859737e-01,  6.3108447015346e-01,                    B, -1.5426131543396e+00,  3.9543668596021e-01,  3.4990656937638e-01
                    B, -2.0938771960246e+00, -1.0652160557873e+00,  3.9975286262966e-01,                    B,  1.6554215545848e-01,  1.1620667997252e+00, -1.6281663350496e+00,                    A,  1.0298245696161e+00, -7.1917053252121e-01,  1.8542972247943e+00,                    A,  1.2029870080415e+00,  6.8750259507158e-01, -2.4282592404754e-01,                    A, -8.8853936533096e-01, -3.4594253375102e-01, -7.0563164652964e-02,                    A, -3.4212972143202e-01, -7.3817268213733e-01,  1.0033493201696e+00,                    B,  1.7501763777903e+00, -4.3364583069846e-01, -9.8426002562376e-01,                    B, -1.4909997695319e+00,  1.9468726809705e+00, -1.4851624238556e-01
                    A,  1.2520405243968e+00,  2.6199236567279e+00,  2.8601572494702e+00,                    B,  4.8184133203006e-01, -6.2331582775868e-01,  7.4034611666230e-01,                    A,  2.1341261410469e+00, -9.0988475109670e-01, -2.2665692712636e-01,                    B, -1.5664117410464e-01, -7.5026888903203e-01,  2.1914654999834e+00,                    B,  9.0732442353697e-01,  2.7768320737370e+00,  3.0240554609429e-01,                    B,  2.9668325410058e-01,  1.4752453442494e+00, -1.3682057873496e+00,                    A, -5.6659850594185e-01,  1.4522110173000e+00,  1.6557095139429e+00,                    A, -2.7059366351249e-02, -4.6080156962915e-01, -1.4386931787206e+00
                    A, -1.8896373314306e+00,  2.6146440867840e-01, -1.4487092105161e+00,                    B, -1.1190368186235e+00, -4.8962729943949e-01, -5.0895541028694e-01,                    B, -1.9853998072985e-01,  7.1315440295128e-01, -6.7039447253527e-01,                    A,  1.1950667555641e+00,  1.9687452987522e+00,  1.3433673966653e+00,                    B,  1.5456515200929e-01,  4.5078519556571e-01, -2.6708314659805e+00,                    A, -2.6772979281202e-01,  1.1667330194349e+00,  2.0620124741336e+00,                    A,  1.2376757221648e+00, -1.5979946091378e-02, -3.7598927593033e-01,                    B,  1.5163903975749e+00,  6.5600566073366e-01, -2.3715385509241e+00
