##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  2.1550539111834e+00,  1.6033036722966e+00,  3.1552382567061e-01,                    A,  1.4595780234825e+00, -1.9163888785568e+00,  3.5916162416566e+00,                    B, -1.0326934490018e+00,  3.7759099877821e-01, -2.2701297733436e+00,                    B,  1.6973816948859e+00, -6.4968972825270e-02, -9.3631352320403e-01,                    A, -1.6466773923719e+00, -2.4120532046649e-01, -1.3364764754835e+00,                    B, -1.7607690882895e+00, -2.2365326476847e+00,  1.2005697089727e+00,                    A,  1.8707386402597e+00, -2.0164776171290e+00,  8.8662331859074e-01,                    B, -2.0556362252874e+00,  2.2355700613419e+00, -9.3697654771090e-01
                    A,  1.2853294254090e+00,  1.9760591396841e+00,  5.3259587972500e-01,                    B, -3.7893414668501e-01, -1.0125887997626e+00,  5.8010224251847e-01,                    B,  2.4193289555908e+00, -1.2139352607457e+00, -6.5758085402056e-01,                    A, -1.1469994848080e+00,  1.4373391811320e+00,  2.7122881421591e+00,                    A, -8.6111677192205e-01, -2.0217242687275e+00, -1.8773097039966e+00,                    B, -6.4535910552185e-01,  1.3717295105932e-01, -1.5162129307285e+00,                    B,  3.6806194944989e+00, -1.4097299201054e-01,  1.1239294902947e+00,                    A,  2.0980880454988e+00,  7.4226260689204e-01, -1.8970055458489e+00
                    A,  1.7052219799373e+00, -2.0773621580562e+00,  1.0928047864818e+00,                    A, -6.2891223060958e-02, -1.0860188427601e+00,  9.3346362405456e-01,                    A,  2.6745489870279e+00, -3.6787915725567e-01,  6.4818309527540e-01,                    B, -1.2433364447695e+00, -2.5903783260393e-01,  2.2399238332129e+00,                    B, -5.8941638012176e-01,  2.3711308364167e+00, -3.4523019238492e+00,                    A, -5.3092634233830e-01,  3.5379026192295e+00,  3.6518905123494e-01,                    B,  3.2271008049243e+00,  2.5110710172044e+00,  5.7700337855093e-01,                    B, -2.0454994400588e+00,  1.3007675288879e+00,  7.7583264541383e-02
                    A,  1.7643521604303e+00,  3.3313426993477e+00,  7.2748759546138e-01,                    B, -1.8152139041294e-02,  1.3956822624196e+00, -2.1920886676819e+00,                    A,  5.6439325684932e+00,  2.5090484741844e+00,  2.4320327345209e+00,                    A, -1.1235511497393e+00,  1.1743208826673e+00, -3.4544466571881e-01,                    B, -8.1140967913961e-02, -1.0985668174560e+00,  3.7595685956179e-01,                    A, -1.4879646519780e+00, -1.3076988428390e+00, -1.8496600995878e+00,                    B,  2.8370545196675e-01,  5.1144798197270e-01, -4.6205316963263e+00,                    B, -1.3933278958729e+00,  9.7125430768521e-02, -7.3718142487793e-01
                    B,  2.4875444083979e+00,  1.1394080803722e+00, -1.9127457788233e+00,                    B,  7.9046755268095e-03, -5.1299501972547e+00,  4.4157307000148e+00,                    A, -2.2945561136788e+00,  3.0826322609847e+00,  4.7070034856444e-02,                    A,  1.4687334861672e+00, -1.6128999791128e+00, -4.1894379882576e-01,                    A, -1.8882191523387e-02,  3.2477140661428e+00, -3.5090225643937e-02,                    B, -1.4371462155209e+00, -2.6950504306491e+00, -1.3648205328963e+00,                    B,  1.2640326282089e+00, -1.0430369485910e-01,  1.3921785448256e+00,                    A,  9.0016297071112e-02, -2.6245392688962e+00, -2.1429140159508e-01
                    A, -1.1596365589352e+00,  2.5061425109226e+00, -1.8288355842482e+00,                    B,  2.4243697659033e+00, -1.1995489647726e+00,  2.6657601157503e+00,                    A, -9.5545477581887e-01, -3.0330131484021e+00,  7.6561572814319e-01,                    B,  1.0165812483329e+00, -5.1837441829605e-01, -6.0010689430428e-01,                    A, -1.5158815365601e+00,  1.9839820113168e-01, -1.1824570237352e+00,                    B,  4.9833163639815e-01, -1.2427967866756e+00, -3.3933660601976e+00,                    A,  5.2669516284610e+00,  5.7494336285605e-01, -5.1131136630730e-01,                    B, -3.9050106871155e+00, -1.7219185596636e+00, -1.0619987374126e+00
                    A, -1.1541047465644e+00,  7.9771435606573e-01,  1.6075736969270e+00,                    A,  2.4077477703788e+00,  1.0708378352298e+00, -3.6127106673934e+00,                    A, -2.9003353662780e-01, -6.5958970331680e-01, -1.1431686061988e-01,                    B,  1.1205013090787e+00,  1.5672532796074e+00, -2.7178052659779e+00,                    B, -9.1248567949736e-01,  2.7543043691781e-01, -5.1720249345216e-01,                    B,  2.6108536773201e+00,  1.6118066734427e+00,  1.7557303956028e+00,                    B,  1.2345439484003e+00,  4.9463731494405e+00,  1.6807910613032e+00,                    A,  1.0957726854587e+00,  8.9325413347109e-02, -6.6151448137995e-01
                    B, -5.8002482008397e-01, -1.0588266657296e+00, -1.5597738446530e+00,                    A,  3.9128081964825e+00,  2.6957684335532e+00,  8.7762581814250e-01,                    A,  2.3630240130410e+00,  8.3214136533125e-01, -1.0956643939221e+00,                    A,  1.5445088800439e+00,  3.6538156119500e+00,  1.4971784341684e+00,                    B, -2.3322578770274e-01, -3.0084913611052e-01,  1.0800257117641e+00,                    B,  2.1461484836868e+00, -4.3020497134961e-01,  8.7243998724327e-01,                    A, -2.2349901012760e+00, -2.8243347911320e-01, -1.3177099028829e+00,                    B, -8.4003106600006e-01,  3.1306670395055e+00,  1.5675604355079e+00
                    B, -3.3159228449342e+00, -1.7038667890129e+00,  2.2642196394429e+00,                    A,  1.4261646152249e+00,  1.5121994223352e-02,  4.4713778940075e-01,                    A, -2.7457740545314e+00,  1.3882345062620e+00, -4.8209118179666e+00,                    A, -9.2662030732917e-01, -1.4643633372378e+00, -8.6546734798782e-03,                    B,  7.0155620952714e-01, -3.4562569665906e-01,  1.6987765650304e+00,                    B,  9.9434853325177e-01,  3.5116758745358e+00,  7.3171045076812e-01,                    A, -1.8582387487970e+00,  2.1084521654772e+00,  2.0749394666290e-01,                    B,  1.2424568312802e+00,  5.9491197194968e-01, -7.8795054141625e-01
                    A,  2.9073971758163e+00,  2.2024191465707e+00, -1.1629840202742e+00,                    B,  1.7371309832045e-01,  1.5037747417300e+00,  6.5237113762411e-02,                    B,  1.4853393167422e+00, -4.2304263014069e+00, -3.5362867858735e-01,                    A, -1.1066883570257e+00, -1.7383952529044e+00,  2.1789776078477e+00,                    A, -6.3815371500294e-01,  1.9575476384047e+00,  3.1225982640574e-01,                    B,  6.3981677406832e-01,  2.0490393449781e+00, -2.9204907991712e+00,                    B, -1.4789220810948e+00,  4.8390767529913e-01, -9.0801157636987e-01,                    A,  5.1524230149846e-01, -5.8300505297157e-01, -4.2287252912686e-01
