##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -7.0043811545291e-01,  1.7562035678531e+00,  7.3733337427278e-01,                    A, -4.6400042260015e-01, -2.5803755826405e+00,  1.3785919519854e-01,                    A,  2.6989199948019e-01, -4.8947776493220e-01, -1.6104603293961e+00,                    A, -6.2032807892473e-01,  1.0012348144753e+00, -1.2714696095835e+00,                    B, -1.4660135512840e+00,  9.6351607156098e-01, -4.6342520090923e-02,                    A, -6.9880971453601e-01, -5.6621921327039e-01,  1.7947839383809e+00,                    B,  9.4909897268290e-01, -1.3478883176052e+00,  1.0467009192492e+00,                    B,  5.3733807438939e-01, -3.5127624281413e+00,  8.1826084985462e-01
                    A,  1.9956352233664e-01,  1.4458125408983e+00, -1.5667553445278e-01,                    B, -1.5476127650172e+00, -1.1044628194773e+00,  1.4099573267967e-01,                    A,  1.7527443422710e+00,  3.6984421841204e-01,  7.1022245387005e-01,                    B, -6.9542397976643e-01,  2.8831780396358e+00, -1.8789336500635e+00,                    A, -7.1704876489481e-01, -1.5522895054599e+00,  1.2674025369475e+00,                    A, -9.4919602303294e-01,  8.9416634267162e-01,  1.4391886404986e+00,                    B, -2.2767521898375e+00, -1.9002128193753e-01,  7.0326395230639e-01,                    B, -5.5807331565496e-01,  2.0098272134264e-01,  2.0617183724411e-01
                    A, -1.4915593172384e-01, -1.7934745357599e+00,  1.5666280950335e+00,                    A, -1.8809522526779e+00, -6.9352999674621e-01, -4.8668669754197e-01,                    B,  1.8290516148952e+00, -1.1025641349427e+00,  1.2626752588090e+00,                    B, -8.1566810527126e-01, -6.2475974825110e-01, -2.2612919965273e+00,                    B, -1.7311613025521e-01, -5.8947870609244e-01,  2.8802048444864e+00,                    B, -2.5412465916173e-01,  5.2344858218275e-01, -5.8245093008917e-01,                    A,  1.6344603842398e-01,  1.1119379029407e-01,  1.9819387577109e+00,                    A, -4.0816644847485e-01,  1.5034652458753e+00,  3.3028278435308e-01
                    B,  5.7199051958416e-01, -3.0973660314025e-01,  2.5907190008942e-01,                    B, -1.6028409703407e+00, -6.8435454180060e-01,  2.3615165058511e-01,                    A,  2.2111053924101e+00, -1.0590485329592e+00, -1.5646862372365e+00,                    B, -1.2292339015923e+00,  8.1017659613193e-01,  1.8330613333275e+00,                    B, -2.5469245665387e+00,  8.1366037650622e-01, -3.8802681614400e-01,                    A,  2.1264649631020e+00, -6.2935189569542e-01,  1.7749954103533e+00,                    A,  7.2685917223894e-01,  7.7648306636485e-01,  3.7178435917120e-01,                    A, -1.2553149921135e+00,  7.2080901891174e-01, -5.5997160176725e-01
                    B,  5.8320759150970e-01, -5.0080597880406e-01,  7.8468979280447e-01,                    A, -2.1567873534022e-01,  1.1225854822413e+00, -1.2875270224380e+00,                    A,  2.1287139354935e+00,  5.4659229658665e-01, -5.7337898687956e-01,                    A,  9.5302138306008e-01,  2.4144431067826e+00, -1.0556378496903e+00,                    B, -9.0539368016772e-01, -2.3025387240363e-01, -2.9545203521083e+00,                    B,  5.5117256006409e-01,  2.9611024002666e+00,  2.3115524680765e+00,                    B, -9.7348472434284e-01,  1.0332938717233e+00,  2.3323096321366e+00,                    A, -1.5024744565198e+00, -8.8399136869491e-02,  6.2741025542263e-01
                    B, -6.5705991248683e-01,  1.3668243390479e+00, -7.9431066926010e-01,                    A,  1.4422843438158e+00,  2.4371405782011e+00, -8.6490375805206e-01,                    A,  7.0014912708740e-01, -2.9648671162567e-01, -5.6008939932105e-01,                    B, -1.7176728820695e+00, -7.5565783130829e-01, -2.4787442742466e-01,                    B, -3.4276598690293e-01, -3.4713943067512e-02,  2.3374138915931e+00,                    A,  8.1395368595446e-02,  4.7530550901550e-01,  3.4334433724041e-01,                    A,  1.6241239020204e+00, -8.0231868431135e-01,  9.3541890304832e-01,                    B, -2.1573931392837e+00, -1.0633565005580e+00,  1.6601177519249e+00
                    B, -1.3302546411953e+00, -3.4528932266157e+00, -1.3298564854154e-01,                    B,  2.7836404269119e-01,  1.8466529233259e+00,  9.9080675288771e-01,                    A, -1.7404306460463e-01,  7.0402493760004e-01, -2.1212103560213e+00,                    B, -3.2680457885947e+00,  1.2169460412481e+00,  1.8689791700131e+00,                    A, -4.0730872144974e-01, -8.2002966801191e-01,  1.0673384132818e+00,                    A,  2.2833701065677e-01, -1.9845172743973e+00, -7.3911723261463e-01,                    A,  3.8038239742627e+00, -1.1013848363707e+00,  5.2506701130618e-01,                    B,  2.5137105598212e-01,  1.5119713195490e+00, -5.7575046986635e-01
                    A, -2.2877673648764e-01,  1.0300196166800e+00, -1.2952250920748e+00,                    B,  1.6699121690867e-01, -7.8648704235967e-01, -2.7037471200276e-01,                    A, -1.8987481249078e+00,  4.8852852924462e-02,  2.0004203610603e+00,                    A,  1.3652946219739e+00, -6.6112102208219e-01,  7.5262129043315e-02,                    A, -1.5275520514238e+00, -1.5994668775502e+00, -6.7804461859365e-01,                    B, -1.3265669318774e+00, -2.1678872333898e+00, -1.8334978939106e+00,                    B,  1.7614120769313e+00,  8.7091387379569e-01, -3.3485707757256e-01,                    B, -1.5556542209148e-01, -2.4711288100403e+00,  7.3538600343377e-02
                    A, -3.3767747835437e+00,  1.2249883490661e+00, -8.5519290708618e-01,                    B, -1.3248398987246e+00, -1.1894549311772e+00,  1.4270595480052e+00,                    B,  2.2788315648627e+00,  6.6846048641189e-01, -2.8282684930775e+00,                    B,  5.2004633026528e-01, -9.9446473438836e-01, -1.3215007475700e+00,                    A,  7.4582751717072e-01,  6.2235354197410e-01,  1.2623296789546e+00,                    A, -3.1629232732831e+00,  1.3928788948332e+00, -2.1222645947111e+00,                    A, -1.2459306152774e+00,  2.8622305120205e-01, -2.3060551773303e-01,                    B,  4.2996109938964e-01,  1.2636644092927e+00, -7.9476744017764e-01
                    A, -1.4364816475198e+00, -1.0733172888395e+00,  1.6968146989869e+00,                    A,  1.7244329081518e+00,  4.3083861169015e-01,  8.2403638683407e-01,                    B,  2.0452976952472e-01,  1.9611448363516e+00, -5.3854821111777e-01,                    B, -6.1911301547636e-01,  1.9687121150749e+00,  5.8760303822442e-01,                    B, -1.5008516220110e+00, -4.4035799620753e-01,  1.0908801512425e-01,                    B,  5.6796440649046e-03, -9.0314004998472e-01, -2.0975675319109e-01,                    A,  1.8436572285224e-01, -1.4139783325426e+00, -1.5634945994223e+00,                    A,  3.0814179951685e+00, -2.3787645370028e-01, -9.8430983732321e-01
