#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A, 2.173085601235e+00,-3.322370009557e-01,-1.762183457617e+00,                  A,-3.520068394691e-03, 1.290896289082e+00, 1.272326918625e+00,                  B,-7.816606299099e-01, 6.603388373574e-01, 1.708148642297e+00,                  B, 7.735505530208e-01, 3.545528285215e-01,-2.412842554972e+00
                  A, 1.203612466224e+00,-8.106459790914e-01,-9.177396131074e-01,                  B,-1.618522583393e+00, 5.104669438671e-01, 2.218305150236e+00,                  B,-7.498900428475e-01,-2.373061831086e+00, 8.220005033586e-01,                  A,-9.281294322395e-01,-1.193585363682e+00,-7.064053457625e-01
                  A, 1.740465219658e+00, 9.245403390949e-01,-2.321123766749e+00,                  B,-1.548711329180e+00,-2.304066774840e-01, 1.601414539495e+00,                  B,-8.068164167191e-01, 1.420929023502e+00, 2.915877869678e+00,                  A,-4.993060373760e-01,-9.925965428144e-01, 2.061341677404e+00
                  B,-8.858533524468e-01,-1.257902591941e+00, 2.294887580735e+00,                  A,-1.370577722401e-02, 2.275123483804e-01,-6.563484846235e-01,                  B, 3.848227829749e-01, 2.509920911716e-01,-4.704289466588e-01,                  A, 1.819525727420e-01,-4.383639402291e-01, 1.612673428327e+00
                  A, 1.144141516952e+00, 2.971460928691e+00,-1.788219714722e+00,                  B, 9.473120312229e-01,-1.204030070744e+00,-5.568575357877e-01,                  A, 4.079560978161e-01,-1.614412013228e+00, 8.975336979701e-01,                  B, 1.805320362603e+00,-2.536962954063e-01,-1.748523091613e+00
