##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  6.7219714616732e-01,  2.0826729772277e+00, -4.6096572951383e-01,                    A, -8.8323201348686e-01,  1.4837466480975e+00,  6.2364952318034e-01,                    B,  5.2231306811751e-01, -2.3621765512603e+00,  1.0613694114673e+00,                    A, -1.7431103720383e-01,  1.7032885627541e+00,  2.4460554794520e+00,                    A, -6.8430281822641e-02, -1.2290410838912e+00, -1.4098106042507e+00,                    B, -2.8144699630460e-02, -1.1419383567769e+00,  5.5016321411036e-01,                    B, -4.4894247639627e-01, -9.0935939721343e-01,  1.7369306344526e+00,                    A,  4.3776657112644e-01,  7.7555411621384e-01,  1.7850117333105e+00
                    B, -8.3160153042869e-02,  7.6112204660074e-01, -2.4326562902797e-01,                    B,  1.6607020087808e-01, -4.9326022160041e-01, -9.0225575450205e-01,                    A, -3.7824453812693e-01, -8.9754347438631e-01,  2.8647905905944e+00,                    B,  1.7467720839348e+00, -5.2851555089223e-01, -2.6595167403002e-01,                    A,  1.3859556055539e+00, -1.5990921372050e+00, -1.1733716489743e+00,                    A,  8.5941768760281e-01,  1.0549420804732e+00,  4.4983916617447e-01,                    B,  1.5139342759841e+00,  4.3744598593476e-01,  1.1100873571782e+00,                    A, -1.1013871955398e+00, -1.7003395923138e+00, -1.3059762349782e+00
                    B, -1.3559221120375e+00,  3.2381449114708e-01, -1.2226890058559e-01,                    A, -9.9720020708860e-02,  4.7082510860149e-01, -3.1147776358013e-01,                    B, -1.1633879598164e+00,  2.5018384904625e-01, -1.5986653485711e+00,                    A, -1.4594688499344e+00, -8.6883925659067e-01, -2.1652023322723e+00,                    B, -7.9426494418473e-01, -7.7797967633119e-01,  1.4744480110047e-01,                    A, -4.6406406748929e-01,  2.1715459140717e+00,  6.7154101582026e-01,                    B,  1.4515601294889e+00, -3.0031547914902e-01,  6.0613123391391e-01,                    A,  2.2448324081345e+00,  2.5214449830195e+00, -5.1924086897414e-01
                    B,  9.6267931096254e-01, -1.5306628344554e+00, -4.9644260750358e-01,                    A, -2.2086938871971e-02,  1.1142320337945e+00, -2.3103538843729e+00,                    A,  1.5542278776281e+00,  1.4977760983367e+00, -2.7592721026237e-01,                    B,  9.9323670305443e-01, -2.1999910043557e+00,  1.6605495019356e+00,                    A, -4.2662250515277e-01, -1.1299836212698e-02, -1.2576073801839e-01,                    B, -5.7105994703933e-01, -1.3134119099580e+00,  9.5463636546498e-01,                    B, -1.0677508023577e-01,  1.2872868985083e+00,  6.3926518624992e-01,                    A,  1.0565817594255e+00, -4.6616708496441e-01,  3.5986748030318e-01
                    A,  1.9740158196356e-01, -1.4023548938253e+00, -1.6679482917001e-03,                    A, -2.3537518769140e-01, -1.7156176907549e+00,  1.3520344857448e+00,                    B, -7.7405754566166e-01,  5.3029212650065e-01, -2.0997193029720e-01,                    B,  5.0628169112820e-01,  6.8818260988971e-01, -2.1242211062056e+00,                    A,  1.1760301693836e+00,  1.1200029866363e+00, -4.0883114874317e-01,                    A,  7.2957841745849e-01, -8.1599330797030e-01,  9.3207761968835e-01,                    B, -1.4561589739574e+00, -6.7626011852539e-01, -2.2729485763702e+00,                    B,  1.4413937289627e+00, -1.2931427822177e+00, -5.7841403668021e-01
                    A,  1.6796043951518e+00,  3.9402987940722e-01,  8.1552396538182e-01,                    A, -2.2064482273554e-01, -1.0592344075934e+00, -6.3867106798938e-01,                    B,  4.8032357934576e-01,  1.0098808910676e+00, -2.9777635376560e+00,                    B,  5.6889163383870e-01,  2.3518799127134e-01, -4.8172770487204e-01,                    B, -9.6386062325032e-01,  5.7305923565590e-01, -7.0390215814208e-02,                    A,  2.6482006632957e-01, -1.8239782517143e+00,  1.9576898402997e+00,                    B, -2.0915238861180e+00, -2.1588499390444e-01,  9.4321933251984e-01,                    A, -1.0885550693489e+00, -1.9700739352390e+00, -4.3916367605023e-01
                    B,  3.3231741437348e-03, -2.9807246457168e+00,  1.0146700928147e+00,                    B,  1.3321823446102e+00,  8.2687337793325e-01,  2.4801222539602e+00,                    B,  2.5581789610002e-02,  3.0386453391665e-01, -5.9579018339221e-01,                    A, -6.5031361225517e-01, -9.0012046151950e-01, -2.7210244330891e-01,                    B, -7.8559333478554e-01, -2.0472079403606e+00, -1.0072571419493e+00,                    A, -2.0794234536962e-01, -9.0703169024063e-01,  1.6678746814684e+00,                    A,  7.8408308033009e-01, -1.1724583651268e+00, -5.8884103753744e-01,                    A,  8.8192933704974e-01, -1.7430847751458e+00,  1.1756826530746e+00
                    B, -2.8999084388451e+00,  1.1083642544175e+00,  5.0648731429260e-01,                    A,  1.0550521424756e+00, -5.9549169499044e-02,  1.7010817541653e+00,                    B, -2.4786251799379e+00,  8.6558613939697e-02, -5.9300608891327e-01,                    A, -2.7954367784211e-01, -1.2111909260260e+00, -1.5031221094918e+00,                    B,  2.9900001519393e-01,  5.1462159231045e-01, -2.6363687213679e+00,                    B, -7.8920552746950e-01, -2.6360853965807e+00, -1.6714465816576e+00,                    A, -1.2815268691977e+00, -5.6623139205017e-01,  1.4155096823536e+00,                    A, -9.2047534721218e-01,  1.6388713666321e+00, -2.1224306966077e+00
                    B, -6.6605542088867e-01, -6.8821799292201e-01,  7.0142030490962e-01,                    A,  1.0999936967135e+00, -1.5465265167438e+00,  4.6341360165770e-01,                    B,  9.9791410902566e-01, -7.4689334158946e-01,  1.9444056499005e+00,                    A, -1.5531179834860e+00,  1.8461140545474e+00,  7.1224923192448e-01,                    A, -7.3197862556346e-01,  1.1770417053377e+00, -6.8876870576474e-01,                    B, -5.6986009369461e-02, -1.6294132452750e-01, -1.2077156913828e+00,                    B,  1.9941159358547e-01,  1.8094690938279e+00,  5.8271422716272e-02,                    A,  1.3302664189878e-01, -2.5292810869381e+00, -7.2349054567659e-01
                    A,  2.4894753344987e+00,  2.9901565810363e+00,  1.0811518590380e+00,                    B,  1.9403214411489e+00,  1.2106609433663e+00, -1.0637363294160e+00,                    A, -1.4790554380313e+00, -5.2506985912449e-02,  9.9210085806751e-03,                    A, -1.0831544286106e+00, -2.2423473506408e-01,  1.6945802449468e+00,                    B,  1.0611516836063e+00, -1.3702517328555e+00, -1.2192230044427e+00,                    B, -1.0223826745503e+00,  7.2730271993308e-01,  5.7732315383739e-01,                    A,  1.5091519731494e+00, -2.3142570950695e+00,  9.1061303771644e-01,                    B,  9.9507674848085e-01, -3.8033425771979e-01,  5.1473145354470e-01
