##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A,  1.6608605166859e+00,  4.7379345863434e-02,  1.1744838286598e+00,                    B,  7.9782075848527e-01,  1.5584783977966e+00, -4.8723348712567e-01,                    A, -1.0841876363781e+00,  1.2202839005885e+00, -3.0866126269854e+00,                    B, -7.0191395341350e-01, -3.2680843154932e+00, -4.4415690738313e-01,                    B,  1.2065120087052e+00, -1.6060040153818e+00, -1.1423532991552e+00,                    A, -6.5678024395093e-01, -1.3282985944318e+00, -1.8515748493061e+00
                    B,  1.1834065932240e+00, -3.3693586100308e-01,  7.6830417577603e-01,                    B, -8.9383216849949e-01,  3.7764188081559e-01, -2.5521831148395e-01,                    B,  1.1737673627591e+00,  9.8267641236183e-01, -6.0892845790156e-01,                    A, -1.8531528092065e+00, -2.1244933019663e+00, -6.1667281202965e-01,                    A, -3.1022705732658e+00,  1.5041611060561e-01,  3.9933236862025e-01,                    A,  7.3666988017530e-01, -6.5986637567157e-02, -1.4420105676223e+00
                    B, -1.1608821914087e+00,  1.1076746412348e+00, -9.8040632818916e-01,                    A,  9.0978463876300e-01, -4.1144291549519e+00, -9.8828401391412e-01,                    A, -1.6137503709984e+00,  1.3377562841730e+00,  4.7846784521539e-02,                    B,  2.2635350343173e-03, -6.6582892938016e-01,  8.3970646069465e-01,                    B, -1.3842124326010e+00, -2.0160311731653e-01,  2.7905262715317e-01,                    A,  6.6416612441152e-01,  1.2589925916386e+00,  6.3487419625683e-01
                    A,  1.7443298000361e+00, -1.9761128566819e+00, -1.3988765489907e+00,                    B, -5.3220675743962e-01,  1.0940598743749e+00,  3.1510798650686e-01,                    B,  2.0183923367344e-01, -5.2944859245279e-01, -1.5055941860563e+00,                    B,  2.1184271676531e+00, -4.2820936934719e-01,  2.4708971823002e+00,                    A, -2.6380591495191e+00, -4.5025579130677e-01, -1.4373370707744e+00,                    A, -1.4760798719774e+00,  1.7676276728597e+00,  1.3267272509209e+00
                    A,  6.7335615998337e-01, -1.5762554649270e+00, -1.5151946956487e+00,                    A, -1.6482919502750e+00, -1.2071448784039e+00,  1.3682051969988e+00,                    B, -2.2473128322228e+00, -3.2477346809452e+00, -4.6837058652950e-01,                    B,  7.1654703688758e-01,  1.8777347534269e+00, -1.0867089871504e+00,                    B,  1.6506833630872e+00,  1.9173733757756e+00,  6.0160303731529e-01,                    A,  5.0223044488437e-02,  1.5064744662354e+00,  9.4141467145888e-03
                    A, -7.6083068295780e-01, -2.1663270321847e+00,  1.0395490832658e+00,                    B, -2.4856151816358e+00,  1.0906684578176e+00,  5.1758031820524e-01,                    B,  5.4504392864231e-01,  1.1997224445117e-01, -1.9314765177169e+00,                    B, -1.9615425257472e+00,  2.1747163592439e+00,  1.2135625674003e-01,                    A, -8.4435968466736e-02, -1.1466595000733e+00,  1.7957343497883e+00,                    A, -5.7864260180271e-01,  1.7436000895302e+00,  7.7681208061503e-01
                    B,  1.9245955330353e-01, -2.3985709250958e+00, -1.2366085532824e+00,                    B,  3.4719396048845e-01,  1.4024453711955e+00,  3.2676785094302e-01,                    B, -4.6065515715963e-01,  1.7101490089880e+00, -2.4547917707025e+00,                    A,  8.4950258827200e-01, -5.0543927296506e-01,  3.6283786863763e+00,                    A,  1.1256583800502e+00,  1.7235903246400e-01,  3.3616443452583e-01,                    A,  1.7876197750988e+00, -3.6596678220035e+00, -1.6549876582462e-01
                    B,  1.7866355970625e-01, -1.5216708675681e-02,  9.5409396614465e-01,                    B, -1.7556450346055e+00,  3.8625484119535e-01,  1.6072058323493e-01,                    A, -1.0176330497825e-01, -1.0944404753215e+00, -5.7384188455972e-02,                    A,  5.2743033317155e-01,  3.0508107152061e+00, -1.1135484789582e+00,                    B, -5.3282592703151e-01, -7.1300045949168e-01, -3.2066056947381e+00,                    A, -3.3988855242545e-01,  3.4230285939636e+00,  3.8376727270747e-01
                    A, -2.6794227284984e+00, -5.9395995797541e-01,  8.3828616965954e-01,                    A, -5.0150574826238e-01,  2.3472508927222e+00, -2.2253041208017e+00,                    B,  3.6117086182800e-01,  9.4446286806924e-01,  1.8774448749477e+00,                    B, -4.0273501109545e-01,  1.2076672803897e+00, -6.0080710603539e-01,                    A,  2.9418056737603e+00, -2.0493892277063e+00, -2.1699389383939e+00,                    B, -7.1862879111778e-01,  1.3881242266994e-01,  8.5021100196544e-01
                    A,  2.1253478435417e-01, -1.7612734823392e+00, -2.6176043392683e-01,                    B, -1.6432954573138e+00,  1.2348752750604e+00, -1.0767309865217e+00,                    A,  1.9482257908734e+00, -4.3122338394650e+00, -4.6787744955202e-01,                    A,  2.9543505980602e-01, -1.6600988104717e+00,  2.4394075083732e+00,                    B, -2.5132933957089e+00,  1.6976661349427e+00, -2.5532105221409e+00,                    B, -1.1498733778500e+00, -1.5064417179106e+00, -9.1980288526846e-01
