#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-1.844800488927e+00,-2.722122734725e+00,-5.454468708983e+00,                  A,-1.564660619565e+00,-5.107633244008e-01,-8.210304504360e-01,                  B,-7.076611215521e-02,-1.071208559436e+00, 2.748023577353e-01,                  A,-8.620394456382e-01, 3.778642775657e-01, 2.027127196724e+00
                  A,-1.543307956827e+00, 3.897398186470e-01,-1.162174501118e+00,                  B,-1.299408431378e+00, 3.272650464407e+00,-7.840655360214e-01,                  A, 4.568272588427e-01, 1.734921432544e+00, 1.023832965269e+00,                  B, 1.846476019448e-01,-9.357681636784e-01,-8.078918579329e-01
                  B,-1.160318227729e+00,-1.890474790097e+00,-4.113156131190e-01,                  A,-3.304380716744e-01,-1.202200747933e+00, 2.254494728660e-01,                  A,-1.392109969581e+00,-8.955820867350e-01,-1.402721928205e+00,                  B,-4.813060502169e-01, 1.748256561874e-01,-1.834343780129e+00
                  A, 1.287842228296e+00, 7.382558588388e-01,-2.146945671615e+00,                  B,-3.445125653999e+00,-4.640668459425e-01, 3.199980640882e-01,                  B,-1.980765174396e+00, 9.974025799477e-01, 2.114609399321e-01,                  A,-7.270198254343e-01,-1.156650050835e+00,-4.993011703723e-01
                  B,-3.524796744169e-01, 4.582193997585e-01, 1.509171283536e+00,                  B, 1.128445917976e+00, 5.772487191785e-01, 7.971061506540e-01,                  A,-1.211883348073e+00, 1.773148684744e+00,-1.060160610972e-01,                  A, 1.699325851973e-01,-2.379568745458e-01,-3.951834953674e+00
