#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 9.238342751892e-01,-7.104149431264e-01, 9.270695087870e-01,                  A, 7.106234476888e-02, 3.086373442216e+00,-1.443645727425e+00,                  B, 2.187836696190e+00, 1.946728589094e+00,-2.017659613511e+00,                  B,-2.862059717007e+00,-2.077284349371e-01, 5.045800863047e-01,                  B,-7.026564322433e-02,-1.633385330348e-01,-3.622178368061e-01,                  B,-1.021569111819e+00,-1.498280328384e+00, 4.614217034673e-01,                  A,-1.509100566806e+00,-1.577785538222e-01, 6.989675083796e-01,                  A, 1.964155438393e+00, 6.204817559568e-01,-7.608703386377e-01
                  B,-1.670592943494e+00, 1.202730473649e+00, 8.852525367504e-02,                  B, 2.929977229658e-01, 3.307154286675e-01,-4.209761914254e-01,                  A,-3.871743220854e-01,-1.401751405599e+00,-5.371007889169e-01,                  B, 4.400913845801e-01, 2.705451610156e+00, 1.404447458600e+00,                  B,-1.021051084361e+00, 2.035015617792e+00, 7.230637827390e-01,                  A, 1.556026374486e+00, 1.505701309844e+00, 3.734044699538e-02,                  A, 8.219885007957e-01,-1.764900477375e+00, 1.183419208085e+00,                  A,-4.675127793723e-01, 1.664261435521e-02, 2.950028834956e-01
                  B,-1.640775852834e+00,-7.337394871856e-01, 1.688310180483e-01,                  B,-1.216088737376e+00,-3.161662592529e-01,-1.261893373585e+00,                  A, 3.943567784569e-01, 4.578433858823e-01, 3.269294538926e-02,                  B, 2.961548450318e+00, 1.647138274967e-01,-1.188941230615e+00,                  A, 1.132819080946e+00, 3.169748040575e-01,-9.220176363519e-01,                  A,-1.296489931302e-01,-1.188141792961e+00, 1.273129127607e+00,                  A, 1.119633254298e+00, 8.329521446575e-01, 2.122200910647e+00,                  B,-9.204611108588e-01, 8.607203800713e-01, 8.288857180751e-02
                  A, 1.276510417458e-01,-7.234420418834e-02,-1.184248813625e+00,                  A,-1.339378364027e+00,-3.028863736180e-01,-1.354202365339e+00,                  B, 7.093843349273e-01, 1.297205695418e+00, 1.267970606315e+00,                  B,-1.505897037269e+00,-1.153898360134e-01, 1.506679906990e+00,                  A, 8.699563175264e-01,-9.029575521148e-01,-1.625695833545e+00,                  B,-1.361019807558e+00, 1.325792363264e+00, 1.530350760062e-01,                  B, 6.859780004352e-01,-5.299699713075e-01, 2.106924373735e+00,                  A, 1.317116261434e+00, 4.035020241951e-01,-7.542023359307e-03
                  A,-6.560937483481e-01, 1.306490501618e+00, 1.659025980494e-01,                  B,-7.213151225594e-01,-2.451107441393e+00,-5.840791114677e-01,                  A,-2.222540116848e+00, 3.015484662693e-01,-5.135226831655e-01,                  A,-1.694874908982e-01, 2.804335866210e-01, 1.238231980610e+00,                  B, 7.918777331297e-01,-9.096389234499e-01,-3.137044673349e+00,                  A, 1.087715289595e+00,-1.645540030392e+00,-9.789641846661e-02,                  B,-1.706908863413e+00,-1.059366732741e+00,-1.782030354847e-01,                  B, 6.044398720967e-01,-8.997606888775e-02, 2.333442813786e+00
