#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-7.250863883583e+00,-2.303489422291e-01, 1.817961327565e+00,                  B, 4.105260104885e+00,-3.193767945976e+00, 6.151963072059e-01,                  B, 3.177049805075e+00, 3.280827430507e+00, 7.948771992070e-01,                  A,-2.190096623738e+00, 4.951235412770e+00,-7.982948638352e+00
                  B, 3.539554108681e-01, 1.394873109062e+00,-4.135947502614e+00,                  B, 1.423558984315e+00,-2.340645932330e+00, 3.810701444167e+00,                  A, 3.023033714838e+00, 2.585204918515e+00,-9.218711243435e-01,                  A,-7.350258818895e-01,-4.934437166543e+00, 3.464743569498e+00
                  B,-3.128020185127e-01, 1.724681554486e+00, 1.283785839182e+00,                  B,-1.293841006586e+00,-3.356993693117e+00,-3.197721045197e+00,                  A, 1.980797885683e+00,-2.059820707091e+00, 3.186991433158e+00,                  A, 3.992815476507e+00, 1.961757972184e-01, 6.311906746818e-01
                  A, 7.984661820077e-01,-1.287237093982e+00, 7.377889814357e-01,                  B, 4.758287913991e+00,-2.474004091643e+00,-2.767513942126e+00,                  A, 1.118874073837e+00,-3.003651333272e-01, 7.847686198373e-01,                  B, 8.684452988498e-01, 1.862164581775e+00, 1.519090829086e+00
                  A, 4.047541089194e+00, 3.059565584666e+00,-5.062734055679e-01,                  B,-4.189609317353e-01,-1.741041445515e+00, 3.125338720392e+00,                  A,-1.045918422720e+00,-1.116881235102e+00,-4.346352325215e-01,                  B, 5.347434525341e-01, 4.386636357332e+00,-3.700241783615e+00
