##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -3.6525283099074e-01,  5.0244061406134e-01,  1.3992485521933e+00,                    A,  2.2975558128827e+00, -6.9296674001682e-01,  1.9041287005696e+00,                    B, -8.2166643062835e-01, -1.2516009378142e+00,  8.0122640297858e-01,                    A, -6.2493576065408e-01,  1.1730664189950e+00,  2.1357487798965e+00,                    B, -1.2590163258820e+00, -8.3490521433114e-02, -2.2853443240505e+00,                    A,  5.2991203888317e-01, -2.5176987900028e+00,  1.7504327651363e+00,                    B,  2.2166229749937e+00,  1.7529479409947e+00,  9.9247703747588e-01,                    B,  2.1973954950653e+00,  2.3061713030363e+00, -6.7593764356970e-01
                    B, -2.4636497422051e+00,  4.7032249687735e-01,  2.6949761131894e-01,                    B, -2.7131307740058e+00,  1.1447413354177e+00, -3.7669934739600e+00,                    A,  4.9702633371809e-02, -1.5354653403050e+00, -2.9690703443126e+00,                    A, -1.7188713472924e-01,  1.5581687875341e-05, -1.0926189724141e+00,                    B, -1.1519665409492e+00, -1.1531339393851e+00, -4.2665203090393e+00,                    B,  9.1461714022074e-01, -2.4681225653579e-01, -2.7910025801619e+00,                    A,  4.6678854973449e-02, -6.2832444950130e-01,  1.8805470787437e-01,                    A,  1.4062953934432e+00,  1.2829306594569e+00, -3.1962723950688e+00
                    B,  1.7649037994496e+00, -1.8704207095564e+00,  1.6625078937270e+00,                    B, -8.0912994227121e-01,  1.8778052934440e+00, -2.8003565227161e+00,                    A, -2.1212365880495e+00, -7.6237099494770e-01,  7.8054504266298e-01,                    A, -1.6504013536959e+00,  2.7520016774832e+00, -7.1769190689671e-01,                    A, -1.3295895010363e+00,  2.6339298699935e+00, -2.3087303955500e+00,                    B,  7.6556604019845e-01, -2.3636566091578e-01, -1.8940948617243e+00,                    A, -2.2849138528950e+00, -1.6405396334670e-01, -1.2744244005571e+00,                    B, -1.0132489373651e+00, -3.2838775598937e-01, -2.5698575092895e+00
                    A, -2.7669348317307e+00, -8.3226742827076e-01,  7.7551896147718e-01,                    B, -5.3234053959175e-01,  5.8639070202241e-01, -2.3079597310255e+00,                    B, -2.3979907970636e-01, -2.0149932417201e+00,  9.2725272136320e-01,                    A,  1.8762942975802e-01, -3.2691154045019e+00,  1.2277025108132e-02,                    A, -1.3624054437349e-01,  2.4072153276218e-02,  2.6831176356653e+00,                    B,  8.3982674764689e-01, -1.0869789320048e+00,  5.6160111150466e-02,                    A, -2.3424063487498e+00, -2.6381032486775e+00,  1.6322946974801e+00,                    B,  1.6885917480490e+00,  4.1521487944401e+00,  2.8121495812422e-01
                    B, -2.0890154507248e+00,  1.8042572844894e+00,  1.0367482420770e+00,                    B,  3.1297449166746e+00, -5.4340147482314e-01,  2.0888637711591e+00,                    A, -2.6708021727122e+00, -3.6719498873779e+00,  2.0734584525116e+00,                    B,  4.8469786968292e-01, -2.4155922948940e+00, -2.1543957444021e-01,                    A,  1.2405362982503e+00,  1.1295398206434e-01, -3.2659240081167e-01,                    A, -1.2790664879727e+00,  1.3776293978551e+00, -6.7815605120825e-01,                    A,  2.1194177868979e-01,  7.4870661709450e-01, -1.4106184754936e-01,                    B, -1.4100084624708e+00, -8.6405762737876e-01,  2.1248940366630e+00
                    A, -3.0806897133740e+00, -1.8011916511887e+00,  1.6535839388529e+00,                    A, -2.2870059087886e+00,  6.9314800826027e-01,  2.4991922124798e-02,                    B, -2.9620543413487e-01,  1.6767001790295e+00,  1.3118176579530e+00,                    B,  2.7993758725528e+00, -3.4685983341412e+00, -1.0157061014004e+00,                    B,  7.3445725084870e-01,  3.3856943311146e+00, -2.4734679521868e+00,                    A, -2.2392289635898e+00, -5.8470037571253e-01,  5.9492215506625e-01,                    B,  1.6356083743190e-02,  1.6393624366882e+00, -2.1547415490782e+00,                    A,  1.1763284390947e+00,  2.0959342774202e+00, -1.2039967920283e+00
                    A,  2.3692478819336e+00, -4.4726629681044e-02, -1.5165563267761e-01,                    B,  3.0145379866660e+00,  2.9972040015100e+00, -9.7503002669461e-01,                    B,  1.2381059966172e+00, -1.5883806394113e+00,  2.3964146730043e+00,                    A, -1.6036608760549e+00, -1.7720109060615e+00,  3.6511949865404e-01,                    B, -2.0654606202796e+00, -6.9173404464663e-01, -3.9514699954830e+00,                    A, -1.4298459289487e-01,  1.7402075094226e+00, -1.0149225307717e+00,                    B, -1.4763223991886e+00,  2.1760608909385e+00, -1.8665760425799e-01,                    A,  1.9305652391516e+00, -7.2000513689553e-01,  3.9567198180735e+00
                    B,  2.9352212906832e+00, -9.9591253960014e-01, -2.9308755883756e+00,                    B, -1.0053206696737e+00, -3.1031620607759e+00, -2.1623217634902e+00,                    B, -3.5198403410030e-02,  2.3566429052010e+00, -4.4090179969767e-01,                    A,  4.4932153153128e+00,  2.5938919222897e+00, -5.6915601778178e-01,                    B,  2.1904546582380e-01,  1.7666941805220e-01, -1.5503662401026e+00,                    A,  1.8399520334316e+00, -1.1832463390899e+00,  6.3056151100850e-01,                    A,  1.0956407295280e+00, -8.3037114178238e-01, -3.8280886734292e+00,                    A,  2.6556958353457e+00,  7.3669297367958e-01, -2.4189189239496e+00
                    B, -2.5734793879507e-01,  5.7320365217228e-01,  2.9445068407166e+00,                    A, -4.4006566263572e-01,  4.2135130692763e-01, -2.7990128128994e+00,                    B,  1.6132397626222e+00, -1.0379015280003e-01,  4.5964506759300e-01,                    A,  1.3660182038683e+00, -3.6454449703502e-01, -1.6704375230832e+00,                    B, -2.3010585229608e+00, -8.3015457068519e-01,  1.0232378242446e+00,                    A,  5.6030285271989e-01,  1.0454460669897e+00,  2.5308053165009e-01,                    B, -6.1875104844260e-01, -1.1446782638129e+00,  1.0868678709843e-01,                    A,  7.1302723353607e-01, -3.9733200678948e+00, -1.1011520812704e+00
                    A,  1.5912848989125e+00, -7.6775538679952e-01,  2.9294478806515e-01,                    A,  9.6861329757350e-01, -3.5473917407716e+00,  6.5212596494782e-01,                    B,  7.5081276857310e-01,  1.4017630242418e+00,  2.4327166092729e+00,                    B,  6.7276572563095e-01,  1.2578366541045e+00, -2.1081231284912e+00,                    A, -1.4072402928314e+00,  2.1802571605192e+00,  4.1951714765882e-01,                    B,  1.6954090212385e-01, -5.5346669844405e-01,  1.5730937823730e+00,                    B,  5.8887481153477e-01, -2.6081031692444e+00,  1.8990482328380e+00,                    A, -7.9496067213091e-01,  3.3385944572217e-01, -3.8732412112971e+00
