#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 1.932413107343e+00,-9.109065141073e-01, 7.699731654680e-01,                  B,-1.010865838285e+00,-1.303330608565e+00, 1.517468955846e+00,                  A,-1.678757055262e+00,-7.512187316130e-01,-1.599984454350e+00,                  A,-1.345519111547e-01,-2.590310981576e+00,-9.608097214531e-01,                  B,-9.031962421343e-01,-6.155572855043e-01,-5.570608904776e-01,                  A, 1.268509941251e+00, 1.157238290791e+00,-9.800951133765e-01,                  B,-6.880786068449e-01, 9.010610512487e-01, 2.041784116460e-01,                  A,-1.373293961703e-01,-1.127977147290e+00, 4.631721229489e-02
                  A,-1.110523191082e+00, 1.590559903556e+00,-1.677267316076e-01,                  B, 1.013719638055e+00,-1.097435103860e+00,-1.101100357079e+00,                  A,-4.282256572492e-01, 5.705815985272e-01, 2.068876264560e+00,                  B,-7.480521201409e-01,-1.488576721413e+00, 3.064508950282e-01,                  B,-1.779164830879e+00,-2.708016682409e-01, 2.359579857570e+00,                  A, 3.615059049163e-02,-3.439979302708e-01,-3.853770663341e-01,                  B,-1.568639884230e+00, 3.612947762524e-01,-2.203813171913e-02,                  A,-8.533071632777e-01,-6.808694919903e-01,-3.238273337881e+00
                  A, 3.168334591243e-01,-1.147404294917e+00, 1.195703825094e+00,                  A, 4.874464036927e-01, 1.226738850825e+00,-1.412711236267e+00,                  B,-7.904252231973e-01,-1.438111298623e+00, 5.854105436282e-01,                  B, 5.850993709208e-01, 9.818124777923e-02, 1.585849357488e+00,                  B, 1.180200870726e-01,-6.887653686476e-01, 2.725060110834e+00,                  A, 1.016371097541e+00, 9.927512351737e-01, 4.258883712882e-01,                  A,-5.981313099065e-01, 1.949996498044e-01, 1.545276655534e-01,                  B,-1.146175147791e+00,-6.946366988935e-01,-2.751643648996e-01
                  B, 7.452581515950e-01,-3.877687898651e-01, 1.311488427569e+00,                  B, 1.933529251602e+00,-6.352898499761e-01,-1.153936489354e+00,                  A, 4.885742587224e-01,-9.786105898220e-01,-3.418458245370e-01,                  A,-1.303291695398e+00,-3.152522729058e-01,-1.074926519670e+00,                  A, 1.140054808928e+00,-1.838328699639e+00,-2.785259120808e-01,                  B,-2.529269081769e+00, 1.399776832034e+00,-1.108772575952e+00,                  B,-7.850600078200e-02, 1.044160700657e+00, 1.165794216874e-01,                  A,-6.603949468315e-01,-4.773810222385e-01, 1.496766556345e+00
                  A, 2.395438578586e+00, 8.937457428708e-01, 6.499460414201e-01,                  B, 3.861260953497e-01,-1.514041483301e+00,-1.980327967011e-01,                  B,-2.527296827223e+00,-6.728196776945e-02, 5.092138044998e-01,                  A, 3.147671520110e-01,-7.024973631812e-01, 1.378349447996e+00,                  A, 1.234725199725e-01,-2.703150803583e-02,-2.426653903641e-01,                  B, 1.211494181284e+00, 5.786639471763e-01,-1.185559432308e+00,                  B,-5.017094075804e-01, 9.105761714434e-01, 5.006306139317e-01,                  A, 1.385913001598e-01, 2.274973547723e+00, 3.692950216280e-01
