#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2
                  B, 2.590797948756e+00,-3.915579489336e-01,-2.382130108857e+00,                  A, 1.354030831116e+00,-1.425009127094e+00, 5.087203169833e-01,                  A, 1.218319895846e+00, 1.131065308038e+00,-3.044968144807e+00,                  A, 8.772389731845e-01,-2.232570526764e+00,-1.781013469790e+00,                  A,-1.265458596537e+00, 2.320347549774e+00,-5.254789881018e-01,                  B, 1.576368989645e-01, 2.802113284440e-01, 3.330668670496e+00,                  A,-5.496527418651e-01, 1.934316994363e+00, 1.897030510672e+00,                  B,-5.553504940254e-02,-1.687779253711e+00,-1.693084458965e+00,                  B,-1.217407642373e-01, 2.921985914051e+00, 1.259550014585e+00,                  B, 9.425365670382e-01,-8.838288373882e-01,-1.278521720238e+00,                  A,-2.025413810787e+00, 9.450390842286e-01,-4.558330897813e-01,                  B, 8.778151185217e-01,-8.309941278701e-02, 5.395678466360e-01
                  A,-1.907845311794e+00,-7.387947844986e-01,-5.610333006314e-01,                  A, 1.889295354207e+00,-3.821931557897e+00, 1.674967455772e+00,                  A, 1.149106738072e+00, 8.833362227181e-01,-2.102989665030e-01,                  B,-2.703837016552e-01, 1.477147219823e-01, 1.910807517091e+00,                  A, 6.489491044220e-02, 2.142861953266e+00,-5.612065851187e-01,                  B,-8.863881141401e-01,-8.143920409106e-01, 4.709974771447e-01,                  B,-1.351591837899e+00,-2.396592697933e+00, 9.998320896317e-01,                  B, 4.802931292818e-01,-2.854715776181e+00,-2.797395451539e-01,                  B, 8.118859231524e-01,-4.299643591392e+00, 1.815731055403e+00,                  B,-2.547732313705e+00, 2.186194467232e+00,-1.181812340570e+00,                  A, 4.469501666594e-01,-2.374655366354e+00, 1.847336341781e+00,                  A, 4.104366861177e-01, 1.250804604744e+00, 1.921829173915e+00
                  A, 1.380037829013e+00,-1.625447836324e+00,-3.030321945919e+00,                  A,-2.578733102931e-01, 2.130061986117e+00,-1.497563103860e+00,                  B, 4.009754540980e-01, 3.207797186329e+00, 2.675030577254e-02,                  B,-8.330688248468e-01,-1.063270612588e+00, 8.116399584618e-01,                  B,-3.491587687647e+00,-2.362321614730e+00, 9.703226098166e-01,                  B,-6.311715470422e-01, 1.268604461893e+00, 4.295816305446e-01,                  A, 1.885675757354e+00,-2.337789913930e+00, 1.526611818129e+00,                  A, 3.052429106860e-01,-2.718373848407e+00,-8.790891396351e-01,                  A, 1.182914245295e+00, 2.017642166244e+00,-8.964203670495e-01,                  B,-1.496020967831e+00,-4.484402297896e-01,-1.356362516383e+00,                  A, 1.815580797794e-01, 3.668111509982e-01,-3.737136219486e-02,                  B,-2.702474564682e+00,-5.414933127696e-01, 1.123997526885e+00
                  B, 5.922109997283e-01, 1.500325807571e+00, 3.224670749681e+00,                  B,-8.597648570389e-01,-3.955644975561e-01,-4.244341182985e+00,                  B, 8.672944772688e-02,-2.661831432939e+00, 1.198344100713e+00,                  A, 5.075838029683e-01, 4.404213576593e+00,-3.559462792248e-01,                  A, 9.085665852472e-01,-1.998380948448e-01,-2.697173290978e-01,                  B,-4.579106794791e+00,-6.610140686753e-01,-7.619512534547e-01,                  A,-7.096078745460e-01, 2.134780572121e+00,-8.261297555462e-01,                  A,-1.306518493758e+00,-1.226660078735e+00, 1.091072329726e+00,                  B,-1.426447900328e+00,-3.309096441804e+00,-6.039470796841e-01,                  B,-8.858471638107e-01, 1.468491210613e+00, 6.146710523789e-01,                  A,-1.668409515239e+00,-2.462792617756e+00,-1.559061817931e+00,                  A,-7.569242440154e-01,-1.364120876601e+00,-6.998618766061e-01
                  B,-2.894437973560e+00, 1.891879264714e+00,-7.465515642538e-01,                  B,-2.991029370963e-01,-7.762342082182e-01, 3.577491025840e-01,                  A, 5.318749036785e-01, 8.220630531355e-01, 2.937270152111e+00,                  A,-5.091626160858e-01,-8.457294301455e-01, 2.333140444301e+00,                  B, 1.003578254759e+00,-8.824386597559e-01,-2.854406444813e+00,                  B, 3.186913340447e+00, 8.891955958626e-01, 2.692071790954e+00,                  B,-3.392247183151e+00, 7.104583285822e-01,-2.480236361056e-01,                  A, 5.028592982159e+00,-1.983288396359e+00, 1.222900654392e+00,                  A, 1.997288099669e+00,-2.079777287285e-02, 1.084774741688e+00,                  A, 2.863807138792e-01,-8.901766214432e-01, 3.650131863001e+00,                  A, 3.029970890243e+00, 7.374048546277e-01,-3.040045396722e-01,                  B,-1.589218464787e+00, 3.424759998497e+00, 7.659598155096e-02
