##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -1.0090039909519e+00,  1.2480237869508e+00,  2.6176628169225e-01,                    B, -7.9458398710672e-01, -2.6149434192916e+00,  3.2956023518427e+00,                    B,  1.5484021644787e+00,  1.6181223942339e+00,  2.2836437481971e+00,                    A, -3.5300157710756e+00, -1.0084389393585e+00,  8.7287604536261e-01
                    A, -5.0664262543873e-01,  1.9090789492659e+00, -1.5761608427903e+00,                    B, -1.3323090451879e+00,  1.0586612309829e-01,  4.1860163999459e+00,                    B,  6.4000402803546e-01, -1.0667739252140e+00, -1.4750876065608e+00,                    A,  3.8468475034701e+00,  1.3826880507909e+00, -4.7311836084886e+00
                    B,  2.2511970100434e+00, -6.0857562143269e-01, -8.1563357498880e-01,                    B,  1.1147492731202e+00,  6.4452998310149e-01,  2.2924478057304e-01,                    A, -8.3809022582403e-02, -4.0666710497687e+00,  8.3493676828083e-01,                    A,  7.3296026177097e-01,  3.1983149158108e+00,  2.4997814707291e+00
                    A, -2.1774806495226e+00, -3.1819970622990e+00,  2.4448357518009e+00,                    B, -1.9495687914536e+00,  9.5819609497021e-01,  1.3092340990342e-01,                    B,  1.8958755791184e+00, -4.6371215235220e-01, -1.6574379014430e+00,                    A, -2.1704610878633e+00, -3.1596197124902e-01,  6.7819507839911e-01
                    B,  2.6931275892005e+00, -8.4310016390752e-01,  2.8902747261000e-01,                    B, -3.2656752667810e+00, -1.2216700808358e-01, -5.1866719913738e-02,                    A,  1.6228080093066e+00, -2.4355205731075e+00,  3.1649265053599e-01,                    A,  4.2187746758731e-01, -2.0317542486900e-01,  1.3238094812500e+00
                    B,  1.6018163617116e+00,  2.0361001937635e+00,  2.0293498248396e-01,                    A, -1.2143028067165e+00,  9.6732570779772e-01,  3.1866691517367e+00,                    A,  1.0861477412735e+00,  2.7149307389728e-01,  3.1968168832428e-01,                    B,  3.7300662989409e-01,  2.2602642757461e+00, -2.0787327277283e+00
                    B, -3.0968425031033e+00, -4.8157513334539e-02,  1.6428166227538e+00,                    A,  3.0191863828856e+00,  6.5080936863966e+00,  3.1732832667539e-01,                    A,  1.3101886301861e+00,  2.2575914359683e+00, -5.0330601183462e-01,                    B,  1.4290584875139e+00,  3.9837481779187e+00, -1.2649951723164e+00
                    A,  1.8552871702354e+00, -1.9026916335297e+00, -1.8591930589831e+00,                    B, -4.4831384559331e-01, -3.9814646733964e-01, -6.5075310556088e-01,                    A,  5.0086056299757e-01, -8.1538772755929e-01, -2.2435026797567e+00,                    B,  3.4107683498797e-01, -3.9874912047365e+00,  1.3413462954254e+00
                    A, -2.5184594951009e+00,  2.8993693606462e+00,  1.0237783710674e+00,                    B,  5.5403598732936e-01,  4.4347363452523e+00, -1.3406085433411e+00,                    A,  1.1205757334220e+00,  1.2273496330323e+00, -1.5356161474626e+00,                    B, -1.7583016218888e+00, -8.1868831516904e-01, -2.4830941021015e+00
                    B, -2.1277095941302e-01,  1.6482536000018e+00, -2.5418681106173e+00,                    A,  1.7288607015051e+00,  1.3480454301740e+00,  3.4714536883152e+00,                    B, -2.0710516631714e+00, -1.1128638579890e+00, -1.5512493675978e+00,                    A,  3.2245625090163e+00, -1.5199032715716e+00, -4.9100795199655e-01
