#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-1.364440536403e+00, 1.346275466724e+00, 3.190446237520e-01,                  A,-1.765835224286e+00,-1.628228776422e+00,-2.015675277145e+00,                  A, 5.220753082291e-02, 1.034609769060e+00, 2.001473280114e+00,                  B,-4.732071909215e-02,-2.000204311709e+00,-1.078874496004e+00
                  A,-6.940962207665e-01,-2.211169015927e+00, 1.589343583757e+00,                  B,-8.164296937784e-02, 2.804771434593e+00, 9.720655656120e-01,                  A,-2.721023858642e-01, 1.627699224200e+00, 7.062069268590e-01,                  B, 2.677605138545e+00,-4.512020334212e-01,-2.844816527408e+00
                  B, 1.048271056967e-01,-5.852424074622e-01,-4.001006961627e-01,                  A,-6.241354920370e-01, 5.846711521657e-02, 1.773548819151e-01,                  A,-5.262857933423e-01, 1.075467152848e+00, 3.012564635084e-01,                  B, 2.677725110171e+00, 5.530467138897e-01,-1.753854460632e+00
                  B, 7.144512685320e-02, 1.554787007957e+00, 2.625443785012e-01,                  A, 1.758048526479e-01, 3.571644165037e+00, 2.173473338353e+00,                  B,-2.323776265897e+00, 1.264356301962e-02,-7.170407438410e-01,                  A,-1.315875425794e+00,-1.579878822522e+00,-3.700064586969e-01
                  B,-5.181404963608e-01, 2.054990591861e-01,-2.117345363725e+00,                  A, 5.443223586389e-01, 2.203742471608e+00,-2.335329577857e+00,                  B, 4.194483223587e-01,-1.290827171911e-01, 1.022134112602e+00,                  A, 1.487605467098e+00, 1.500870216793e-01,-2.345054552323e+00
