#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 2.091350127193e+00,-1.185055295176e+00, 4.026822915275e+00,                  A, 2.766878722631e+00, 3.567381460379e-01, 2.477326257408e+00
                  B,-3.570439097603e-01,-2.556818286341e+00, 3.257742304562e+00,                  A, 2.970529810487e+00,-1.178442326623e+00, 2.708219146316e-01
                  B,-3.943974895911e+00, 2.613419889266e+00, 4.087032739233e-01,                  A, 3.865036965065e+00,-3.972963226989e+00,-2.410401335197e+00
                  A, 4.432263034994e+00, 1.634895596119e+00,-4.633007672737e+00,                  B, 2.667623112270e-01,-4.170663730306e+00, 1.198916846049e+00
                  B,-1.396455276644e+00,-1.978652814978e+00,-2.375871500009e+00,                  A, 5.836512058510e-01,-2.588498523059e+00, 6.340464818603e+00
