##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -1.8953209349943e-01, -1.4817407730123e+00, -9.9949683581870e-01,                    A,  2.4405405656478e-01, -6.7707684390584e-01, -9.1773937773342e-01
                    A,  2.1312096475189e-01,  1.1428222827491e-01, -6.6656823391366e-02,                    B, -5.1936795098286e-01,  9.5250881807978e-01, -2.7016498721467e+00
                    A,  5.1735570440529e-02, -7.9717758076507e-01,  4.4804510694719e-01,                    B,  5.7674756240796e-01,  6.3327436970675e-01,  6.2006195136794e-02
                    A,  4.9518771776725e-01, -4.0675135690179e+00,  4.3463839133214e-01,                    B, -6.2507745247752e-01, -1.5968623325419e+00,  3.1595693839137e-01
                    B,  6.0318701351086e-01, -5.3876900543484e-01,  9.1417265696288e-02,                    A,  9.5040805506055e-02,  1.0649246233803e+00, -1.4950158388336e+00
                    B, -1.0870496748546e+00, -1.3727761938346e+00, -2.2993274116071e+00,                    A, -9.5667554003679e-01,  1.0001123962600e+00,  5.9938351149276e-02
                    B,  4.4934870846506e-01, -1.8206426822412e-01,  1.2196173978770e+00,                    A,  1.8229814392592e-01, -7.9220703086569e-01, -2.5938012181738e+00
                    B, -6.9416171670030e-01,  6.0528251292481e-02, -3.2907879039705e+00,                    A, -1.9406776622581e+00,  1.4924127730374e+00, -5.7081944728028e-01
                    A,  1.1817150050816e+00, -1.3750418451402e-01, -1.5527425041816e+00,                    B,  4.2146043422711e+00, -3.3024862701393e-01,  3.3265402997284e-01
                    B,  1.4245535508356e+00, -2.6110893659035e+00, -1.7404310609489e+00,                    A,  2.6094489773654e-01,  4.6634191929703e-01, -1.5448281332931e+00
