##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A, -9.0701790759867e-01,  7.6045277344803e-02, -5.9594147098487e-01,                    B,  5.3895803922954e-01, -2.8634143418369e-01, -4.3882031903332e-01
                    B,  2.0980967192168e+00,  1.7843613774556e+00, -3.5955511477768e-01,                    A, -2.0356987676622e+00,  5.9502911684387e-01,  1.4926966205597e-01
                    B, -5.0560367129764e-01, -1.3507695708042e+00,  2.6637592055001e+00,                    A, -1.3965167117145e+00,  8.9528576041075e-01, -1.1834977973181e+00
                    B,  1.8785999806974e+00, -1.8885733736251e+00,  1.5201746999297e-01,                    A,  9.6211364630955e-01,  4.8873419670708e-01,  1.7299587673279e+00
                    B,  1.6749803035513e+00, -2.4761860288281e-01,  1.1094804723733e+00,                    A,  2.7507674985137e+00, -1.4830074652993e+00, -1.4437798626179e+00
                    A,  8.6061614746843e-01, -8.8751384512293e-01,  2.4437300237194e+00,                    B,  1.3810354870492e+00, -5.9554035017378e-01, -2.1032661322136e+00
                    B, -2.7949128248277e+00, -8.9184259632128e-01,  3.9021049952031e-01,                    A, -4.7630020889346e-01, -1.1703885771703e+00, -2.6378288536573e+00
                    A, -2.3446733619925e+00, -6.2709354930296e-01,  4.7709066035895e-01,                    B, -2.5698325231232e-01,  2.2675580165693e+00, -9.2426466412649e-01
                    B,  3.6176172848304e-01,  2.7406560262885e+00, -1.1747203970071e+00,                    A,  4.0160438172431e-01, -6.8132516818638e-01,  6.0947850879777e-01
                    A,  1.6038926128189e+00, -8.3350859653115e-01,  5.4032916225915e-01,                    B, -6.4300829073940e-01, -5.7034766550937e-01,  1.6946339926523e+00
