##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    A,  1.5568842853792e+00, -2.1285295549847e+00,  2.7836123642842e+00,                    B, -2.1363037099045e+00,  4.1167948592751e-01, -3.2985396358964e-01,                    B,  1.3014441951029e+00, -5.8515930737845e-01,  1.1404130812736e+00,                    B, -9.9444591984571e-02, -9.4591267591055e-01,  2.7903706088082e-01,                    A,  1.1300787410040e+00, -5.0313664925054e-01, -3.0148161642867e-01,                    A, -3.1599890265479e-01,  2.0514821623788e+00, -6.2553174411600e-01,                    A,  2.4426471921316e-03,  7.6062858850877e-01,  1.4731917272896e+00,                    B,  8.5750890811795e-01, -2.6887021482339e+00,  1.0670591144119e+00,                    B, -1.4017634538360e+00, -9.1463384124500e-01,  5.5728504299555e-01,                    B,  1.7922228994082e+00,  5.3459913899795e-01, -1.7078115414123e+00,                    A,  2.0783427821625e+00,  1.7116888844270e+00,  2.3864915751808e+00,                    A, -1.1749900954843e+00,  1.4767023760175e+00, -2.1376727365951e+00
                    A, -1.5814147394138e+00, -1.2704877430253e-01, -2.5666932820955e+00,                    A, -8.2323509420580e-02, -1.4611282214373e+00, -6.0363906586899e-01,                    B, -2.1465098870607e+00,  2.6456285048883e+00, -1.6510839569520e+00,                    B, -2.2199299441996e+00, -3.5471118541599e-01,  6.8617218374971e-01,                    B,  1.1784598740162e+00,  1.0560305352232e-01,  2.1303202127218e+00,                    B, -7.0221572414580e-01, -2.0353813414725e+00, -1.4361168272224e+00,                    B, -1.4249577012603e+00, -2.6561656951155e-01,  1.7306642919508e+00,                    A,  5.8849118024009e-01,  4.5105602587568e-01, -5.0188515342747e-01,                    A, -1.0739801271174e+00,  6.1754359833748e-01,  4.0614148034002e-01,                    B,  3.1512530438679e-01,  1.5214739515688e+00, -3.8503063517775e-01,                    A,  1.7306331471274e+00, -7.4411532916771e-01, -8.8042835218008e-01,                    A,  1.0488816245475e+00, -2.9385121148442e-01,  4.6342126785862e-01
                    B, -2.8879696077210e-01, -2.1130207238552e+00, -5.2858238395824e-01,                    B,  2.3310485741230e+00, -8.8104605499587e-01,  5.2479106104434e-01,                    A,  1.3964779666546e+00,  1.4588944013466e+00,  1.3974163287230e+00,                    B, -1.2208010411548e+00, -3.4689530440861e-03,  1.4524633678498e+00,                    A,  7.5585940601673e-01,  7.7117910743333e-01,  3.3691143059124e-01,                    A, -9.5179460200757e-01, -1.2986034038465e-01, -3.7674609919715e-02,                    A, -1.2346406166199e+00, -1.2775212481578e+00, -1.3885747178887e+00,                    A,  1.1706571516131e+00, -4.8047262158842e-01, -2.1532214971679e+00,                    B,  1.4187810770683e+00, -8.1045017182638e-01,  2.1345920224778e+00,                    A, -2.9565977958203e-01,  1.5180782267976e+00, -4.3524373664993e-01,                    B,  3.7555759575009e-01, -2.9598795087924e+00,  1.0784023864404e+00,                    B, -1.0897428879239e+00, -3.5477439069059e-01, -2.4751947701770e+00
                    A, -8.6447824510923e-01, -2.0120471525116e-01,  1.9866334422325e-01,                    B,  9.8663031186077e-01,  1.5376072889733e+00, -1.1448317588097e+00,                    B,  1.4919170263325e-02, -1.5466240849746e+00, -1.9315046417844e+00,                    A, -4.6394372613216e-01, -1.7922203459865e+00, -9.8958330764877e-01,                    B,  4.6333740478530e-01, -3.6336768279644e-01,  1.2578252569587e+00,                    A,  5.5516528017259e-01,  3.8475131163719e-01, -6.3105880450311e-02,                    B,  8.1888325917515e-01,  2.1905064664087e+00,  2.9838694151719e-01,                    B, -5.5639731342712e-01, -1.6767299268624e+00,  2.2075839289880e+00,                    A,  9.0736705519494e-01, -1.5668305784599e+00, -8.6344459913433e-01,                    B, -6.0681203343878e-01,  2.0926725660336e+00, -1.7061923586771e-01,                    A, -1.9089313108875e+00,  9.0809528145369e-02, -7.7011941898776e-01,                    A, -1.2865781792308e+00, -2.3466961972197e+00,  2.1980308196285e+00
                    B,  1.0309675339937e+00,  1.1191257830036e+00, -8.9417412218410e-01,                    B, -3.4530359049347e-01,  1.1197198266749e+00,  5.3108901339442e-01,                    A, -1.1710187423705e+00,  3.9075598768368e-01, -8.4110686587222e-03,                    B, -5.7140823549194e-01, -1.1411142448347e+00,  3.6102322181466e-01,                    B,  4.5487152268977e-01,  3.1201140988259e-01, -2.3190528119509e+00,                    B, -1.6408173708721e-02, -1.7292516049745e+00, -6.5359702956778e-01,                    A,  1.8510594336164e+00, -7.4692218711763e-01, -9.9933870021670e-01,                    A, -2.5527339895688e+00, -8.9772705480263e-01, -1.0340506988989e+00,                    A,  2.2064813335123e+00,  7.2301221955968e-01, -3.0402637724631e-01,                    B,  8.0455143700281e-01,  1.2344872992056e+00,  1.5924522443282e+00,                    A, -9.5881719265952e-01,  3.6711098676840e-01,  2.4781037251997e+00,                    A,  1.3197508651754e+00, -6.7397167629743e-01, -2.8275741913865e+00
                    B, -1.0852467013255e+00, -1.9721579437314e+00, -7.6828584405111e-01,                    A, -1.2642575578596e+00,  1.3770076388859e+00, -1.3773578159094e+00,                    A, -1.5410311427996e+00, -2.3765295727385e-01,  2.6438702640746e+00,                    A, -1.3422212489679e+00,  1.1876982466202e-01,  9.5722753832928e-01,                    A,  2.6224106594413e+00, -8.3321845592863e-02, -7.2188110119383e-01,                    B,  3.5386955310757e-01,  1.8480149139009e+00, -4.0582269404787e-01,                    A, -2.0612534007378e+00,  1.5833574357010e+00, -4.1935921680538e-03,                    B,  3.3067352303310e-01,  5.5825896282424e-01,  1.5264567655149e+00,                    B, -4.0520895093938e-02,  1.0439427054185e-01,  2.7490638364355e+00,                    B,  4.4255223981816e-01,  1.3262413474390e-01, -1.2132168395702e+00,                    B,  2.6755229415363e-01, -1.3993551817654e+00, -1.2434700381841e+00,                    A,  1.3367209320759e-01,  9.5876535018686e-01,  1.2752508623681e-01
                    B,  9.1477179147764e-01,  2.5929119905546e+00, -3.3469822839508e+00,                    B,  1.7305043760431e+00,  5.7176780013578e-01,  2.1931251323960e-01,                    A,  1.4558015114034e+00, -7.3473020088478e-01,  2.9326248202071e-01,                    A,  1.0626580486884e+00,  2.0433692971643e+00,  1.1398972782385e+00,                    A, -1.1296520119825e+00, -2.0485944285713e+00, -7.4122408313800e-01,                    B, -1.6189755674284e+00, -1.0696032382327e+00,  2.2972806850283e+00,                    B,  1.6215681112471e+00, -3.0151218167183e+00,  2.7450757678321e-01,                    A, -2.0030957834995e-01,  1.2257565304357e+00, -2.5622485178078e+00,                    A, -2.3210256505365e+00, -2.4012918399355e+00, -1.4069569629791e-01,                    B, -4.8458532995316e-01, -7.2787307357759e-01, -2.7033188906483e+00,                    B, -3.9883358841614e-01, -9.4439651483376e-01, -2.0394967744962e-01,                    A, -1.2656733688137e+00,  3.7506845547093e-01,  2.9068545327225e+00
                    B, -3.2953001424428e-01, -8.6751186135303e-01,  1.6001524702262e+00,                    B,  5.3707667074489e-01,  4.1760395225716e-01,  2.0644165878059e+00,                    A, -5.4135765601435e-01,  1.7071792722109e+00, -3.8915706866176e+00,                    A, -5.0482177006427e-01,  2.4259694901761e+00, -1.0949100524736e+00,                    A, -7.0076191369971e-01,  1.7163610872191e+00,  2.0998293598765e+00,                    A, -1.6188532133508e-01,  2.6929285649808e-01, -1.8269825901577e-02,                    A, -1.8719155399496e+00,  1.4807585297158e+00, -1.9449768711205e-01,                    A,  1.8958875211679e+00, -1.8015936141755e+00,  1.3362508419865e+00,                    B, -1.4544990699618e+00, -7.0683165281449e-01,  2.3862837367733e+00,                    B,  2.0620404921605e+00,  1.2592499807617e-01,  2.0398433806977e+00,                    B,  9.4493398289413e-01,  1.6663160394144e+00,  6.8151428975432e-01,                    B, -1.9744023653540e-01, -1.3015777249687e+00, -6.6500612430689e-01
                    A, -1.0289265806711e+00,  6.2581114098212e-01,  2.1422465839143e-01,                    A, -1.9298376370766e+00, -1.8537071529637e+00, -5.5373946364918e-01,                    B,  3.1894350047739e-01,  1.4978938009279e+00, -4.0808628803769e-01,                    B, -1.8086184258706e+00,  4.8701157720246e-02, -1.3991558532717e+00,                    B, -6.4913586394989e-01, -1.7314418008286e+00,  1.2571189445314e+00,                    A,  1.4730761493364e+00, -5.1338422228353e-01,  9.5157279676795e-01,                    B,  1.4564994005746e+00,  1.9573403277312e+00,  1.1352515678622e+00,                    B,  1.9784620686914e+00, -4.4211413568273e-01, -2.5585977504296e+00,                    B,  1.3654795666109e+00, -3.5948502181923e-01, -4.1459694950287e-01,                    A, -1.4114078438392e-02, -2.1148328130158e+00, -2.0509562572674e+00,                    A,  9.2101339070611e-01,  7.0638491814907e-01,  1.7896610173781e+00,                    A,  1.2093427652960e+00, -1.5288338515293e+00, -1.8024546354220e+00
                    A,  7.8222009306489e-01,  1.1886107789213e+00,  2.6354960303067e-01,                    A,  1.2331952846759e+00,  2.0242964883106e+00,  2.0636536913731e+00,                    B, -9.1414910927595e-01,  1.0710102970705e+00, -4.8798372545804e-01,                    A,  7.4160847625283e-01, -2.3889572534821e-01, -2.5892720073524e+00,                    B, -5.6086099861117e-01, -3.4867229342159e-01,  2.9434348054889e+00,                    A,  4.6408375051615e-01, -2.5527375947153e+00,  2.9385131884427e-01,                    B, -9.0855985097930e-01, -8.8295236315538e-01, -1.1671029629271e+00,                    A,  1.4522067836160e+00, -9.5687496900471e-01, -5.6185052004209e-01,                    B,  3.0500230973128e-01, -7.0989736072238e-01,  6.4482279930667e-01,                    B, -1.5299152496673e+00,  8.7084211066366e-01,  1.4385047358028e+00,                    B, -1.7439070222465e+00, -4.6217563245355e-01, -8.9439866510350e-01,                    A, -7.3726967719700e-01, -9.8671470326725e-01,  1.6942799578526e+00
