##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B,  1.9773033710149e+00, -7.0096497162520e-01,  1.8933422712306e+00,                    A, -5.0448417640496e-01,  3.1462191130733e-01, -5.8873045316629e-01,                    B,  8.3522190566059e-02,  6.3401660577013e-01,  2.2573008988874e+00,                    A,  4.0549309523921e-01,  1.8597057643365e+00,  1.5462465937047e+00,                    B, -1.1824744953919e+00, -3.1970959153563e+00, -2.5026856610789e-01,                    A, -1.9310599256611e+00, -1.2193917108408e+00, -5.8535111150546e-01
                    B, -2.3004922484612e+00, -1.0524561073034e+00, -1.2858540308481e+00,                    B,  5.8015118438674e-01, -1.8287371493168e+00,  1.4740437364335e+00,                    A, -1.2187993852635e+00, -3.0673011114093e+00,  8.5820753757205e-02,                    B, -1.0860541017958e+00,  1.4665977843481e+00,  1.1702530475717e-01,                    A,  2.7618988499528e+00, -3.4226343684451e+00,  1.3732314469813e+00,                    A,  5.8054406285495e-01, -8.0921170936131e-01, -1.2905714231215e+00
                    B, -6.8675499424939e-01, -1.5077605538197e+00, -1.3869926644981e+00,                    A, -4.5325436423355e+00, -2.2994563912105e+00,  1.5155174337909e+00,                    A, -2.2343697094309e+00, -1.0898211177213e+00, -3.1463166781504e+00,                    B, -1.3797257782306e+00,  6.9751658405047e-01, -1.4068959714903e-01,                    A,  6.9235535480784e-01,  4.8312731826284e+00,  2.2819750840733e-01,                    B,  4.0420998042430e-01,  1.7702512550588e+00,  1.2253859204333e+00
                    A,  6.4300236233731e-02,  1.9022353087904e+00,  1.5139513302537e-01,                    B,  1.3316885925557e+00, -1.9510407009034e+00,  3.2947913827975e-01,                    A,  1.0888386237084e+00,  3.4381840812026e-01, -1.5919136162075e-01,                    B, -1.2915765898897e+00,  8.5903553575058e-01, -1.4651246833500e+00,                    A,  5.0134532985199e-02, -6.7595772872883e-01,  1.5381076157414e-02,                    B, -1.6069478848993e+00, -4.2649062747122e+00,  6.5098084249249e-03
                    B, -1.7498050159884e-01,  6.3213017213366e-01,  2.1867341693719e+00,                    B,  1.3845838356781e+00,  9.0009259487957e-01,  9.9912742341538e-01,                    A, -3.8091119720792e-01, -1.5900556002919e+00, -1.9041830464401e+00,                    A,  1.5380833576062e+00, -7.5194899035778e-01,  1.3463691753026e+00,                    A, -1.5705428620841e+00,  1.3292578523380e+00,  5.9576923122613e-01,                    B,  5.4662090201363e-01, -2.4671504484583e+00, -2.7693543371787e+00
                    B,  1.1834646612023e+00, -2.8659299494755e-01, -2.3667461496361e-01,                    B, -8.5452561178561e-01,  1.4221146714577e-02,  1.1804049971716e+00,                    A, -8.1332159075916e-02,  1.5257437841522e-01, -3.0499529666750e+00,                    A, -9.2461413506620e-01, -1.1180469021259e-02, -3.7747505524997e-01,                    B,  6.3864173192843e-02, -1.7244365670775e+00, -2.0703498401274e+00,                    A,  7.8913317057504e-02, -1.0102197607943e+00,  1.8481318422730e+00
                    A,  1.8507158167913e+00,  1.3089891923969e+00,  1.1882951362076e-01,                    A,  3.7053412534691e-01, -1.0470856343964e+00, -4.8265600295095e-01,                    B, -4.3699523639275e-01,  6.7176417820146e-01, -1.0020031832724e+00,                    A,  1.0450972879505e+00,  1.5105866625284e-01, -9.0049622858758e-02,                    B,  2.6743448415131e+00,  5.9223959743977e-01, -3.6400783545210e+00,                    B, -2.8342347330023e-01, -2.1443034099290e+00,  1.5161708641534e+00
                    B, -1.3427015380082e+00,  1.6273855382234e+00,  9.4024725493570e-01,                    A, -6.7610961485942e-01,  2.8080470212288e-01,  2.0707233034324e+00,                    A,  3.6619352194718e-03,  9.5595075863191e-01,  4.8715316787898e-01,                    B,  9.6896405905118e-01,  1.2396270802587e+00,  1.4504371772656e+00,                    A, -1.0544442653107e+00, -1.1662767023368e-01, -1.1614087385696e+00,                    B,  1.5906329260564e+00, -9.7505861025953e-01,  4.0649651989178e-01
                    A, -3.6632212716082e-02,  1.9963765426455e-01,  4.0646584144303e-01,                    B, -5.4292751233432e-01, -3.4325332531807e+00, -3.2443042895624e+00,                    A,  2.8882274469424e+00,  1.4239832047874e+00,  1.2612374378223e+00,                    B,  1.6304538549477e-01, -6.6145237368589e-01,  2.0857949628712e+00,                    B,  1.6065180788855e+00, -1.0449149023597e+00,  1.6458157644767e+00,                    A, -6.1700163960239e-01, -2.0220145766210e+00, -6.3253809817560e-01
                    B,  1.5552839130999e+00, -2.0427496603465e+00, -1.1342066475950e+00,                    B, -3.2268454805084e-01, -1.0828977714849e+00,  1.1384298440787e+00,                    B,  1.8966534142824e+00,  1.1798721800109e+00, -1.1231740215247e+00,                    A,  1.8081656570051e-01,  1.2917527392598e+00, -1.2353845113223e+00,                    A, -2.1326716339911e+00,  1.1383460228330e+00,  8.0619181974490e-01,                    A, -4.1685479253839e-01,  1.0285234154018e+00,  1.1295694282617e+00
