##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  1.1150848404637e-01,  9.3255034032082e-01,  4.9206626402296e-01,                    B, -2.0856668235287e+00,  1.4697974684557e+00,  2.6123785517287e-01,                    A, -1.1693209397599e+00,  1.0978537505832e+00,  1.2816987225608e+00,                    B, -1.1408109441563e+00,  1.7479698492140e+00, -2.8475516490976e+00,                    A, -1.7684237394621e+00,  2.1337701372436e-01, -1.7232145609309e+00,                    A, -4.6890935405295e-01,  1.7891414196928e-01, -8.2032343770477e-01,                    B,  7.1185665937187e-01, -7.1365861466686e-01,  6.6111926775117e-01,                    A,  1.1399724134398e+00,  9.3100338504740e-01,  1.6353460033404e-01
                    A, -1.2230962442727e+00, -2.4260268112855e-01, -1.8671169938899e+00,                    B, -2.7841195435554e+00, -2.0705216287806e-01, -1.1568866991264e+00,                    A,  1.2757476574066e+00,  6.5942696485461e-01, -6.1210403288188e-01,                    B,  2.8907178091933e-01, -8.7833612012196e-01,  4.3637164061287e-01,                    A,  2.0485581081959e-01, -3.6296088366958e-01, -4.7614504434592e-01,                    B,  2.1581551264652e-01,  2.4069562789783e+00, -7.5905002498280e-01,                    B, -3.6962301252163e-02, -9.9844698621830e-01,  1.9395116564779e+00,                    A,  9.6902468656905e-02, -4.8300588079831e-02,  1.0064864017968e+00
                    B, -1.2496077482461e+00,  1.5336847030658e+00, -1.7010964996581e+00,                    B,  2.0811715566695e+00,  3.8235485324666e-01,  8.5938339024299e-01,                    B, -8.7885402950722e-01,  7.4605042626756e-01,  2.0658888645079e+00,                    A,  9.9579668509293e-01, -1.6575798593182e+00,  8.0477106446925e-01,                    A, -1.2022578428720e+00,  1.5565818180020e+00,  2.9627753305374e+00,                    A,  1.3645723223747e+00,  2.2845956105035e+00, -2.3534435765446e+00,                    A,  2.0211616403895e+00,  3.5626225000786e-01, -2.4737904579791e+00,                    B,  1.0099113030702e+00,  1.6451858231805e-01, -7.6238018263323e-01
                    B, -8.7819661254482e-01, -6.7609525477331e-01, -7.6195203996125e-01,                    A, -1.9502412504332e-01,  7.4034233453680e-01, -1.1515075378978e+00,                    A,  1.8936447636718e+00, -2.0407574834110e+00,  1.0236432458196e-01,                    B, -5.4052304415142e-01,  8.4355824775270e-01,  1.3653944529152e+00,                    A,  1.0346862724817e+00, -1.4598972047240e+00, -1.3768556772747e+00,                    B, -2.8503364588106e+00,  1.0014473811893e+00,  6.3268011530673e-01,                    B,  2.8730756940181e+00, -1.1873592575577e+00, -6.3351344347840e-01,                    A,  1.2568604964703e+00, -1.6110610415101e-01, -3.8230628435444e-01
                    A,  1.0604613107257e+00,  1.6373868060024e+00, -3.7776807554099e-01,                    B, -3.4070366316753e-01,  2.4161099636139e-01,  2.4148439436394e+00,                    A,  6.8805635230139e-01,  1.4344211458030e+00, -1.3573155548974e+00,                    B, -8.6468383861200e-01, -1.4398030866076e+00,  8.9914802530485e-01,                    B,  4.3178565139541e-01, -1.7963545315375e-02,  9.4561959966351e-01,                    A,  2.0786474032618e+00, -2.7282474487336e-01,  1.3531792142253e+00,                    B, -5.7916459388612e-01,  2.8315493646842e+00,  2.9111154496310e-02,                    A, -1.4483510166986e+00,  5.1144042573695e-01,  2.6511763131086e-01
                    A, -1.6598846695738e+00, -3.1416933397811e-01,  7.1838389542641e-01,                    B,  1.3207016644861e+00, -7.7324226778134e-01, -2.2097611720516e-01,                    A,  2.4778238539722e+00,  5.0634332964987e-01,  1.5455330935818e+00,                    B, -4.5900825242781e-01,  1.8378933463483e+00, -4.1315722937974e-01,                    A, -1.7736699031147e-01, -1.3758462654245e-01, -1.7988831468120e+00,                    A, -3.9994354422886e-01,  4.9697525196033e-03,  1.3586581146637e+00,                    B,  3.8040704214205e+00, -1.5373817849158e+00,  1.7739998546694e+00,                    B,  1.5599982881188e-01, -1.0035558756835e+00, -5.3817531849573e-01
                    B, -1.2222675608443e+00, -9.9739342391600e-01, -1.0087923422952e+00,                    A, -6.6039252884651e-01,  2.7260648013812e+00, -7.3239354245132e-02,                    A, -4.2328136108351e-02,  1.3073299546437e+00, -2.4821270291682e-01,                    B,  2.0441066221268e-02, -1.6469446653176e+00,  6.9579929530671e-01,                    B, -4.0357030504337e-01,  9.1556403688252e-01, -1.1258881590227e+00,                    A, -9.3575002291221e-01, -8.6695080245303e-01,  4.0170988456936e-01,                    B,  1.6408617786398e+00, -5.7709211418819e-01, -2.0804781100970e+00,                    A, -1.3017075144171e+00,  2.9618552243271e+00, -1.5691458686722e+00
                    A, -6.0632954984105e-01,  1.6344588134195e+00, -7.7299265331307e-01,                    A, -9.3654313874888e-01,  3.6971848831847e-01,  1.7514665413426e-01,                    B, -1.1760141574342e+00,  1.5295000490421e-01, -4.0741063220796e+00,                    A,  2.6429465814623e+00, -1.8617429289864e+00,  5.0716072634239e-01,                    B,  8.5985682689668e-01, -2.2605293532463e-01,  2.1363594087046e-01,                    B, -2.5171096625351e+00, -1.2529659774658e+00,  1.8478465088529e-01,                    B,  1.2262943757147e+00, -1.6128665745468e+00, -1.9104027642063e+00,                    A, -9.4608023971367e-01, -4.3595152900661e-01, -2.3390077303609e+00
                    B,  1.3559250070964e+00, -1.0469281051153e+00,  7.1808725066724e-01,                    B,  2.5068363646065e-01,  5.2530240224493e-01,  1.8879222914523e+00,                    A,  5.4551283448623e-01,  3.5889809504292e-02, -1.4674961819932e+00,                    B,  2.9382384271267e+00, -2.1989953418839e+00,  1.2203591493698e+00,                    A, -8.6473277125305e-01, -1.5418506723218e+00,  1.5119927421754e+00,                    A,  1.0701359248973e+00,  4.7507986701358e+00, -1.2454200080840e+00,                    A, -1.3763580057825e+00,  8.4197438258651e-01,  1.6484829191404e-01,                    B, -1.7546200573823e+00, -1.1985745818038e+00,  8.9971232166544e-01
                    B,  8.0956577206735e-01,  2.2734274175032e-01,  1.1308112963073e+00,                    B, -2.7346898568670e-01, -1.2639833018542e+00, -8.8437558718337e-01,                    A, -2.8006042297302e+00, -7.5103108969732e-01, -9.8286201877758e-01,                    B, -1.4564859125927e+00, -5.0946653342983e-02, -2.8446819928732e-01,                    A,  2.4224740749210e+00,  2.1087209847273e+00,  5.7395447438644e-01,                    A,  7.9968323246070e-01,  1.3924250975004e+00,  1.6969259182484e+00,                    B,  8.4917305217288e-01, -1.3398662521094e+00, -3.0421834616548e-01,                    A, -1.7904921301491e+00,  1.2671947683042e+00, -3.0069545347384e-01
