##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  7.4465103772341e-01,  4.2767337880158e-01,  2.5294477280186e+00,                    A, -3.2705027081925e-01, -8.9674480118193e-01,  3.0488475285384e-01
                    B,  1.1498571499129e+00, -4.6148662396970e-01, -6.6383388959384e-01,                    A,  4.7163849336940e-01, -1.4641208013242e+00, -5.3820770770833e-01
                    A, -1.0730736188781e+00,  2.7098430906419e-01,  1.6749210000925e+00,                    B,  1.6128591188675e+00,  1.5112682249502e-01,  1.1001368235354e+00
                    A,  1.3701987977477e-01,  1.4667414358013e+00, -2.0350048245004e+00,                    B,  3.9930577711350e-02, -2.0888577215136e-01, -4.9558538439541e-01
                    A, -7.7931908431466e-01, -6.0139453076232e-01, -4.3525172280653e-01,                    B, -2.1349703118604e+00,  9.3142399536211e-01, -3.1204668084687e+00
                    B,  8.5998804224070e-02,  1.3941705608729e+00, -1.0225951372419e+00,                    A, -1.0325768876431e+00,  2.8644142455724e-01, -5.4852014131556e-01
                    A,  2.7858785005401e-02,  1.2808021554944e+00,  7.0844390654412e-01,                    B, -4.2354421032801e-01, -1.0518545984030e+00,  1.5509754398856e+00
                    B, -1.4008509147824e+00,  1.2952474867247e+00, -1.8944189420982e-01,                    A,  3.2068639331174e+00,  5.8285825993657e-02,  2.3320480954185e-02
                    A,  5.2042134565935e-01, -1.2571080831621e+00,  7.2329413136723e-01,                    B, -2.9289714592490e-01,  2.5843605001730e+00, -9.1320859205183e-01
                    A, -9.8800659737977e-01,  1.7212267124699e+00, -9.2980523578250e-01,                    B,  9.6468086740315e-01,  1.5715836793448e+00, -1.4966864526091e+00
