#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 2.562947481565e+00, 1.780699053159e+00, 2.501282216431e+00,                  A,-2.632665400298e+00, 1.227211563447e+00, 4.598788231974e+00,                  B,-6.850650753899e+00, 2.271601570004e+00, 3.645328060872e+00,                  A, 4.044659492415e+00,-1.557551468301e+00, 2.914102816554e+00
                  A,-2.517117264875e+00, 3.384941831531e+00,-5.186798420393e+00,                  A, 1.124015918747e+00,-2.203323217235e+00, 3.022023668739e+00,                  B, 6.440712155141e+00, 2.087774499814e+00,-8.737620186739e-01,                  B,-2.822904952652e+00,-4.840064065112e+00, 2.248859278981e+00
                  A,-1.673216340983e+00,-3.389739077730e+00,-1.598103272776e+00,                  A,-1.244909081444e-01,-3.993992897495e+00, 1.745953420536e+00,                  B, 4.605476868726e-01,-2.767394301634e+00,-2.469895031822e+00,                  B, 1.232443732859e-01, 3.459679525083e+00,-1.494500621404e+00
                  A,-1.733163528613e+00, 2.090348438982e-01, 2.330772049131e+00,                  A, 2.649740791630e+00, 1.254680704873e+00, 9.728213999956e-01,                  B,-7.796270406777e-01,-4.413244475462e-01,-1.643463578047e+00,                  B,-1.839831223735e+00,-4.994762583891e+00,-8.385836504145e-01
                  B,-1.838412923360e+00, 1.227846758911e+00,-1.062943062693e+00,                  A, 2.303284991557e-01, 1.569431342632e-01, 2.869303858312e+00,                  B, 7.864365109555e-01,-1.311539771467e+00, 6.961092860826e-01,                  A,-7.013812903825e-01,-2.005566985669e+00, 2.180698562453e+00
