#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-1.708557034886e+00,-7.180336051761e-01, 8.154848056741e-01,                  B, 1.004952934836e+00, 6.229653188895e-01, 8.698157143121e-01,                  B, 1.126405276629e-01, 5.379834783764e-01,-1.538687836737e+00,                  A,-5.872425131944e-01, 1.889199949876e+00, 7.039062556348e-03
                  B,-1.616074186345e+00, 2.901306802429e-01,-2.003289724087e+00,                  B,-1.077650641415e+00, 9.041090750605e-01, 9.661887759782e-01,                  A, 1.697055107564e+00,-1.638133418307e+00, 1.041946008271e+00,                  A, 1.426402095792e+00,-1.086011669416e+00,-7.721039859419e-01
                  A,-4.512216041279e-01, 2.158027869187e+00,-8.680200984863e-01,                  B,-5.568372049084e-02, 1.043241035783e+00,-1.515579794829e+00,                  B, 1.439725142561e-02,-1.405254171660e+00, 1.073447984133e-01,                  A, 6.984856374014e-01, 1.175656867475e-01, 7.068841576738e-02
                  B, 2.503688225860e+00,-1.720452446704e+00,-1.246649483605e+00,                  B,-1.628797511819e-01,-3.998167244569e-01, 2.619687205193e-01,                  A,-2.027394870480e+00,-2.668020030001e+00,-1.436093743319e+00,                  A, 2.502692927590e-01, 1.857339064036e+00,-5.668997361751e-01
                  A, 7.739365483872e-01,-1.050454033871e+00,-4.439004603893e-01,                  A, 4.413285287577e-01, 1.746853551070e+00,-1.076116236120e+00,                  B,-1.002045101926e+00, 1.756060679804e-01, 8.631179273597e-01,                  B,-7.912694148936e-01,-1.298373637350e+00,-3.203281974447e-01
